field,multi_r2,single_r2,delta
congestion_price_da,0.30115216970443726,0.517056941986084,0.21590477228164673
congestion_price_rt,0.5543185472488403,0.5028364658355713,-0.05148208141326904
marginal_loss_price_da,0.7229546308517456,0.7623509168624878,0.03939628601074219
gross_actual_interchange_mw,0.7262288331985474,0.7351402044296265,0.008911371231079102
net_actual_interchange_mw,0.7427260875701904,0.819790780544281,0.07706469297409058
total_losses,0.7904239892959595,0.8267552852630615,0.03633129596710205
da_as_total_mw_thirty_minutes_reserve,0.7971675992012024,0.7876495122909546,-0.009518086910247803
da_as_total_mw_synchronized_reserve,0.9110119342803955,0.9958817362785339,0.08486980199813843
da_as_total_mw_primary_reserve,0.94502192735672,0.9921367764472961,0.04711484909057617
total_lmp_da,0.9766213893890381,0.9976135492324829,0.020992159843444824
total_gen,0.9849881529808044,0.9952749013900757,0.01028674840927124
metered_load_mw,0.9885715842247009,0.9945668578147888,0.005995273590087891
