field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.1562681198120117,-1.4044580758256962,True
gross_actual_interchange_mw,0.2460934792895835,0.01877826452255249,-0.227315214767031,True
total_gen,0.9906449538219424,0.910534679889679,-0.08011027393226344,True
metered_load_mw,0.9762308832723112,0.9578399769961834,-0.018390906276127827,True
total_losses,0.6540839836602339,0.6316676437854767,-0.02241633987475722,True
congestion_price_da,0.0475838272605031,0.1935875415802002,0.1460037143196971,True
congestion_price_rt,0.4561738508473963,0.46346884965896606,0.007294998811569753,True
marginal_loss_price_da,0.4407231017762543,0.46090954542160034,0.020186443645346053,True
total_lmp_da,0.9299314144617218,0.8103814274072647,-0.11954998705445707,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9579895101487637,-0.017238308808997904,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.912413127720356,-0.029429983325290787,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.2214166522026062,-0.23548738580189787,True
