subset_id,size,band,source,v_truth,vhat_mlp,vhat_gnn
dnn_k1,1,1-4,59_topk,0.2983619272708893,0.27858558,0.26212543
masked_k1,1,1-4,59_topk,0.3535785377025604,0.3275113,0.2967421
noprior_k1,1,1-4,59_topk,0.2983619272708893,0.27858558,0.26212543
static_k1,1,1-4,59_topk,0.2983619272708893,0.27858558,0.26212543
zeromask_k1,1,1-4,59_topk,0.2983619272708893,0.27858558,0.26212543
dnn_k2,2,1-4,59_topk,0.4787196218967438,0.36838743,0.26784292
masked_k2,2,1-4,59_topk,0.4724125862121582,0.41392228,0.37976053
noprior_k2,2,1-4,59_topk,0.4787196218967438,0.36838743,0.26784292
static_k2,2,1-4,59_topk,0.5087562203407288,0.4585937,0.42194524
zeromask_k2,2,1-4,59_topk,0.4787196218967438,0.36838743,0.26784292
dnn_k3,3,1-4,59_topk,0.5994287729263306,0.53272724,0.49927846
masked_k3,3,1-4,59_topk,0.5954058766365051,0.5302368,0.49535763
noprior_k3,3,1-4,59_topk,0.5994287729263306,0.53272724,0.49927846
static_k3,3,1-4,59_topk,0.597547709941864,0.53272724,0.49927846
zeromask_k3,3,1-4,59_topk,0.5994287729263306,0.53272724,0.49927846
dnn_k4,4,1-4,59_topk,0.6841188073158264,0.57081676,0.55353945
masked_k4,4,1-4,59_topk,0.6918556094169617,0.56939095,0.55192465
noprior_k4,4,1-4,59_topk,0.5916621088981628,0.53015155,0.51933914
static_k4,4,1-4,59_topk,0.5923743844032288,0.53015155,0.51933914
zeromask_k4,4,1-4,59_topk,0.5916621088981628,0.53015155,0.51933914
dnn_k6,6,5-8,59_topk,0.7468827366828918,0.64424294,0.6253292
masked_k6,6,5-8,59_topk,0.7664976119995117,0.65755033,0.6446275
noprior_k6,6,5-8,59_topk,0.731072723865509,0.6161163,0.61166316
static_k6,6,5-8,59_topk,0.682216227054596,0.6070041,0.60927206
zeromask_k6,6,5-8,59_topk,0.7291621565818787,0.6161163,0.61166316
dnn_k8,8,5-8,59_topk,0.7691605687141418,0.6445585,0.627863
masked_k8,8,5-8,59_topk,0.8006751537322998,0.7047157,0.69174045
noprior_k8,8,5-8,59_topk,0.7971031665802002,0.69370407,0.68771034
static_k8,8,5-8,59_topk,0.8208932876586914,0.70875263,0.7144653
zeromask_k8,8,5-8,59_topk,0.7956263422966003,0.69370407,0.68771034
dnn_k12,12,9-16,59_topk,0.8440605998039246,0.7403369,0.7323227
masked_k12,12,9-16,59_topk,0.8190101981163025,0.7215157,0.7035081
noprior_k12,12,9-16,59_topk,0.8414206504821777,0.7348976,0.7225349
static_k12,12,9-16,59_topk,0.8395902514457703,0.733643,0.7244954
zeromask_k12,12,9-16,59_topk,0.8370785117149353,0.7348976,0.7225349
dnn_k16,16,9-16,59_topk,0.8494433760643005,0.760452,0.7360613
masked_k16,16,9-16,59_topk,0.8542637825012207,0.7542841,0.73655015
noprior_k16,16,9-16,59_topk,0.8536844849586487,0.7629404,0.7477239
static_k16,16,9-16,59_topk,0.8524226546287537,0.77012897,0.75103503
zeromask_k16,16,9-16,59_topk,0.8468661308288574,0.7673119,0.7487758
dnn_k24,24,17-32,59_topk,0.8760585188865662,0.8125892,0.76029116
masked_k24,24,17-32,59_topk,0.8662013411521912,0.79940337,0.7566759
noprior_k24,24,17-32,59_topk,0.869540274143219,0.80119824,0.7581523
static_k24,24,17-32,59_topk,0.8744893670082092,0.81541294,0.7624202
zeromask_k24,24,17-32,59_topk,0.8694592118263245,0.80394024,0.7607308
dnn_k32,32,17-32,59_topk,0.8753361701965332,0.8323459,0.761192
masked_k32,32,17-32,59_topk,0.8756859302520752,0.8294919,0.7618294
noprior_k32,32,17-32,59_topk,0.8739755153656006,0.8261096,0.7627244
static_k32,32,17-32,59_topk,0.8744097352027893,0.8275149,0.7635007
zeromask_k32,32,17-32,59_topk,0.8751802444458008,0.8260529,0.76172286
dnn_k44,44,33-44,59_topk,0.8665060997009277,0.8385262,0.7592907
masked_k44,44,33-44,59_topk,0.8658638000488281,0.8385262,0.7592907
noprior_k44,44,33-44,59_topk,0.8658413290977478,0.8385262,0.7592907
static_k44,44,33-44,59_topk,0.8677312731742859,0.8385262,0.7592907
zeromask_k44,44,33-44,59_topk,0.8706524968147278,0.8385262,0.7592907
rs00,1,1-4,60_random,0.0354991443455219,0.012712876,0.0077180914
rs01,1,1-4,60_random,0.0258677750825881,0.008608782,0.0
rs02,1,1-4,60_random,0.0480949878692626,0.035376523,0.017987603
rs05,1,1-4,60_random,0.2238233834505081,0.19231671,0.18774836
rs08,1,1-4,60_random,0.038949679583311,0.012544743,0.009040963
rs04,2,1-4,60_random,0.0588635504245758,0.041881084,0.020361735
rs06,3,1-4,60_random,0.4144377410411834,0.35088348,0.28751543
rs07,3,1-4,60_random,0.4401641190052032,0.38547626,0.32818946
rs03,4,1-4,60_random,0.5000260472297668,0.4501314,0.38121223
rs09,4,1-4,60_random,0.5253174304962158,0.42421386,0.37490797
rs11,5,5-8,60_random,0.6462429165840149,0.49751,0.47031876
rs10,6,5-8,60_random,0.4718161523342132,0.3699999,0.2961239
rs13,6,5-8,60_random,0.284542828798294,0.16014515,0.09349131
rs16,6,5-8,60_random,0.330615222454071,0.19785027,0.15273266
rs17,6,5-8,60_random,0.520922064781189,0.38687238,0.33384487
rs12,7,5-8,60_random,0.711686909198761,0.58271295,0.57163906
rs15,7,5-8,60_random,0.7096032500267029,0.58367103,0.555703
rs18,7,5-8,60_random,0.7015374302864075,0.54075235,0.49421334
rs14,8,5-8,60_random,0.6876205801963806,0.49201515,0.40341446
rs19,8,5-8,60_random,0.6793436408042908,0.5557254,0.48900256
rs20,11,9-16,60_random,0.7397902011871338,0.6068485,0.49022785
rs29,11,9-16,60_random,0.743197500705719,0.5948912,0.53133804
rs27,12,9-16,60_random,0.7344920039176941,0.5808172,0.4586786
rs24,13,9-16,60_random,0.729542076587677,0.59069705,0.52143973
rs21,14,9-16,60_random,0.7479550242424011,0.59342295,0.54659194
rs23,14,9-16,60_random,0.6769843101501465,0.55962175,0.48078147
rs26,14,9-16,60_random,0.7614054679870605,0.6721484,0.6181557
rs28,14,9-16,60_random,0.7197067737579346,0.58894366,0.5072636
rs22,15,9-16,60_random,0.7523463368415833,0.5727432,0.5003764
rs25,16,9-16,60_random,0.7470119595527649,0.63809437,0.59519976
rs34,20,17-32,60_random,0.8320388197898865,0.74671465,0.70168877
rs33,21,17-32,60_random,0.7450098991394043,0.6347248,0.55451846
rs36,21,17-32,60_random,0.81839919090271,0.71974653,0.63831544
rs39,21,17-32,60_random,0.8372271656990051,0.7527737,0.7075712
rs32,22,17-32,60_random,0.8313121795654297,0.7391935,0.69786817
rs30,23,17-32,60_random,0.8454494476318359,0.77228016,0.7178151
rs31,23,17-32,60_random,0.7937418818473816,0.71729374,0.6426544
rs37,24,17-32,60_random,0.786675214767456,0.6852451,0.61673886
rs38,30,17-32,60_random,0.8214788436889648,0.7455779,0.6788489
rs35,31,17-32,60_random,0.8660842776298523,0.8174364,0.75524545
rs40,33,33-44,60_random,0.8438970446586609,0.78423786,0.7184045
rs45,33,33-44,60_random,0.863572359085083,0.81853056,0.75691503
rs44,36,33-44,60_random,0.868793785572052,0.8319909,0.7628224
rs43,38,33-44,60_random,0.86820387840271,0.8241473,0.7500412
rs49,38,33-44,60_random,0.8677898049354553,0.83202785,0.75589204
rs46,41,33-44,60_random,0.8692751526832581,0.8358013,0.7611956
rs47,41,33-44,60_random,0.8684212565422058,0.8354769,0.7604044
rs48,41,33-44,60_random,0.8628715872764587,0.8322416,0.75947934
rs42,42,33-44,60_random,0.8665492534637451,0.83604765,0.7577825
rs41,43,33-44,60_random,0.8675477504730225,0.8384085,0.759463
