target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.19808109,0.20299208,0.20116329,0.20259066,0.19517282
gross_actual_interchange_mw,0.198204,0.19797353,0.20214091,0.20026603,0.2014155
total_gen,0.19963977,0.2004405,0.2024943,0.19717354,0.20025189
metered_load_mw,0.19786955,0.19849145,0.19990188,0.2052597,0.19847745
total_losses,0.19161573,0.20210809,0.19948779,0.20168419,0.20510419
congestion_price_da,0.20224461,0.20090826,0.2007251,0.19139208,0.2047299
congestion_price_rt,0.19745435,0.19799815,0.19262326,0.21010819,0.20181605
marginal_loss_price_da,0.21071374,0.20417765,0.19425085,0.18538392,0.20547383
total_lmp_da,0.19907062,0.19783847,0.20180923,0.20174523,0.19953649
da_as_total_mw_primary_reserve,0.19896616,0.19723704,0.20111378,0.20391002,0.19877294
da_as_total_mw_synchronized_reserve,0.18242568,0.1782387,0.1789364,0.27466825,0.1857309
da_as_total_mw_thirty_minutes_reserve,0.2052946,0.19767807,0.19926737,0.1969517,0.20080826
