field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.8506273031234741,-0.07897115961596546
gross_actual_interchange_mw,0.8759973140166133,0.7915362119674683,-0.08446110204914503
total_gen,0.99832719588513,0.9891918897628784,-0.009135306122251552
metered_load_mw,0.9962878493933236,0.9910986423492432,-0.005189207044080435
total_losses,0.9334742413917716,0.8751437664031982,-0.058330474988573355
congestion_price_da,0.6602494811248918,0.6294611692428589,-0.030788311882032904
congestion_price_rt,0.6702083206524372,0.6465853452682495,-0.023622975384187672
marginal_loss_price_da,0.8816090434068973,0.7955081462860107,-0.08610089712088653
total_lmp_da,0.99047564583207,0.984401524066925,-0.006074121765144991
da_as_total_mw_primary_reserve,0.953601669814596,0.9513067007064819,-0.002294969108114109
da_as_total_mw_synchronized_reserve,0.920000100798808,0.918282151222229,-0.0017179495765790032
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.8774438500404358,-0.03669986778088785
