target,source,gate
da_as_total_mw_primary_reserve,da_as_nsr_mw_primary_reserve,0.47748079895973206
total_losses,gen_fuel_wind_mw,0.470127671957016
da_as_total_mw_synchronized_reserve,da_as_nsr_mw_primary_reserve,0.469107449054718
da_as_total_mw_thirty_minutes_reserve,gen_fuel_nuclear_mw,0.44546985626220703
total_gen,gen_fuel_nuclear_mw,0.44417399168014526
da_as_total_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,0.436662495136261
total_lmp_da,marginal_loss_price_rt,0.4360329508781433
total_losses,gen_fuel_nuclear_mw,0.4347960650920868
metered_load_mw,gen_fuel_nuclear_mw,0.4343719482421875
total_losses,marginal_loss_price_rt,0.4117477536201477
da_as_total_mw_primary_reserve,gen_fuel_nuclear_mw,0.41141632199287415
net_actual_interchange_mw,gen_fuel_nuclear_mw,0.4109460413455963
gross_actual_interchange_mw,gen_fuel_nuclear_mw,0.4068687856197357
congestion_price_rt,marginal_loss_price_rt,0.40513119101524353
marginal_loss_price_da,marginal_loss_price_rt,0.3991614282131195
total_lmp_da,system_energy_price_da,0.3975752890110016
metered_load_mw,marginal_loss_price_rt,0.3910380005836487
total_gen,gen_fuel_gas_mw,0.387478768825531
da_as_total_mw_synchronized_reserve,gen_fuel_nuclear_mw,0.38413044810295105
total_gen,marginal_loss_price_rt,0.38250458240509033
congestion_price_da,gen_fuel_nuclear_mw,0.3816341757774353
total_gen,gen_fuel_nuclear_pct,0.3808233141899109
total_lmp_da,da_as_nsr_mw_primary_reserve,0.37597155570983887
metered_load_mw,gen_fuel_gas_mw,0.37513360381126404
marginal_loss_price_da,gen_fuel_nuclear_mw,0.3745065927505493
metered_load_mw,gen_fuel_nuclear_pct,0.3733329772949219
gross_actual_interchange_mw,gross_inadv_interchange_mw,0.37234681844711304
da_as_total_mw_synchronized_reserve,da_as_as_req_mw_synchronized_reserve,0.36594048142433167
da_as_total_mw_synchronized_reserve,da_as_as_req_mw_primary_reserve,0.36504241824150085
da_as_total_mw_thirty_minutes_reserve,marginal_loss_price_rt,0.35997307300567627
total_gen,gen_fuel_wind_pct,0.3595450818538666
da_as_total_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,0.3575572371482849
da_as_total_mw_primary_reserve,da_as_as_req_mw_primary_reserve,0.35700055956840515
total_lmp_da,total_pjm_reg_purchases,0.35220515727996826
metered_load_mw,gen_fuel_wind_pct,0.35204410552978516
metered_load_mw,forecast_load_mw_latest_available,0.3508985936641693
gross_actual_interchange_mw,total_pjm_reg_purchases,0.35046783089637756
gross_actual_interchange_mw,marginal_loss_price_rt,0.3500441312789917
congestion_price_da,marginal_loss_price_rt,0.3427901268005371
da_as_total_mw_thirty_minutes_reserve,gen_fuel_other_renewables_mw,0.34210944175720215
total_gen,forecast_load_mw_latest_available,0.3409888446331024
net_actual_interchange_mw,gen_fuel_wind_pct,0.3346472978591919
total_gen,gen_fuel_other_renewables_mw,0.3320137858390808
total_lmp_da,gen_fuel_nuclear_pct,0.331982284784317
da_as_total_mw_thirty_minutes_reserve,total_pjm_reg_purchases,0.32602471113204956
total_losses,gen_fuel_other_renewables_mw,0.3254031240940094
da_as_total_mw_synchronized_reserve,gen_fuel_wind_pct,0.32462120056152344
net_actual_interchange_mw,marginal_loss_price_rt,0.32326170802116394
da_as_total_mw_thirty_minutes_reserve,gen_fuel_multiple_fuels_pct,0.3214232921600342
net_actual_interchange_mw,total_pjm_reg_purchases,0.3204427659511566
total_lmp_da,gen_fuel_gas_mw,0.3202822208404541
metered_load_mw,gen_fuel_other_renewables_mw,0.3198486268520355
net_actual_interchange_mw,gen_fuel_other_renewables_mw,0.31699880957603455
metered_load_mw,forecast_load_mw_day_ahead,0.31686460971832275
da_as_total_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,0.31641972064971924
total_gen,forecast_load_mw_day_ahead,0.31298843026161194
total_losses,gross_inadv_interchange_mw,0.31125903129577637
marginal_loss_price_da,system_energy_price_da,0.30821794271469116
total_gen,gross_inadv_interchange_mw,0.3063655495643616
total_losses,gen_fuel_gas_mw,0.305669903755188
metered_load_mw,system_energy_price_da,0.30545327067375183
da_as_total_mw_thirty_minutes_reserve,system_energy_price_da,0.3041841685771942
total_losses,gen_fuel_coal_pct,0.30114051699638367
total_losses,gen_fuel_nuclear_pct,0.3001152276992798
metered_load_mw,gross_inadv_interchange_mw,0.30010858178138733
da_as_total_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,0.30003899335861206
total_lmp_da,gross_inadv_interchange_mw,0.2968609929084778
total_gen,system_energy_price_da,0.2947125732898712
da_as_total_mw_primary_reserve,gen_fuel_other_renewables_mw,0.2946580946445465
total_gen,gen_fuel_coal_pct,0.2945692539215088
metered_load_mw,gen_fuel_coal_pct,0.2893415689468384
total_lmp_da,gen_fuel_multiple_fuels_pct,0.2884228229522705
da_as_total_mw_thirty_minutes_reserve,gen_fuel_multiple_fuels_mw,0.2874521315097809
net_actual_interchange_mw,gen_fuel_multiple_fuels_pct,0.2851894199848175
total_lmp_da,total_lmp_rt,0.2841263711452484
total_losses,system_energy_price_da,0.28317853808403015
marginal_loss_price_da,gen_fuel_nuclear_pct,0.283078134059906
congestion_price_rt,gen_fuel_multiple_fuels_pct,0.2829470932483673
congestion_price_da,gen_fuel_gas_mw,0.28238293528556824
congestion_price_rt,system_energy_price_da,0.2817332446575165
da_as_total_mw_thirty_minutes_reserve,da_as_as_req_mw_synchronized_reserve,0.28032293915748596
total_lmp_da,gen_fuel_multiple_fuels_mw,0.27940958738327026
da_as_total_mw_thirty_minutes_reserve,da_as_as_req_mw_primary_reserve,0.2789711654186249
net_actual_interchange_mw,gen_fuel_gas_mw,0.27795299887657166
net_actual_interchange_mw,da_as_as_req_mw_synchronized_reserve,0.2759346663951874
gross_actual_interchange_mw,gen_fuel_gas_mw,0.2753918766975403
net_actual_interchange_mw,da_as_as_req_mw_primary_reserve,0.27442824840545654
marginal_loss_price_da,gen_fuel_gas_mw,0.27327972650527954
congestion_price_da,gross_inadv_interchange_mw,0.2696278691291809
total_gen,da_as_as_req_mw_primary_reserve,0.2687346339225769
congestion_price_da,system_energy_price_da,0.2677266597747803
congestion_price_da,gen_fuel_nuclear_pct,0.2672877311706543
da_as_total_mw_synchronized_reserve,gen_fuel_gas_mw,0.26693862676620483
congestion_price_rt,gen_fuel_gas_mw,0.26672810316085815
total_lmp_da,gen_fuel_coal_pct,0.266642302274704
total_losses,forecast_load_mw_latest_available,0.2658733129501343
total_gen,da_as_as_req_mw_synchronized_reserve,0.26449161767959595
gross_actual_interchange_mw,gross_sched_interchange_mw,0.26424798369407654
da_as_total_mw_thirty_minutes_reserve,gen_fuel_nuclear_pct,0.26309287548065186
