confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.9914754,0.9962878493933236,-0.0048124194
total_gen,0.99028194,0.99832719588513,-0.008045256
total_lmp_da,0.98451275,0.99047564583207,-0.0059629083
da_as_total_mw_primary_reserve,0.9517277,0.953601669814596,-0.00187397
da_as_total_mw_synchronized_reserve,0.91766214,0.920000100798808,-0.0023379326
da_as_total_mw_thirty_minutes_reserve,0.8828985,0.9141437178213236,-0.031245232
total_losses,0.88267326,0.9334742413917716,-0.05080098
net_actual_interchange_mw,0.8811186,0.9295984627394396,-0.048479855
gross_actual_interchange_mw,0.81817496,0.8759973140166133,-0.057822347
marginal_loss_price_da,0.81373477,0.8816090434068973,-0.06787425
congestion_price_rt,0.6511463,0.6702083206524372,-0.019062042
congestion_price_da,0.63454545,0.6602494811248918,-0.025704026
