confidential_field,test_r2
metered_load_mw,0.9914754033088684
total_gen,0.9902819395065308
total_lmp_da,0.9845126867294312
da_as_total_mw_primary_reserve,0.9517278075218201
da_as_total_mw_synchronized_reserve,0.9176622033119202
da_as_total_mw_thirty_minutes_reserve,0.8828985691070557
total_losses,0.8826733231544495
net_actual_interchange_mw,0.8811185359954834
gross_actual_interchange_mw,0.8181747198104858
marginal_loss_price_da,0.8137351274490356
congestion_price_rt,0.6511470079421997
congestion_price_da,0.6345454454421997
