field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-0.9526239633560181,-1.2008139193697025,True
gross_actual_interchange_mw,0.2460934792895835,0.07512533664703369,-0.1709681426425498,True
total_gen,0.9906449538219424,0.9587693437933922,-0.031875610028550216,True
metered_load_mw,0.9762308832723112,0.9697472043335438,-0.006483678938767445,True
total_losses,0.6540839836602339,0.6445856988430023,-0.009498284817231584,True
congestion_price_da,0.0475838272605031,0.24810844659805298,0.2005246193375499,True
congestion_price_rt,0.4561738508473963,0.4177672266960144,-0.03840662415138191,True
marginal_loss_price_da,0.4407231017762543,0.46789926290512085,0.02717616112886656,True
total_lmp_da,0.9299314144617218,0.8960611969232559,-0.03387021753846586,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9280455857515335,-0.04718223320622805,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.926783949136734,-0.015059161908912766,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.38284045457839966,-0.07406358342610442,True
