target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,9,2.1600069999694824,0.9830615505803884
gross_actual_interchange_mw,11,2.3356614112854004,0.9740464639056806
total_gen,28,3.2240521907806396,0.9675433128235945
metered_load_mw,27,3.202012300491333,0.9715324000162838
total_losses,19,2.7237393856048584,0.925045281928695
congestion_price_da,8,2.0759754180908203,0.9983331468956731
congestion_price_rt,11,2.3463754653930664,0.9785145715120493
marginal_loss_price_da,21,2.96785831451416,0.974818998783077
total_lmp_da,32,3.3622539043426514,0.9701414068009396
da_as_total_mw_primary_reserve,11,2.1362946033477783,0.8909040472208357
da_as_total_mw_synchronized_reserve,8,1.9249892234802246,0.9257241354932056
da_as_total_mw_thirty_minutes_reserve,18,2.7106664180755615,0.9378262192987222
