lab,seq,E,n3,p,speed,h_seq,min_E
RTS-GMLC,56.06559088230133,0.07343650817871093,2047,23,763.4566549087992,31.87951792668634,2.5054088706970217
NEM,41.8369080543518,0.0735202157497406,4525,30,569.0531186247154,52.586669151650526,5.544649604459604
PJM load,14.470118498802186,0.06185654401779175,1793,22,233.93027736305731,7.2069229078756445,1.8484797237316768
PJM gen./interch.,24.380378556251525,0.06591361284255981,2324,24,369.883814660351,15.738888823535707,2.55305393743515
CAISO,14.84256694316864,0.07789735794067383,7175,35,190.5400559858866,29.5820605047875,9.315225720405579
