field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.8553743958473206,-0.07422406689211902
gross_actual_interchange_mw,0.8759973140166133,0.8111183047294617,-0.06487900928715162
total_gen,0.99832719588513,0.9878752827644348,-0.010451913120695155
metered_load_mw,0.9962878493933236,0.9902780652046204,-0.006009784188703238
total_losses,0.9334742413917716,0.8738666772842407,-0.059607564107530875
congestion_price_da,0.6602494811248918,0.6584951877593994,-0.0017542933654923765
congestion_price_rt,0.6702083206524372,0.6668721437454224,-0.0033361769070148206
marginal_loss_price_da,0.8816090434068973,0.8047292828559875,-0.07687976055090973
total_lmp_da,0.99047564583207,0.9791444540023804,-0.011331191829689669
da_as_total_mw_primary_reserve,0.953601669814596,0.952751636505127,-0.0008500333094690893
da_as_total_mw_synchronized_reserve,0.920000100798808,0.9191293120384216,-0.0008707887603863762
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.878448486328125,-0.03569523149319864
