confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.9904931,0.9962878493933236,-0.005794704
total_gen,0.98904806,0.99832719588513,-0.009279132
total_lmp_da,0.9826202,0.99047564583207,-0.007855475
da_as_total_mw_primary_reserve,0.94894665,0.953601669814596,-0.0046550035
da_as_total_mw_synchronized_reserve,0.91382575,0.920000100798808,-0.006174326
total_losses,0.861083,0.9334742413917716,-0.07239127
net_actual_interchange_mw,0.8408236,0.9295984627394396,-0.08877486
da_as_total_mw_thirty_minutes_reserve,0.83299756,0.9141437178213236,-0.08114618
marginal_loss_price_da,0.77481186,0.8816090434068973,-0.10679716
gross_actual_interchange_mw,0.77000993,0.8759973140166133,-0.10598737
congestion_price_rt,0.647809,0.6702083206524372,-0.022399306
congestion_price_da,0.60342,0.6602494811248918,-0.056829453
