target,source,gate
gross_actual_interchange_mw,total_lmp_rt,0.3277161121368408
da_as_total_mw_primary_reserve,total_pjm_self_sched_reg,0.32744112610816956
total_losses,gen_fuel_other_renewables_mw,0.327380895614624
da_as_total_mw_thirty_minutes_reserve,da_as_as_req_mw_synchronized_reserve,0.3264668881893158
total_lmp_da,system_energy_price_da,0.3260151445865631
gross_actual_interchange_mw,system_energy_price_da,0.32580357789993286
da_as_total_mw_primary_reserve,gen_fuel_multiple_fuels_pct,0.32393690943717957
metered_load_mw,da_as_as_req_mw_thirty_minutes_reserve,0.3239165246486664
total_losses,gen_fuel_nuclear_mw,0.3236773610115051
congestion_price_da,gen_fuel_hydro_pct,0.3235606849193573
da_as_total_mw_thirty_minutes_reserve,system_energy_price_da,0.3227475881576538
metered_load_mw,gross_sched_interchange_mw,0.32264870405197144
marginal_loss_price_da,gross_inadv_interchange_mw,0.32170987129211426
congestion_price_da,forecast_load_mw_day_ahead,0.32071971893310547
total_lmp_da,gen_fuel_hydro_pct,0.3199513554573059
da_as_total_mw_thirty_minutes_reserve,gen_fuel_multiple_fuels_pct,0.3198254108428955
da_as_total_mw_thirty_minutes_reserve,total_lmp_rt,0.3190423846244812
gross_actual_interchange_mw,da_as_ss_mw_primary_reserve,0.31893154978752136
metered_load_mw,da_as_as_req_mw_primary_reserve,0.3189117908477783
congestion_price_da,gen_fuel_oil_pct,0.31833362579345703
marginal_loss_price_da,forecast_load_mw_day_ahead,0.31813907623291016
congestion_price_da,gen_fuel_coal_mw,0.3178657293319702
metered_load_mw,system_energy_price_da,0.3177175223827362
metered_load_mw,da_as_as_req_mw_synchronized_reserve,0.3174998164176941
marginal_loss_price_da,gen_fuel_coal_mw,0.3173651099205017
total_lmp_da,total_lmp_rt,0.31717267632484436
net_actual_interchange_mw,total_pjm_rmpcp_cr,0.3169929087162018
marginal_loss_price_da,gen_fuel_oil_pct,0.316911906003952
total_lmp_da,gen_fuel_solar_mw,0.3162252902984619
total_gen,system_energy_price_da,0.3159433603286743
congestion_price_rt,total_pjm_rmccp_cr,0.31511107087135315
total_lmp_da,total_pjm_loc_credit,0.3149796426296234
net_actual_interchange_mw,gross_sched_interchange_mw,0.31495800614356995
marginal_loss_price_da,forecast_load_mw_latest_available,0.31487247347831726
congestion_price_da,forecast_load_mw_latest_available,0.3144882619380951
total_lmp_da,gen_fuel_coal_mw,0.3140413165092468
total_gen,da_as_as_req_mw_thirty_minutes_reserve,0.31340157985687256
total_lmp_da,forecast_load_mw_day_ahead,0.3122193217277527
marginal_loss_price_da,total_pjm_loc_credit,0.31214743852615356
total_losses,da_as_as_req_mw_thirty_minutes_reserve,0.3120480179786682
total_lmp_da,gen_fuel_storage_mw,0.3114809989929199
marginal_loss_price_da,rmccp,0.3114493787288666
marginal_loss_price_da,da_as_mcp_primary_reserve,0.3113403022289276
total_gen,gross_sched_interchange_mw,0.31020161509513855
da_as_total_mw_primary_reserve,gross_sched_interchange_mw,0.3098751902580261
total_lmp_da,forecast_load_mw_latest_available,0.30955958366394043
total_losses,system_energy_price_da,0.3081411123275757
da_as_total_mw_thirty_minutes_reserve,gen_fuel_hydro_pct,0.30789658427238464
total_gen,da_as_as_req_mw_synchronized_reserve,0.30764222145080566
total_gen,da_as_as_req_mw_primary_reserve,0.3075646460056305
metered_load_mw,gen_fuel_hydro_pct,0.3075565695762634
metered_load_mw,gen_fuel_oil_mw,0.30606067180633545
total_lmp_da,gross_inadv_interchange_mw,0.3057946562767029
total_lmp_da,gen_fuel_solar_pct,0.3053145408630371
total_losses,gen_fuel_oil_mw,0.30463817715644836
congestion_price_da,da_as_mcp_primary_reserve,0.30447882413864136
congestion_price_da,gross_inadv_interchange_mw,0.304471492767334
total_lmp_da,gen_fuel_oil_pct,0.30415746569633484
gross_actual_interchange_mw,forecast_load_mw_day_ahead,0.3040248155593872
metered_load_mw,gen_fuel_storage_mw,0.3027399778366089
total_gen,gen_fuel_oil_mw,0.3023539185523987
total_losses,da_as_as_req_mw_synchronized_reserve,0.3012376129627228
total_gen,gen_fuel_hydro_pct,0.30113235116004944
metered_load_mw,total_lmp_rt,0.30058854818344116
total_losses,da_as_as_req_mw_primary_reserve,0.30037784576416016
da_as_total_mw_thirty_minutes_reserve,gen_fuel_nuclear_pct,0.30006417632102966
total_gen,total_lmp_rt,0.2991728186607361
da_as_total_mw_thirty_minutes_reserve,gen_fuel_storage_mw,0.2980404198169708
marginal_loss_price_da,gen_fuel_nuclear_pct,0.2980198860168457
gross_actual_interchange_mw,gen_fuel_coal_pct,0.2971172332763672
congestion_price_da,gen_fuel_nuclear_pct,0.2970865070819855
gross_actual_interchange_mw,forecast_load_mw_latest_available,0.29697784781455994
metered_load_mw,da_as_mcp_primary_reserve,0.2963615953922272
da_as_total_mw_thirty_minutes_reserve,rmccp,0.29597634077072144
marginal_loss_price_da,total_pjm_rmccp_cr,0.2956922650337219
da_as_total_mw_primary_reserve,forecast_load_mw_day_ahead,0.2954889237880707
gross_actual_interchange_mw,gen_fuel_storage_mw,0.2953650951385498
da_as_total_mw_thirty_minutes_reserve,gen_fuel_oil_pct,0.2951350212097168
da_as_total_mw_thirty_minutes_reserve,total_pjm_rmpcp_cr,0.29424750804901123
total_lmp_da,rmccp,0.29377448558807373
net_actual_interchange_mw,total_pjm_rmccp_cr,0.2935486435890198
da_as_total_mw_primary_reserve,forecast_load_mw_latest_available,0.29320693016052246
da_as_total_mw_primary_reserve,gen_fuel_hydro_pct,0.29235559701919556
marginal_loss_price_da,gen_fuel_gas_mw,0.29167330265045166
metered_load_mw,rmccp,0.29154083132743835
marginal_loss_price_da,gen_fuel_other_renewables_pct,0.2912634313106537
congestion_price_da,da_as_mcp_synchronized_reserve,0.2912631034851074
da_as_total_mw_primary_reserve,gen_fuel_coal_mw,0.29113703966140747
congestion_price_da,gen_fuel_other_renewables_pct,0.2908686399459839
total_lmp_da,gen_fuel_gas_pct,0.2902480959892273
gross_actual_interchange_mw,gross_sched_interchange_mw,0.2897810935974121
net_actual_interchange_mw,gen_fuel_gas_pct,0.2887037396430969
marginal_loss_price_da,da_as_mcp_synchronized_reserve,0.28858745098114014
total_losses,gen_fuel_oil_pct,0.2881626784801483
gross_actual_interchange_mw,gen_fuel_coal_mw,0.28801485896110535
total_lmp_da,gen_fuel_nuclear_pct,0.2880110442638397
total_lmp_da,da_as_mcp_primary_reserve,0.28752434253692627
total_losses,total_lmp_rt,0.28734439611434937
total_gen,da_as_mcp_primary_reserve,0.2869623601436615
marginal_loss_price_da,gen_fuel_hydro_mw,0.28532329201698303
net_actual_interchange_mw,gen_fuel_gas_mw,0.28485995531082153
gross_actual_interchange_mw,gen_fuel_nuclear_pct,0.2836708724498749
total_lmp_da,gen_fuel_other_renewables_pct,0.28257718682289124
metered_load_mw,gen_fuel_oil_pct,0.28252342343330383
total_lmp_da,gen_fuel_gas_mw,0.2810320258140564
total_lmp_da,total_pjm_rmccp_cr,0.28093332052230835
da_as_total_mw_thirty_minutes_reserve,total_pjm_rmccp_cr,0.2808149456977844
