confidential_field,test_r2,test_mse,used_in_loss
da_as_total_mw_primary_reserve,0.9762809816747904,0.03279571235179901,True
metered_load_mw,0.9754542466253042,0.01061379536986351,True
total_gen,0.9634785987436771,0.016706101596355438,True
da_as_total_mw_synchronized_reserve,0.9463797956705093,0.045160479843616486,True
total_lmp_da,0.873722031712532,0.05484376475214958,True
total_losses,0.5327221155166626,0.4102279245853424,True
da_as_total_mw_thirty_minutes_reserve,0.49884265661239624,0.3596465587615967,True
congestion_price_rt,0.4979892373085022,0.8204394578933716,True
marginal_loss_price_da,0.4250808358192444,0.31488022208213806,True
congestion_price_da,0.1602497696876526,1.4232923984527588,True
gross_actual_interchange_mw,-0.5567127466201782,0.9089015126228333,False
net_actual_interchange_mw,-1.9254083633422852,2.2747650146484375,False
