confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.9919781,0.9962878493933236,-0.004309714
total_gen,0.98909134,0.99832719588513,-0.009235859
total_lmp_da,0.9847034,0.99047564583207,-0.005772233
da_as_total_mw_primary_reserve,0.94984,0.953601669814596,-0.0037616491
da_as_total_mw_synchronized_reserve,0.9147539,0.920000100798808,-0.0052461624
total_losses,0.8702966,0.9334742413917716,-0.063177645
da_as_total_mw_thirty_minutes_reserve,0.86545855,0.9141437178213236,-0.048685193
net_actual_interchange_mw,0.8479327,0.9295984627394396,-0.081665754
marginal_loss_price_da,0.7773943,0.8816090434068973,-0.10421473
gross_actual_interchange_mw,0.77584445,0.8759973140166133,-0.10015285
congestion_price_da,0.6513601,0.6602494811248918,-0.008889377
congestion_price_rt,0.6371649,0.6702083206524372,-0.033043444
