confidential_field,test_r2
metered_load_mw,0.991978108882904
total_gen,0.9890913367271423
total_lmp_da,0.9847034215927124
da_as_total_mw_primary_reserve,0.9498401880264282
da_as_total_mw_synchronized_reserve,0.9147539138793945
total_losses,0.8702965974807739
da_as_total_mw_thirty_minutes_reserve,0.8654587268829346
net_actual_interchange_mw,0.8479326963424683
marginal_loss_price_da,0.7773944139480591
gross_actual_interchange_mw,0.775844395160675
congestion_price_da,0.6513597965240479
congestion_price_rt,0.6371648907661438
