candidate,source,k,retrain_worst_mean,retrain_worst_std,retrain_mean_mean,retrain_mean_std,best_epoch_mean,epochs_ran_mean,n_retrain_seeds
low_order_k24,low_order,24,0.7827370166778564,0.004704567604562549,0.5821134646733602,0.003668867088612702,518.0,611.0,3
degree_k24,baseline,24,0.9627252817153931,0.0006771961092020409,0.625535249710083,0.007517513759262899,468.6666666666667,589.6666666666666,3
single_k24,baseline,24,0.9626920620600382,0.0049342773912393854,0.6458171407381693,0.003467144164216921,564.3333333333334,685.3333333333334,3
random_k24,baseline,24,0.9831018050511678,0.0008984131635197654,0.7481036384900411,0.005523926337745953,566.6666666666666,687.6666666666666,3
mlp_direct_k24,mlp_search,24,0.7768516341845194,0.006576126833748809,0.5934304197629293,0.005490220157633025,537.6666666666666,625.3333333333334,3
gnn_direct_k24,gnn_search,24,0.8438789049784342,0.0026767786754728936,0.5948267181714376,0.002814399673780409,408.6666666666667,529.6666666666666,3
mlp_hybrid_k27,mlp_search,27,0.6523044308026632,0.009064103722672643,0.4665148655573527,0.005036689479652645,399.0,520.0,3
mlp_direct_k27,mlp_search,27,0.6032014687856039,0.002246412997987548,0.46366846561431885,0.006583694618242931,541.0,652.0,3
gnn_hybrid_k27,gnn_search,27,0.6476361552874247,0.007145712300593278,0.4412877360979716,0.0059845691523469765,475.3333333333333,596.3333333333334,3
gnn_direct_k27,gnn_search,27,0.8141480485598246,0.0025196298930029383,0.5518255829811096,0.0038885093980178145,634.3333333333334,718.0,3
mlp_hybrid_k30,mlp_search,30,0.4569655458132426,0.0035467561955673625,0.3253547449906667,0.00031515683170322005,302.6666666666667,423.6666666666667,3
mlp_direct_k30,mlp_search,30,0.577634314695994,0.0009333725518436821,0.4293164014816284,0.003483263531159672,665.3333333333334,764.0,3
gnn_direct_k30,gnn_search,30,0.8134720722834269,0.0027878597598287075,0.548179050286611,0.0023567632046682125,714.6666666666666,760.6666666666666,3
