candidate,source,k,arch,seed,worst,mean,per_conf
low_order_k24,low_order,24,mlp,2,0.7299614548683167,0.5414586663246155,"{""net_actual_interchange_mw"": 0.6968914866447449, ""gross_actual_interchange_mw"": 0.4526216983795166, ""total_gen"": 0.7299614548683167, ""metered_load_mw"": 0.7199859619140625, ""total_losses"": 0.6210920810699463, ""congestion_price_da"": 0.24895036220550537, ""congestion_price_rt"": 0.40518349409103394, ""marginal_loss_price_da"": 0.41562551259994507, ""total_lmp_da"": 0.5877289175987244, ""da_as_total_mw_primary_reserve"": 0.5093269348144531, ""da_as_total_mw_synchronized_reserve"": 0.43634867668151855, ""da_as_total_mw_thirty_minutes_reserve"": 0.6737879514694214}"
degree_k24,baseline,24,mlp,2,0.8599721193313599,0.5519916415214539,"{""net_actual_interchange_mw"": 0.667965292930603, ""gross_actual_interchange_mw"": 0.46223175525665283, ""total_gen"": 0.8599721193313599, ""metered_load_mw"": 0.8481533527374268, ""total_losses"": 0.7137957215309143, ""congestion_price_da"": 0.2656850814819336, ""congestion_price_rt"": 0.36313408613204956, ""marginal_loss_price_da"": 0.44460779428482056, ""total_lmp_da"": 0.5895452499389648, ""da_as_total_mw_primary_reserve"": 0.4423035979270935, ""da_as_total_mw_synchronized_reserve"": 0.3615291714668274, ""da_as_total_mw_thirty_minutes_reserve"": 0.6049755811691284}"
single_k24,baseline,24,mlp,2,0.8641715049743652,0.5697863101959229,"{""net_actual_interchange_mw"": 0.530067503452301, ""gross_actual_interchange_mw"": 0.4215409755706787, ""total_gen"": 0.8641715049743652, ""metered_load_mw"": 0.8596882224082947, ""total_losses"": 0.7352592349052429, ""congestion_price_da"": 0.2831995487213135, ""congestion_price_rt"": 0.3704823851585388, ""marginal_loss_price_da"": 0.48364657163619995, ""total_lmp_da"": 0.6392660737037659, ""da_as_total_mw_primary_reserve"": 0.515325665473938, ""da_as_total_mw_synchronized_reserve"": 0.4414706826210022, ""da_as_total_mw_thirty_minutes_reserve"": 0.6933174133300781}"
random_k24,baseline,24,mlp,2,0.981662392616272,0.7605347037315369,"{""net_actual_interchange_mw"": 0.7119169235229492, ""gross_actual_interchange_mw"": 0.47925931215286255, ""total_gen"": 0.9809152483940125, ""metered_load_mw"": 0.981662392616272, ""total_losses"": 0.8330304026603699, ""congestion_price_da"": 0.5130747556686401, ""congestion_price_rt"": 0.618919849395752, ""marginal_loss_price_da"": 0.8175373077392578, ""total_lmp_da"": 0.979319155216217, ""da_as_total_mw_primary_reserve"": 0.6592457294464111, ""da_as_total_mw_synchronized_reserve"": 0.7062514424324036, ""da_as_total_mw_thirty_minutes_reserve"": 0.8452847599983215}"
mlp_hybrid_k25,mlp_search,25,mlp,2,0.7011873722076416,0.4973282814025879,"{""net_actual_interchange_mw"": 0.4928542971611023, ""gross_actual_interchange_mw"": 0.37461739778518677, ""total_gen"": 0.6990628242492676, ""metered_load_mw"": 0.7011873722076416, ""total_losses"": 0.5979489088058472, ""congestion_price_da"": 0.23049694299697876, ""congestion_price_rt"": 0.34545397758483887, ""marginal_loss_price_da"": 0.38851815462112427, ""total_lmp_da"": 0.5723915100097656, ""da_as_total_mw_primary_reserve"": 0.4853249788284302, ""da_as_total_mw_synchronized_reserve"": 0.4200176000595093, ""da_as_total_mw_thirty_minutes_reserve"": 0.6600649356842041}"
mlp_hybrid_k26,mlp_search,26,mlp,2,0.6611056327819824,0.46395644545555115,"{""net_actual_interchange_mw"": 0.47536152601242065, ""gross_actual_interchange_mw"": 0.3462093472480774, ""total_gen"": 0.6611056327819824, ""metered_load_mw"": 0.6592047214508057, ""total_losses"": 0.560558557510376, ""congestion_price_da"": 0.2125754952430725, ""congestion_price_rt"": 0.35575324296951294, ""marginal_loss_price_da"": 0.36091768741607666, ""total_lmp_da"": 0.5327541828155518, ""da_as_total_mw_primary_reserve"": 0.4305136203765869, ""da_as_total_mw_synchronized_reserve"": 0.3517371416091919, ""da_as_total_mw_thirty_minutes_reserve"": 0.6207868456840515}"
mlp_hybrid_k27,mlp_search,27,mlp,2,0.5729308128356934,0.4120582640171051,"{""net_actual_interchange_mw"": 0.4181877374649048, ""gross_actual_interchange_mw"": 0.32066410779953003, ""total_gen"": 0.564669132232666, ""metered_load_mw"": 0.5703933238983154, ""total_losses"": 0.4830992817878723, ""congestion_price_da"": 0.18836188316345215, ""congestion_price_rt"": 0.3264516592025757, ""marginal_loss_price_da"": 0.30891984701156616, ""total_lmp_da"": 0.49707549810409546, ""da_as_total_mw_primary_reserve"": 0.3849194049835205, ""da_as_total_mw_synchronized_reserve"": 0.30902618169784546, ""da_as_total_mw_thirty_minutes_reserve"": 0.5729308128356934}"
mlp_hybrid_k28,mlp_search,28,mlp,2,0.5282703638076782,0.36878928542137146,"{""net_actual_interchange_mw"": 0.3777415156364441, ""gross_actual_interchange_mw"": 0.31373852491378784, ""total_gen"": 0.5282703638076782, ""metered_load_mw"": 0.5262404084205627, ""total_losses"": 0.439513623714447, ""congestion_price_da"": 0.1594541072845459, ""congestion_price_rt"": 0.28181082010269165, ""marginal_loss_price_da"": 0.26307207345962524, ""total_lmp_da"": 0.4504941701889038, ""da_as_total_mw_primary_reserve"": 0.35375285148620605, ""da_as_total_mw_synchronized_reserve"": 0.26330745220184326, ""da_as_total_mw_thirty_minutes_reserve"": 0.4680752754211426}"
mlp_hybrid_k29,mlp_search,29,mlp,2,0.4544811248779297,0.3097928762435913,"{""net_actual_interchange_mw"": 0.30097585916519165, ""gross_actual_interchange_mw"": 0.2738911509513855, ""total_gen"": 0.445684552192688, ""metered_load_mw"": 0.4544811248779297, ""total_losses"": 0.33557063341140747, ""congestion_price_da"": 0.09544038772583008, ""congestion_price_rt"": 0.25109022855758667, ""marginal_loss_price_da"": 0.2210490107536316, ""total_lmp_da"": 0.40904808044433594, ""da_as_total_mw_primary_reserve"": 0.29746514558792114, ""da_as_total_mw_synchronized_reserve"": 0.21076083183288574, ""da_as_total_mw_thirty_minutes_reserve"": 0.4220576286315918}"
mlp_hybrid_k30,mlp_search,30,mlp,2,0.3949209451675415,0.27365240454673767,"{""net_actual_interchange_mw"": 0.28609490394592285, ""gross_actual_interchange_mw"": 0.24295496940612793, ""total_gen"": 0.35613149404525757, ""metered_load_mw"": 0.3639153242111206, ""total_losses"": 0.2794145941734314, ""congestion_price_da"": 0.07780230045318604, ""congestion_price_rt"": 0.2362903356552124, ""marginal_loss_price_da"": 0.20239150524139404, ""total_lmp_da"": 0.38243985176086426, ""da_as_total_mw_primary_reserve"": 0.2882922291755676, ""da_as_total_mw_synchronized_reserve"": 0.17318058013916016, ""da_as_total_mw_thirty_minutes_reserve"": 0.3949209451675415}"
