candidate,retrain_worst_mean,worst_400cap,change_800_minus_400
degree_k24,0.9627252817153931,0.9625474214553833,0.00017786026000976562
gnn_direct_k24,0.8438789049784342,0.8428539832433065,0.001024921735127693
gnn_direct_k27,0.8141480485598246,0.8074387113253275,0.00670933723449707
gnn_direct_k30,0.8134720722834269,0.8108225663503011,0.00264950593312574
gnn_hybrid_k27,0.6476361552874247,0.647366980711619,0.00026917457580566406
low_order_k24,0.7827370166778564,0.783270537853241,-0.0005335211753845215
mlp_direct_k24,0.7768516341845194,0.774670422077179,0.002181212107340458
mlp_direct_k27,0.6032014687856039,0.6016881863276163,0.0015132824579875415
mlp_direct_k30,0.577634314695994,0.5739345749219259,0.0036997397740681226
mlp_hybrid_k25,0.759041448434194,0.7550344268480936,0.004007021586100334
mlp_hybrid_k26,0.7135962645212809,0.7140083312988281,-0.00041206677754723753
mlp_hybrid_k27,0.6523044308026632,0.6484002073605856,0.0039042234420776367
mlp_hybrid_k28,0.5981108347574869,0.5976247390111288,0.00048609574635816166
mlp_hybrid_k29,0.5412465333938599,0.5419142047564188,-0.0006676713625589636
mlp_hybrid_k30,0.4569655458132426,0.4556948741277059,0.0012706716855367395
random_k24,0.9831018050511678,0.9818671743075053,0.0012346307436625903
single_k24,0.9626920620600382,0.9652204314867655,-0.002528369426727295
