candidate,source,k,arch,oracle_worst_mean,oracle_worst_std,oracle_mean_mean,oracle_mean_std,n_oracle_seeds
degree_k24,baseline,24,gnn,0.8164511919021606,0.060893177900351085,0.3959425489107768,0.02032714386216843,3
degree_k24,baseline,24,mlp,0.8611846566200256,0.002034410311237705,0.5484875837961832,0.003256499430923876,3
gnn_direct_k24,gnn_search,24,gnn,0.6101062297821045,0.0310072513595691,0.4074367582798004,0.01972434161417911,3
gnn_direct_k24,gnn_search,24,mlp,0.7478638887405396,0.0034843804821460198,0.5542369286219279,0.0011367592917078772,3
gnn_direct_k27,gnn_search,27,gnn,0.5680960814158121,0.017302025732957582,0.3723328610261281,0.003999910974205278,3
gnn_direct_k27,gnn_search,27,mlp,0.7108060320218405,0.008109558319212796,0.5033754209677378,0.005143605582288753,3
gnn_direct_k30,gnn_search,30,gnn,0.5492836435635885,0.009436447169048214,0.3714146018028259,0.005748881995738164,3
gnn_direct_k30,gnn_search,30,mlp,0.7140160997708639,0.005489258920166385,0.4989579717318217,0.0040314758918977055,3
gnn_hybrid_k27,gnn_search,27,gnn,0.4624554514884949,0.019734925167631416,0.266905814409256,0.009397921279318953,3
gnn_hybrid_k27,gnn_search,27,mlp,0.5854386885960897,0.015071010807082461,0.392835001150767,0.0047507418949190566,3
low_order_k24,low_order,24,gnn,0.5776950915654501,0.012963756643387284,0.35289976994196565,0.008322736914921632,3
low_order_k24,low_order,24,mlp,0.7342043519020081,0.004362582978390903,0.5422693689664205,0.001612269504856689,3
mlp_direct_k24,mlp_search,24,gnn,0.6581061681111654,0.023063527893098606,0.46798672278722125,0.004861107159772334,3
mlp_direct_k24,mlp_search,24,mlp,0.7289360562960306,0.004450247009742176,0.568979283173879,0.0025986052833395223,3
mlp_direct_k27,mlp_search,27,gnn,0.5362378358840942,0.003177443020459041,0.33386272192001337,0.0093624682826071,3
mlp_direct_k27,mlp_search,27,mlp,0.5891907811164856,0.003019396457987297,0.428195317586263,0.001265868890514079,3
mlp_direct_k30,mlp_search,30,gnn,0.5368879437446594,0.0026338320564139755,0.31309944391250605,0.007876476066401869,3
mlp_direct_k30,mlp_search,30,mlp,0.5596976081530253,0.001488110611705521,0.37823223074277235,0.002533796581821944,3
mlp_hybrid_k25,mlp_search,25,gnn,0.5296878616015116,0.014228226822097583,0.31865183512369794,0.00405368226778693,3
mlp_hybrid_k25,mlp_search,25,mlp,0.7026728391647339,0.0017823223816546758,0.498324195543925,0.001065508955776297,3
mlp_hybrid_k26,mlp_search,26,gnn,0.48682332038879395,0.016155406462856802,0.29537195960680634,0.007376054110060538,3
mlp_hybrid_k26,mlp_search,26,mlp,0.6546636621157328,0.006202187227319632,0.46118483940760296,0.0024076796987013253,3
mlp_hybrid_k27,mlp_search,27,gnn,0.4342134992281596,0.01689888973588083,0.2641442318757375,0.004362123457724957,3
mlp_hybrid_k27,mlp_search,27,mlp,0.5742088953653971,0.0012151695298664156,0.413761039574941,0.0018823552573496497,3
mlp_hybrid_k28,mlp_search,28,gnn,0.4044111172358195,0.004435702040981165,0.2273964385191599,0.005068069630150725,3
mlp_hybrid_k28,mlp_search,28,mlp,0.5326787233352661,0.005956127019064896,0.36929672956466675,0.00251207735682212,3
mlp_hybrid_k29,mlp_search,29,gnn,0.32647101084391267,0.006585106207838894,0.1894476364056269,0.0042979585971466665,3
mlp_hybrid_k29,mlp_search,29,mlp,0.4758182962735494,0.01942391358729153,0.3176896373430888,0.0068484445953475095,3
mlp_hybrid_k30,mlp_search,30,gnn,0.31300127506256104,0.011128073910370174,0.16114627321561176,0.0039599242927129755,3
mlp_hybrid_k30,mlp_search,30,mlp,0.3940698504447937,0.0058673211031763026,0.2774609824021657,0.003539393621870553,3
random_k24,baseline,24,gnn,0.978203018506368,0.0012500210407311674,0.6818891763687134,0.005056061301066521,3
random_k24,baseline,24,mlp,0.9797613223393759,0.0017225137314818759,0.7610480388005575,0.0028752441889321645,3
single_k24,baseline,24,gnn,0.7776613632837931,0.07462380181771591,0.3914228578408559,0.013087287557185303,3
single_k24,baseline,24,mlp,0.8611820538838705,0.004557289391067036,0.570719321568807,0.0034661962490803166,3
