target_idx,target_field,source_idx,source_field,source_type,dominant_metric,dominant_alpha,alpha_pearson,corr_pearson,alpha_spearman,corr_spearman,alpha_kendall,corr_kendall,alpha_nmi,corr_nmi,alpha_distance_corr,corr_distance_corr
49,congestion_price_da,1,gen_fuel_gas_mw,general,nmi,0.3929368555545807,0.12866675853729248,0.33504968881607056,0.15960441529750824,0.2437940090894699,0.203396275639534,0.17732825875282288,0.3929368555545807,0.1270899772644043,0.11539560556411743,0.3957001566886902
49,congestion_price_da,38,system_energy_price_da,general,distance_corr,0.36049291491508484,0.2035779058933258,0.3317148983478546,0.1451483964920044,0.18383361399173737,0.13713334500789642,0.10419522225856781,0.15364740788936615,0.219191312789917,0.36049291491508484,0.4478509724140167
49,congestion_price_da,19,forecast_load_mw_latest_available,general,nmi,0.2333737462759018,0.16431118547916412,0.35791346430778503,0.20660066604614258,0.20353685319423676,0.21375977993011475,0.16338692605495453,0.2333737462759018,0.14353172481060028,0.18195465207099915,0.42032766342163086
49,congestion_price_da,5,gen_fuel_oil_mw,general,kendall,0.22787442803382874,0.1745537370443344,0.34656307101249695,0.21468466520309448,0.15995657444000244,0.22787442803382874,0.10984385758638382,0.22342918813228607,0.13562051951885223,0.15945802628993988,0.45482492446899414
50,congestion_price_rt,39,total_lmp_rt,general,distance_corr,0.44333210587501526,0.10987770557403564,0.5256344676017761,0.10807647556066513,0.597611665725708,0.11324595659971237,0.436840295791626,0.2254677265882492,0.23382802307605743,0.44333210587501526,0.6620169878005981
50,congestion_price_rt,13,gen_fuel_multiple_fuels_pct,general,nmi,0.3316875994205475,0.16777341067790985,0.3141283690929413,0.1589447408914566,0.35024353861808777,0.18311020731925964,0.2619186043739319,0.3316875994205475,0.08172803372144699,0.1584840714931488,0.35228171944618225
50,congestion_price_rt,27,total_pjm_rmccp_cr,general,kendall,0.28189727663993835,0.2287803441286087,0.3426927924156189,0.2029682695865631,0.37057605385780334,0.28189727663993835,0.2931496798992157,0.11350411921739578,0.7031575441360474,0.17284990847110748,0.4245091676712036
50,congestion_price_rt,40,marginal_loss_price_rt,general,nmi,0.2677663564682007,0.188313290476799,0.4764525592327118,0.16772747039794922,0.574363112449646,0.2121216356754303,0.406827837228775,0.2677663564682007,0.285727322101593,0.16407117247581482,0.5954627394676208
50,congestion_price_rt,3,gen_fuel_multiple_fuels_mw,general,nmi,0.24687421321868896,0.18912722170352936,0.3361304998397827,0.1809646636247635,0.38790032267570496,0.1972685158252716,0.259620726108551,0.24687421321868896,0.09694968909025192,0.18576543033123016,0.3576793074607849
50,congestion_price_rt,38,system_energy_price_da,general,spearman,0.22728890180587769,0.21286502480506897,0.43597233295440674,0.22728890180587769,0.46427714824676514,0.18344105780124664,0.3479253947734833,0.14943338930606842,0.10832719504833221,0.2269715815782547,0.46357080340385437
50,congestion_price_rt,15,gen_fuel_oil_pct,general,pearson,0.20970261096954346,0.20970261096954346,0.3845900893211365,0.20596067607402802,0.35251811146736145,0.19458381831645966,0.22801947593688965,0.18141493201255798,0.0219439547508955,0.20833802223205566,0.3724759817123413
50,congestion_price_rt,21,rmccp,general,pearson,0.20763720571994781,0.20763720571994781,0.2805345058441162,0.19978533685207367,0.36888736486434937,0.1972583830356598,0.305536150932312,0.188380166888237,1.0,0.20693887770175934,0.45376378297805786
50,congestion_price_rt,5,gen_fuel_oil_mw,general,pearson,0.2035076916217804,0.2035076916217804,0.3902544379234314,0.20173077285289764,0.36456218361854553,0.20105059444904327,0.20778146386146545,0.19373850524425507,0.0851275846362114,0.19997242093086243,0.31729674339294434
53,da_as_total_mw_primary_reserve,37,da_as_nsr_mw_primary_reserve,general,pearson,0.325740784406662,0.325740784406662,0.7314221262931824,0.16065803170204163,0.644254207611084,0.105319082736969,0.49468350410461426,0.17654341459274292,0.6648451089859009,0.23173871636390686,0.7061870694160461
53,da_as_total_mw_primary_reserve,32,da_as_as_req_mw_synchronized_reserve,general,kendall,0.26394176483154297,0.21421591937541962,0.6831938624382019,0.20363494753837585,0.7070375680923462,0.26394176483154297,0.6077573895454407,0.13648824393749237,1.0,0.18171915411949158,0.766772449016571
53,da_as_total_mw_primary_reserve,31,da_as_as_req_mw_primary_reserve,general,kendall,0.2549721598625183,0.21483680605888367,0.674575686454773,0.20520803332328796,0.6984958052635193,0.2549721598625183,0.6032033562660217,0.14048443734645844,1.0,0.1844986230134964,0.7611330151557922
53,da_as_total_mw_primary_reserve,33,da_as_as_req_mw_thirty_minutes_reserve,general,kendall,0.2452218234539032,0.19869102537631989,0.6752692461013794,0.19488559663295746,0.6857672333717346,0.2452218234539032,0.5853059887886047,0.1807251125574112,0.7314170002937317,0.18047645688056946,0.732298731803894
53,da_as_total_mw_primary_reserve,25,total_pjm_self_sched_reg,general,nmi,0.20539431273937225,0.1964256465435028,0.18342214822769165,0.19731734693050385,0.16738909482955933,0.20174182951450348,0.0869300365447998,0.20539431273937225,0.028677815571427345,0.19912086427211761,0.13557086884975433
53,da_as_total_mw_primary_reserve,29,da_as_mcp_primary_reserve,general,pearson,0.20131558179855347,0.20131558179855347,0.16955505311489105,0.19910737872123718,0.3511554002761841,0.2000645101070404,0.27536842226982117,0.1996467113494873,0.30234411358833313,0.19986587762832642,0.2847083806991577
53,da_as_total_mw_primary_reserve,4,gen_fuel_nuclear_mw,general,distance_corr,0.2008821666240692,0.20065678656101227,0.43467918038368225,0.20045821368694305,0.4118874669075012,0.199367493391037,0.3302573263645172,0.19863535463809967,0.22781901061534882,0.2008821666240692,0.46321672201156616
53,da_as_total_mw_primary_reserve,28,total_pjm_rmpcp_cr,general,distance_corr,0.20019091665744781,0.1999531239271164,0.16580548882484436,0.20013177394866943,0.195896178483963,0.19978441298007965,0.1286676526069641,0.1999397724866867,0.1619681566953659,0.20019091665744781,0.20563995838165283
54,da_as_total_mw_synchronized_reserve,37,da_as_nsr_mw_primary_reserve,general,nmi,0.24824292957782745,0.1888967752456665,0.4461314380168915,0.18585532903671265,0.40618446469306946,0.1822679340839386,0.35727784037590027,0.24824292957782745,0.9733321666717529,0.1947370320558548,0.522155225276947
54,da_as_total_mw_synchronized_reserve,1,gen_fuel_gas_mw,general,nmi,0.2229892909526825,0.1925964653491974,0.30571648478507996,0.1908431500196457,0.3223472535610199,0.20180150866508484,0.22415363788604736,0.2229892909526825,0.07580360025167465,0.19176959991455078,0.3135102093219757
54,da_as_total_mw_synchronized_reserve,32,da_as_as_req_mw_synchronized_reserve,general,kendall,0.21014150977134705,0.19960038363933563,0.7339830994606018,0.1986849308013916,0.7493045330047607,0.21014150977134705,0.5761778354644775,0.19201155006885529,0.8715472221374512,0.19956159591674805,0.7365556955337524
54,da_as_total_mw_synchronized_reserve,31,da_as_as_req_mw_primary_reserve,general,kendall,0.20878426730632782,0.19979730248451233,0.7253854274749756,0.19929534196853638,0.744894802570343,0.20878426730632782,0.5764614343643188,0.19284747540950775,0.8462489247322083,0.1992756724357605,0.745121419429779
54,da_as_total_mw_synchronized_reserve,33,da_as_as_req_mw_thirty_minutes_reserve,general,kendall,0.2058119773864746,0.1982734501361847,0.729421854019165,0.19666790962219238,0.7631813287734985,0.2058119773864746,0.606255054473877,0.2008412927389145,0.6894987225532532,0.198405459523201,0.7258543372154236
54,da_as_total_mw_synchronized_reserve,16,gen_fuel_other_renewables_pct,general,nmi,0.201032355427742,0.19968919456005096,0.2824864983558655,0.19955290853977203,0.2953891456127167,0.2002173811197281,0.23835489153862,0.201032355427742,0.1193980798125267,0.1995081752538681,0.30110302567481995
54,da_as_total_mw_synchronized_reserve,29,da_as_mcp_primary_reserve,general,spearman,0.20021067559719086,0.19994893670082092,0.24907638132572174,0.20021067559719086,0.3423628807067871,0.2000158131122589,0.25551190972328186,0.20003819465637207,0.2645018696784973,0.19978637993335724,0.29216456413269043
55,da_as_total_mw_thirty_minutes_reserve,4,gen_fuel_nuclear_mw,general,nmi,0.6873829364776611,0.07468680292367935,0.5318328738212585,0.06996538490056992,0.5850105285644531,0.09268277883529663,0.39277151226997375,0.6873829364776611,0.18607239425182343,0.07528213411569595,0.5257548689842224
55,da_as_total_mw_thirty_minutes_reserve,30,da_as_mcp_synchronized_reserve,general,kendall,0.541348397731781,0.11082088947296143,0.5144726037979126,0.11511871963739395,0.5027998089790344,0.541348397731781,0.37353354692459106,0.11732522398233414,0.49725377559661865,0.11538669466972351,0.5021107792854309
55,da_as_total_mw_thirty_minutes_reserve,29,da_as_mcp_primary_reserve,general,nmi,0.3079998791217804,0.1637297123670578,0.45200470089912415,0.1611746847629547,0.4609462320804596,0.20478995144367218,0.34796279668807983,0.3079998791217804,0.25404176115989685,0.16230571269989014,0.45693761110305786
55,da_as_total_mw_thirty_minutes_reserve,37,da_as_nsr_mw_primary_reserve,general,nmi,0.2998111844062805,0.17177729308605194,0.3753282129764557,0.1656331717967987,0.402095764875412,0.1916203498840332,0.3047332465648651,0.2998111844062805,0.14748165011405945,0.1711580455303192,0.37791287899017334
55,da_as_total_mw_thirty_minutes_reserve,3,gen_fuel_multiple_fuels_mw,general,distance_corr,0.27764859795570374,0.26441726088523865,0.4795806407928467,0.2219037562608719,0.4564517140388489,0.1416696310043335,0.3251888155937195,0.09436075389385223,0.08289259672164917,0.27764859795570374,0.48440492153167725
55,da_as_total_mw_thirty_minutes_reserve,13,gen_fuel_multiple_fuels_pct,general,distance_corr,0.2770426571369171,0.25191935896873474,0.47084394097328186,0.24538013339042664,0.4679732620716095,0.13750459253787994,0.3341655731201172,0.08815326541662216,0.08633998036384583,0.2770426571369171,0.47942185401916504
55,da_as_total_mw_thirty_minutes_reserve,5,gen_fuel_oil_mw,general,pearson,0.2340482622385025,0.2340482622385025,0.4559187889099121,0.21279031038284302,0.3749222457408905,0.18200211226940155,0.20876134932041168,0.16916918754577637,0.1103571429848671,0.20199008285999298,0.32473433017730713
55,da_as_total_mw_thirty_minutes_reserve,15,gen_fuel_oil_pct,general,pearson,0.23298831284046173,0.23298831284046173,0.48782333731651306,0.2149582952260971,0.44167253375053406,0.18423718214035034,0.3120928704738617,0.14984562993049622,0.09404275566339493,0.21797065436840057,0.45078423619270325
55,da_as_total_mw_thirty_minutes_reserve,28,total_pjm_rmpcp_cr,general,nmi,0.2297964245080948,0.19919224083423615,0.2250649333000183,0.18296018242835999,0.3315010666847229,0.2014113813638687,0.2127346694469452,0.2297964245080948,0.0747775211930275,0.1866397261619568,0.30344316363334656
55,da_as_total_mw_thirty_minutes_reserve,33,da_as_as_req_mw_thirty_minutes_reserve,general,spearman,0.22783277928829193,0.21875259280204773,0.32768502831459045,0.22783277928829193,0.34167733788490295,0.18587161600589752,0.2466767281293869,0.1527128517627716,0.12329836934804916,0.2148302048444748,0.3206348121166229
55,da_as_total_mw_thirty_minutes_reserve,38,system_energy_price_da,general,pearson,0.22693638503551483,0.22693638503551483,0.5350232720375061,0.2221732884645462,0.5202525854110718,0.18068692088127136,0.355795294046402,0.1571887582540512,0.19638992846012115,0.2130146324634552,0.48859265446662903
55,da_as_total_mw_thirty_minutes_reserve,22,rmpcp,general,pearson,0.20585966110229492,0.20585966110229492,0.09105819463729858,0.19452312588691711,0.2839261591434479,0.1998988687992096,0.18849989771842957,0.20469731092453003,0.1106879711151123,0.19502107799053192,0.2741597294807434
55,da_as_total_mw_thirty_minutes_reserve,39,total_lmp_rt,general,spearman,0.20420940220355988,0.20386573672294617,0.3679456114768982,0.20420940220355988,0.37497076392173767,0.19462139904499054,0.23713503777980804,0.1940816044807434,0.21807344257831573,0.20322184264659882,0.35654082894325256
55,da_as_total_mw_thirty_minutes_reserve,31,da_as_as_req_mw_primary_reserve,general,spearman,0.20277531445026398,0.20189251005649567,0.31137174367904663,0.20277531445026398,0.33402857184410095,0.19809262454509735,0.23307402431964874,0.19477108120918274,0.14801084995269775,0.20246842503547668,0.32601481676101685
55,da_as_total_mw_thirty_minutes_reserve,32,da_as_as_req_mw_synchronized_reserve,general,distance_corr,0.20053952932357788,0.2001596838235855,0.29390498995780945,0.20035263895988464,0.31628596782684326,0.1997818499803543,0.25534552335739136,0.19916632771492004,0.17173492908477783,0.20053952932357788,0.3491135835647583
45,gross_actual_interchange_mw,24,total_pjm_reg_purchases,general,nmi,0.2649616301059723,0.18012279272079468,0.32566139101982117,0.17789562046527863,0.3384970426559448,0.19850774109363556,0.236580491065979,0.2649616301059723,0.05153295025229454,0.17851221561431885,0.33489248156547546
45,gross_actual_interchange_mw,10,gen_fuel_coal_pct,general,nmi,0.2459966540336609,0.18518468737602234,0.32054489850997925,0.18728308379650116,0.3062891960144043,0.1994275003671646,0.23669585585594177,0.2459966540336609,0.04930012673139572,0.18210801482200623,0.34232452511787415
45,gross_actual_interchange_mw,0,gen_fuel_coal_mw,general,nmi,0.24532465636730194,0.1837485432624817,0.3550856411457062,0.18505072593688965,0.34417295455932617,0.20032207667827606,0.2383161038160324,0.24532465636730194,0.03460685908794403,0.18555395305156708,0.33999326825141907
45,gross_actual_interchange_mw,42,gross_sched_interchange_mw,general,pearson,0.2203671783208847,0.2203671783208847,0.47674453258514404,0.2161342352628708,0.4580235183238983,0.18712300062179565,0.32184043526649475,0.16205239295959473,0.07186632603406906,0.21432319283485413,0.4504407048225403
