,system_energy_price_da,da_as_nsr_mw_primary_reserve,marginal_loss_price_rt,total_lmp_rt,da_as_as_req_mw_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_mcp_primary_reserve,total_pjm_reg_purchases,da_as_ss_mw_primary_reserve,rmccp,rmpcp
system_energy_price_da,0.450578,0.31010184,0.098623335,0.14885002,0.47544986,0.39167297,0.48444685,0.38449907,0.4128607,0.4164162,0.3974936,0.45005777
da_as_nsr_mw_primary_reserve,0.26500097,0.40547714,0.24098516,0.2899375,0.37367082,0.3668676,0.36316305,0.34935594,0.3153326,0.35919964,0.3409042,0.33729193
marginal_loss_price_rt,0.038950413,0.2264131,0.39090508,0.13408607,0.3862841,0.29714173,0.39821658,0.28792763,0.3627597,0.3636765,0.3882057,0.38940018
total_lmp_rt,0.029745013,0.21593335,0.07465398,0.331473,0.35274142,0.24861415,0.35867366,0.23196852,0.28802967,0.30562487,0.31707132,0.31656775
da_as_as_req_mw_primary_reserve,0.20798108,0.1513029,0.17848825,0.20437765,0.18310922,0.21998535,0.05014351,0.18713585,0.17467025,0.21692762,0.2253578,0.173705
da_as_mcp_synchronized_reserve,0.076845974,0.097141474,0.041987658,0.05289215,0.17262712,0.135751,0.17536855,0.006974891,0.10277432,0.12399041,0.106631756,0.12996326
da_as_as_req_mw_thirty_minutes_reserve,0.16683456,0.09065163,0.1402772,0.16016638,0.0,0.17258327,0.13296571,0.13947219,0.13738948,0.16536579,0.16457433,0.11498836
da_as_mcp_primary_reserve,0.06699476,0.07695249,0.030096233,0.033569217,0.13710031,0.0042975843,0.13958016,0.13307369,0.08682382,0.09798304,0.101338685,0.11021398
total_pjm_reg_purchases,0.08756456,0.035137326,0.0971365,0.08183855,0.116842896,0.0923052,0.12970564,0.079032004,0.12528187,0.12781236,0.13119131,0.09932211
da_as_ss_mw_primary_reserve,0.045978844,0.033863157,0.052912056,0.05429253,0.113959044,0.06838006,0.11254071,0.045049995,0.082671136,0.08014064,0.102252916,0.080207735
rmccp,0.011488527,0.0,0.061873555,0.050171256,0.10682151,0.035453692,0.09618154,0.032837927,0.07048237,0.0866852,0.06457293,0.061535567
rmpcp,0.07144067,0.003775686,0.070456,0.057055652,0.06255667,0.066173166,0.05398354,0.04910119,0.046001136,0.07202799,0.06892353,0.071960896
