target_field,n_valid_sources,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,9,0.19711805880069733,0.1900584101676941,0.19514422118663788,0.22007887065410614,0.19760045409202576
gross_actual_interchange_mw,11,0.1999812126159668,0.20001226663589478,0.19970674812793732,0.20014379918575287,0.20015597343444824
total_gen,28,0.1905173510313034,0.18952582776546478,0.19049815833568573,0.24148449301719666,0.1879742294549942
metered_load_mw,27,0.1887131631374359,0.1867285519838333,0.19411641359329224,0.24329698085784912,0.187144935131073
total_losses,19,0.1785995066165924,0.16955046355724335,0.16014577448368073,0.3246387541294098,0.16706551611423492
congestion_price_da,16,0.17481297254562378,0.18582959473133087,0.19589287042617798,0.2177928239107132,0.22567172348499298
congestion_price_rt,16,0.20426298677921295,0.17255154252052307,0.1898309290409088,0.22491580247879028,0.2084387242794037
marginal_loss_price_da,21,0.20424336194992065,0.17639298737049103,0.19396373629570007,0.2463911771774292,0.17900873720645905
total_lmp_da,32,0.1892363727092743,0.1825573593378067,0.2099311202764511,0.2387952357530594,0.1794799417257309
da_as_total_mw_primary_reserve,11,0.26169589161872864,0.17263080179691315,0.23964424431324005,0.15763969719409943,0.16838933527469635
da_as_total_mw_synchronized_reserve,8,0.17891322076320648,0.17492301762104034,0.18668286502361298,0.28285831212997437,0.17662261426448822
da_as_total_mw_thirty_minutes_reserve,18,0.2001393437385559,0.18757599592208862,0.16928008198738098,0.2611991763114929,0.18180537223815918
