feature,gate,pearson,spearman,kendall,nmi,distance_corr,hsic
system_energy_price_da,0.61509806,0.3034782,0.18920447,0.120852284,0.2580527,0.548953,0.21077198
gen_fuel_oil_mw,0.60854834,0.41289964,0.20401856,0.122890644,0.19840972,0.44383523,0.12330176
da_as_mcp_synchronized_reserve,0.60247964,0.29007167,0.24386114,0.20689556,0.18627487,0.39594308,0.09409374
forecast_load_mw_latest_available,0.60020465,0.3513364,0.21853942,0.13276711,0.19445862,0.3938649,0.07170572
total_lmp_rt,0.5985473,0.332044,0.21422292,0.10882402,0.14761555,0.40250167,0.12848864
marginal_loss_price_rt,0.5962618,0.29390442,0.16758962,0.13023794,0.12042915,0.44365045,0.1338197
forecast_load_mw_day_ahead,0.5957616,0.31892687,0.2173558,0.12736276,0.17550336,0.37379342,0.073465526
gen_fuel_oil_pct,0.59477764,0.33501902,0.16363141,0.07471374,0.22110887,0.3671799,0.102545016
gen_fuel_nuclear_pct,0.59375846,0.25151545,0.1979721,0.14583774,0.19625129,0.37297666,0.09407882
da_as_mcp_primary_reserve,0.5912476,0.2733237,0.20295267,0.15781944,0.18652853,0.3154608,0.08105731
gen_fuel_gas_mw,0.5902213,0.34183037,0.22078793,0.14016837,0.10224232,0.32823265,0.053108267
gen_fuel_hydro_mw,0.58820516,0.21449308,0.22502573,0.16523261,0.14508809,0.32767627,0.09033512
gen_fuel_other_renewables_pct,0.5869906,0.228483,0.23048599,0.15558666,0.13848628,0.31556064,0.075957276
gross_inadv_interchange_mw,0.580118,0.23743637,0.17152032,0.1534362,0.089093834,0.3186742,0.04258061
gen_fuel_coal_mw,0.57889724,0.27388588,0.132617,0.09950777,0.13777818,0.29939505,0.041804325
da_as_as_req_mw_primary_reserve,0.57541287,0.21894085,0.22356941,0.16527312,0.080661535,0.22397393,0.03086992
da_as_as_req_mw_synchronized_reserve,0.5751605,0.21079616,0.23363705,0.16698511,0.09455102,0.20814577,0.028100453
da_as_as_req_mw_thirty_minutes_reserve,0.57242477,0.19421868,0.24493374,0.15981688,0.0679545,0.20212139,0.025913639
gen_fuel_hydro_pct,0.5713431,0.15424111,0.19575298,0.1401912,0.07712822,0.247597,0.057826348
total_pjm_rmccp_cr,0.5667172,0.15266873,0.09447174,0.048531555,0.14846976,0.28065336,0.05217366
total_pjm_loc_credit,0.5664605,0.18620183,0.2050659,0.12566112,0.039916914,0.20107219,0.026367707
gen_fuel_coal_pct,0.56570494,0.19530557,0.12189625,0.057383575,0.16839932,0.19808769,0.023541955
gen_fuel_nuclear_mw,0.5639284,0.19718535,0.08517462,0.042876307,0.2235784,0.17378137,0.010584753
gen_fuel_storage_mw,0.561759,0.12865837,0.13446511,0.14145681,0.026232107,0.22633016,0.04397987
rmccp,0.5603415,0.18471213,0.09719602,0.050076947,0.08705093,0.20774683,0.039218195
gen_fuel_multiple_fuels_mw,0.56007946,0.09291757,0.015058587,0.07618588,0.14101835,0.2742331,0.063637815
total_pjm_reg_purchases,0.5552794,0.1057527,0.0543589,0.09249096,0.094212204,0.20685086,0.030325087
gen_fuel_gas_pct,0.55526996,0.14332262,0.1504827,0.08707042,0.05115715,0.1472178,0.010203254
total_pjm_assigned_reg,0.55314124,0.11958712,0.09073238,0.07056573,0.040072132,0.19896963,0.024647962
gen_fuel_wind_pct,0.5471055,0.10165019,0.13782659,0.0692665,0.027306005,0.107557416,0.0072605903
gross_sched_interchange_mw,0.54531616,0.1546498,0.054806218,0.023915779,0.026699578,0.13273448,0.011009629
gen_fuel_multiple_fuels_pct,0.5444359,0.01795518,0.0064583137,0.009854149,0.11365479,0.20532954,0.04140461
gen_fuel_other_renewables_mw,0.5443977,0.10228979,0.002178153,0.041749287,0.100084685,0.13250796,0.0142967235
gen_fuel_solar_mw,0.5424513,0.0719296,0.04895555,0.034117654,0.07775887,0.116971724,0.015515275
gen_fuel_solar_pct,0.54091674,0.103392996,0.026798712,0.010761057,0.05795865,0.11869422,0.0138934385
total_pjm_rmpcp_cr,0.5394858,0.022421975,0.018125845,0.03240877,0.06086527,0.14848936,0.030753365
net_inadv_interchange_mw,0.53912944,0.05677896,0.0600181,0.065593645,0.00021927888,0.11667193,0.009038292
da_as_ss_mw_thirty_minutes_reserve,0.537573,0.021245286,0.023202237,0.0025500434,0.13880911,0.09124556,0.007979828
gen_fuel_wind_mw,0.53620327,0.025789581,0.08134446,0.0578454,0.011653321,0.08338206,0.0043385513
da_as_ss_mw_synchronized_reserve,0.5356662,0.017593503,0.038021963,0.027548995,0.10138728,0.065627925,0.0056418474
da_as_nsr_mw_primary_reserve,0.53484654,0.015578547,0.017629117,0.0020896862,0.13687022,0.06427455,0.0034314084
rmpcp,0.5336761,0.02031917,0.03880083,0.008190247,0.03424408,0.10193064,0.010445397
da_as_ss_mw_primary_reserve,0.53264207,0.0007140766,0.014728094,0.015736569,0.08410746,0.07623876,0.009325796
total_pjm_self_sched_reg,0.526927,0.0022766283,0.01758361,0.0015401724,0.008348391,0.065248646,0.003378972
gen_fuel_storage_pct,0.5209935,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_synchronized_reserve,0.5209935,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_thirty_minutes_reserve,0.5209935,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_primary_reserve,0.5209935,0.0,0.0,0.0,0.0,0.0,0.0
da_as_mcp_thirty_minutes_reserve,0.5209935,0.0,0.0,0.0,0.0,0.0,0.0
