,值
字段数,87.0
集合数,109823.0
树模型选中比例,0.5883831255747886
最强单字段,0.5234131813049316
规模3最大V,0.8558038473129272
V误差,0.014091960154473782
V偏差,-0.013856298290193081
M2误差,0.02363453432917595
M2排序Spearman,0.8441532405044834
认证前1,0.9768314361572266
认证前3,0.9895656704902649
估计耗时ms,90.8184535213108
τ0.5_单字段即危险,19.0
τ0.5_组合危险字段,68.0
τ0.5_危险小组合,2164.0
τ0.5_单字段定级后仍暴露,2145.0
τ0.5_最少扣留,74.0
τ0.5_δ0.0_扫描召回,1.0
τ0.5_δ0.0_扫描精确,1.0
τ0.5_δ0.0_认证召回,0.8505747126436781
τ0.5_δ0.0_认证重训集合数,522.0
τ0.5_δ0.0_估计命中集扣留,73.0
τ0.5_δ0.0_估计命中集残余,15.0
τ0.5_δ0.05_扫描召回,1.0
τ0.5_δ0.05_扫描精确,1.0
τ0.5_δ0.05_认证召回,0.9655172413793104
τ0.5_δ0.05_认证重训集合数,516.0
τ0.5_δ0.05_估计命中集扣留,74.0
τ0.5_δ0.05_估计命中集残余,3.0
τ0.7_单字段即危险,0.0
τ0.7_组合危险字段,83.0
τ0.7_危险小组合,512.0
τ0.7_单字段定级后仍暴露,512.0
τ0.7_最少扣留,7.0
τ0.7_δ0.0_扫描召回,1.0
τ0.7_δ0.0_扫描精确,0.9540229885057471
τ0.7_δ0.0_认证召回,0.8554216867469879
τ0.7_δ0.0_认证重训集合数,522.0
τ0.7_δ0.0_估计命中集扣留,6.0
τ0.7_δ0.0_估计命中集残余,12.0
τ0.7_δ0.05_扫描召回,1.0
τ0.7_δ0.05_扫描精确,0.9540229885057471
τ0.7_δ0.05_认证召回,0.8313253012048193
τ0.7_δ0.05_认证重训集合数,522.0
τ0.7_δ0.05_估计命中集扣留,8.0
τ0.7_δ0.05_估计命中集残余,9.0
串行重训单集合秒,15.47911225159963
全枚举串行重训小时,472.21181800206284
扫描小时,2.7705430614085875
认证重训小时_τ05,2.2444712764819466
