field,field_type,s_init,label,is_labeled,score
congestion_price_rt,confidential,1.0,1.0,True,0.99611855
marginal_loss_price_da,confidential,1.0,1.0,True,0.9956311
total_lmp_da,confidential,1.0,1.0,True,0.99538606
total_gen,confidential,1.0,1.0,True,0.99436224
total_losses,confidential,1.0,1.0,True,0.9941497
congestion_price_da,confidential,1.0,1.0,True,0.9930646
metered_load_mw,confidential,1.0,1.0,True,0.99237305
da_as_total_mw_thirty_minutes_reserve,confidential,1.0,1.0,True,0.9914051
net_actual_interchange_mw,confidential,1.0,1.0,True,0.99066
gross_actual_interchange_mw,confidential,1.0,1.0,True,0.98978347
da_as_total_mw_primary_reserve,confidential,1.0,1.0,True,0.9896723
da_as_total_mw_synchronized_reserve,confidential,1.0,1.0,True,0.98867536
forecast_load_mw_latest_available,general,0.0,0.9143514,True,0.93143874
gen_fuel_nuclear_mw,general,0.0,,False,0.824393
system_energy_price_da,general,0.0,0.8312529,True,0.8185424
gen_fuel_oil_mw,general,0.0,,False,0.77683073
gen_fuel_gas_mw,general,0.0,0.7339229,True,0.7402719
gen_fuel_oil_pct,general,0.0,,False,0.71667403
forecast_load_mw_day_ahead,general,0.0,0.69979775,True,0.6935755
gen_fuel_coal_mw,general,0.0,,False,0.6753921
gen_fuel_coal_pct,general,0.0,,False,0.6735311
gen_fuel_nuclear_pct,general,0.0,0.6543187,True,0.6632183
gross_inadv_interchange_mw,general,0.0,,False,0.63846093
gen_fuel_other_renewables_pct,general,0.0,,False,0.62172645
gen_fuel_other_renewables_mw,general,0.0,,False,0.5969074
da_as_mcp_synchronized_reserve,general,0.0,,False,0.5922347
gen_fuel_wind_pct,general,0.0,,False,0.5710505
gross_sched_interchange_mw,general,0.0,,False,0.56001043
da_as_mcp_primary_reserve,general,0.0,,False,0.5469394
gen_fuel_wind_mw,general,0.0,,False,0.5112044
gen_fuel_multiple_fuels_mw,general,0.0,,False,0.489288
da_as_as_req_mw_thirty_minutes_reserve,general,0.0,0.41714805,True,0.4439378
da_as_as_req_mw_primary_reserve,general,0.0,0.41003218,True,0.44208422
total_lmp_rt,general,0.0,0.42230332,True,0.43701392
gen_fuel_hydro_mw,general,0.0,,False,0.4354527
da_as_as_req_mw_synchronized_reserve,general,0.0,0.4119666,True,0.42680594
gen_fuel_gas_pct,general,0.0,,False,0.40340126
marginal_loss_price_rt,general,0.0,0.35812065,True,0.37915722
gen_fuel_solar_mw,general,0.0,,False,0.33607522
gen_fuel_multiple_fuels_pct,general,0.0,,False,0.30812454
gen_fuel_solar_pct,general,0.0,,False,0.24265055
gen_fuel_hydro_pct,general,0.0,,False,0.23383819
total_pjm_rmccp_cr,general,0.0,,False,0.22589774
rmccp,general,0.0,,False,0.18924798
total_pjm_loc_credit,general,0.0,,False,0.124914214
total_pjm_reg_purchases,general,0.0,,False,0.11903538
gen_fuel_storage_mw,general,0.0,,False,0.07815311
da_as_nsr_mw_primary_reserve,general,0.0,,False,0.061399702
total_pjm_assigned_reg,general,0.0,,False,0.057087474
da_as_ss_mw_synchronized_reserve,general,0.0,0.04990732,True,0.051056672
da_as_ss_mw_thirty_minutes_reserve,general,0.0,0.04351099,True,0.05054739
da_as_ss_mw_primary_reserve,general,0.0,0.041301817,True,0.04609598
total_pjm_self_sched_reg,general,0.0,0.048434965,True,0.03257412
rmpcp,general,0.0,,False,0.020699129
total_pjm_rmpcp_cr,general,0.0,,False,0.017547619
net_inadv_interchange_mw,general,0.0,0.00851905,True,0.016380928
