target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,16,2.597290515899658,0.9367745367590936
gross_actual_interchange_mw,17,2.2467474937438965,0.7930032866947124
total_gen,28,2.942162275314331,0.8829476901343115
metered_load_mw,27,2.93890643119812,0.8917026390208052
total_losses,19,2.761124610900879,0.9377421744642652
congestion_price_da,8,2.002892255783081,0.9631875749510536
congestion_price_rt,11,2.2785840034484863,0.9502433360191553
marginal_loss_price_da,21,2.867185592651367,0.9417521635331874
total_lmp_da,32,3.2302091121673584,0.9320413334316379
da_as_total_mw_primary_reserve,11,2.0349929332733154,0.8486579694944124
da_as_total_mw_synchronized_reserve,8,1.760554552078247,0.8466477738325925
da_as_total_mw_thirty_minutes_reserve,18,2.750293254852295,0.9515361639342098
