,节点电价_309,节点电价_317,节点电价_215,系统电能价格,节点电价_325,节点电价_223,节点电价_116,节点电价_121,节点电价_318,节点电价_303,屋顶光伏预测,光伏出力预测
节点电价_309,0.5162141,0.04447323,0.054427743,0.05124584,0.031440318,0.07645318,0.049225062,0.06569481,0.08145782,0.17988822,0.267964,0.24870598
节点电价_317,0.025650442,0.49739128,0.05075389,0.04888156,0.02970773,0.06885466,0.042503625,0.06370568,0.07133624,0.17101929,0.2664293,0.2519222
节点电价_215,0.026799083,0.04194802,0.4885854,0.0344927,0.024652004,0.052321345,0.024584323,0.049423933,0.07254425,0.1844432,0.25092202,0.23516572
系统电能价格,0.02798462,0.04444313,0.038860142,0.49295285,0.02365297,0.06220284,0.023946673,0.044391334,0.07379553,0.18674985,0.2503425,0.2354297
节点电价_325,0.02646792,0.04355812,0.047308266,0.04194179,0.5112417,0.07145241,0.04232219,0.057856023,0.09139255,0.1833305,0.25381243,0.24067932
节点电价_223,0.027747273,0.038971543,0.0312441,0.036758155,0.027718902,0.46750817,0.034499794,0.05205649,0.068383306,0.16706213,0.242868,0.22691524
节点电价_116,0.027102828,0.03920418,0.03009075,0.025085658,0.025172353,0.061083466,0.49409184,0.041152656,0.07821676,0.1893582,0.2533908,0.2390576
节点电价_121,0.029228032,0.046061695,0.040585816,0.031185776,0.026361644,0.06429562,0.026808113,0.4797473,0.08781317,0.18677309,0.23633409,0.22250879
节点电价_318,0.019940794,0.028641999,0.038655877,0.035539716,0.034847915,0.055572182,0.038821965,0.062762916,0.45469704,0.17860219,0.22877067,0.21669668
节点电价_303,0.020478249,0.030432105,0.052661896,0.050601095,0.028892934,0.05635807,0.05207047,0.0638299,0.08070925,0.3568041,0.2509629,0.22663951
屋顶光伏预测,0.25625068,0.27353877,0.26683736,0.26189038,0.2470715,0.2798606,0.2637997,0.26108754,0.27857438,0.39865956,0.50450075,0.013110697
光伏出力预测,0.23804098,0.26007998,0.25212938,0.24802592,0.23498672,0.26495615,0.25051484,0.24831057,0.2675487,0.37538448,0.014159024,0.5055491
