目标,规则依据,M0均值,M1均值,M2均值,M3均值,背景升级均值_M2减M0,K饱和_M1除M2,K饱和_M2除M3,最强单字段V,全部规模≤4集合最大V,τ0.5_单字段即危险,τ0.5_K2关键,τ0.5_单看安全组合危险,τ0.5_危险小组合,τ0.5_单字段定级后仍暴露,τ0.5_最少扣留,τ0.7_单字段即危险,τ0.7_K2关键,τ0.7_单看安全组合危险,τ0.7_危险小组合,τ0.7_单字段定级后仍暴露,τ0.7_最少扣留,τ0.9_单字段即危险,τ0.9_K2关键,τ0.9_单看安全组合危险,τ0.9_危险小组合,τ0.9_单字段定级后仍暴露,τ0.9_最少扣留,V_MAE,V_MAE_单种子,M2_MAE,M2排序Spearman,认证下界比_top1,认证下界比_top3
机组出力_223_STEAM_3,第十七条（三）机组实际出力——特定信息,0.49648189544677734,0.5664129853248596,0.5828737020492554,0.5834600329399109,0.08639176934957504,0.9717593789100647,0.9989950060844421,0.9950751066207886,0.9950751066207886,10,23,13,60,50,15,10,16,6,16,6,11,10,10,0,10,0,10,0.005422193557024002,0.011379770003259182,0.013680867850780487,0.9851778656126482,0.9905460476875305,0.993199348449707
机组出力_221_CC_1,第十七条（三）机组实际出力——特定信息,0.5051451325416565,0.5765467286109924,0.6117682456970215,0.6130388379096985,0.10662318021059036,0.9424267411231995,0.9979273080825806,0.9872276186943054,0.9902046322822571,10,23,13,52,42,15,10,19,9,34,24,13,9,21,12,19,10,10,0.006478933151811361,0.009741907007992268,0.009999052621424198,0.9970355731225298,0.9961245656013489,0.998338520526886
线路潮流_C35,附表 6.66 仅披露重要线路与变压器平均潮流（日），逐时潮流不在清单,0.2913843095302582,0.44453567266464233,0.4590718746185303,0.46138498187065125,0.1676875650882721,0.9683356881141663,0.9949865937232971,0.5162140727043152,0.8915597796440125,4,23,19,123,119,13,0,21,21,82,82,7,0,0,0,0,0,0,0.013842488639056683,0.01963341049849987,0.052256543189287186,0.8685770750988143,0.8571369647979736,0.9933190941810608
