背景,全部_V(T),全部_V(T+P),全部_Δ,C6 不阻塞_V(T),C6 不阻塞_V(T+P),C6 不阻塞_Δ,C6 阻塞_V(T),C6 阻塞_V(T+P),C6 阻塞_Δ
∅,0.0,0.5238217106359471,0.5238217106359471,0.0,0.539639630976015,0.539639630976015,0.0,0.45232321065128045,0.45232321065128045
LMP_g,0.0,0.6614089658551845,0.6614089658551845,0.0,0.6409946053823325,0.6409946053823325,0.014460323731001812,0.7524328257874069,0.7379725020564051
LMP_near,0.0,0.6588370028669293,0.6588370028669293,0.0,0.641825237771652,0.641825237771652,0.021775381212222444,0.7346118726808402,0.7128364914686177
LMP_far,0.0,0.6076034016215257,0.6076034016215257,0.0,0.6346711305342605,0.6346711305342605,0.0009792552639977803,0.4858091518156522,0.4848298965516544
LMP_area2,0.0,0.59013094833104,0.59013094833104,0.0,0.6193489664993512,0.6193489664993512,0.0,0.4586792144559133,0.4586792144559133
System load,0.0,0.5412714614713559,0.5412714614713559,0.0,0.5597765780829944,0.5597765780829944,0.0,0.45775565545408015,0.45775565545408015
Congestion C6,0.0,0.5331066834088789,0.5331066834088789,0.0,0.5410768339270977,0.5410768339270977,0.0,0.49678296183764614,0.49678296183764614
LMP_far + C6,0.0,0.6150039709787549,0.6150039709787549,0.0,0.6404460404644592,0.6404460404644592,0.0012604342548279135,0.500503337978444,0.4992429037236161
