field,multi_baseline,multi_combo,delta,probe
da_as_total_mw_primary_reserve,0.9490666389465332,0.9500690698623657,0.0010024309158325195,0.9536016698145959
da_as_total_mw_synchronized_reserve,0.9152980446815491,0.9134194850921631,-0.0018785595893859863,0.920000100798808
metered_load_mw,0.9887996912002563,0.9891146421432495,0.00031495094299316406,0.9962878493933237
total_gen,0.9853320717811584,0.9889238476753235,0.003591775894165039,0.99832719588513
total_lmp_da,0.9773788452148438,0.9800516366958618,0.0026727914810180664,0.9904756458320699
da_as_total_mw_thirty_minutes_reserve,0.8194113969802856,0.8678301572799683,0.04841876029968262,0.9141437178213236
congestion_price_rt,0.5666795969009399,0.6352876424789429,0.06860804557800293,0.6702083206524372
total_losses,0.8170769214630127,0.8505388498306274,0.033461928367614746,0.9334742413917715
net_actual_interchange_mw,0.8077611923217773,0.8578009009361267,0.050039708614349365,0.9295984627394397
gross_actual_interchange_mw,0.7469661235809326,0.7691420316696167,0.022175908088684082,0.8759973140166133
marginal_loss_price_da,0.7242662310600281,0.7481129169464111,0.023846685886383057,0.8816090434068973
congestion_price_da,0.4174652695655823,0.5480644702911377,0.13059920072555542,0.6602494811248918
