field,baseline,combo,delta,probe,remaining_gap
da_as_total_mw_synchronized_reserve,0.9209303855895996,0.9236430525779724,0.0027126669883728027,0.920000100798808,0.003642951779164405
da_as_total_mw_primary_reserve,0.9541143774986267,0.9555374383926392,0.0014230608940124512,0.9536016698145959,0.0019357685780432288
total_gen,0.9957045912742615,0.9973957538604736,0.0016911625862121582,0.99832719588513,-0.0009314420246563371
metered_load_mw,0.9931491017341614,0.9942722320556641,0.0011231303215026855,0.9962878493933237,-0.0020156173376596476
total_lmp_da,0.9850113987922668,0.9845198392868042,-0.0004915595054626465,0.9904756458320699,-0.005955806545265729
da_as_total_mw_thirty_minutes_reserve,0.8833390474319458,0.9137793183326721,0.03044027090072632,0.9141437178213236,-0.0003643994886515234
total_losses,0.8740237951278687,0.9070504903793335,0.033026695251464844,0.9334742413917715,-0.02642375101243799
net_actual_interchange_mw,0.8685948848724365,0.9119707345962524,0.04337584972381592,0.9295984627394397,-0.01762772814318725
congestion_price_rt,0.608428955078125,0.6167161464691162,0.008287191390991211,0.6702083206524372,-0.05349217418332097
gross_actual_interchange_mw,0.7934238314628601,0.8493920564651489,0.05596822500228882,0.8759973140166133,-0.026605257551464367
marginal_loss_price_da,0.7686936855316162,0.8069467544555664,0.038253068923950195,0.8816090434068973,-0.07466228895133087
congestion_price_da,0.45594358444213867,0.5645006895065308,0.10855710506439209,0.6602494811248918,-0.09574879161836103
