target_field,n_valid_sources,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,16,0.16059599816799164,0.163898304104805,0.16137519478797913,0.33296242356300354,0.1811680942773819
gross_actual_interchange_mw,17,0.14905154705047607,0.1554257571697235,0.14816701412200928,0.3981401026248932,0.14921557903289795
total_gen,28,0.18285898864269257,0.1855999231338501,0.16389913856983185,0.29783162474632263,0.16981033980846405
metered_load_mw,27,0.17425812780857086,0.16966116428375244,0.17887157201766968,0.3045133352279663,0.17269572615623474
total_losses,19,0.16154339909553528,0.12875807285308838,0.12574724853038788,0.4609217345714569,0.12302953004837036
congestion_price_da,8,0.15282946825027466,0.1501484215259552,0.1788891851902008,0.24771817028522491,0.2704147398471832
congestion_price_rt,11,0.17993766069412231,0.17349228262901306,0.17836645245552063,0.2575908303260803,0.21061275899410248
marginal_loss_price_da,21,0.18725955486297607,0.16641056537628174,0.17518280446529388,0.292630672454834,0.17851640284061432
total_lmp_da,32,0.1684054434299469,0.17593573033809662,0.2217026948928833,0.27189192175865173,0.16206422448158264
da_as_total_mw_primary_reserve,11,0.26308828592300415,0.13505470752716064,0.32312530279159546,0.15455971658229828,0.12417197972536087
da_as_total_mw_synchronized_reserve,8,0.17642860114574432,0.17716564238071442,0.19076596200466156,0.28289511799812317,0.17274466156959534
da_as_total_mw_thirty_minutes_reserve,18,0.14332568645477295,0.1925782561302185,0.18750230967998505,0.3298378586769104,0.1467559039592743
