负荷预测_区1,负荷预测_区2,负荷预测_区3,风电出力预测,光伏出力预测,屋顶光伏预测,水电出力预测,调节上调需求,调节下调需求,旋转备用需求,系统电能价格,节点电价_116,节点电价_121,节点电价_215,节点电价_223,节点电价_303,节点电价_309,节点电价_317,节点电价_318,节点电价_325,阻塞_C6,阻塞_C29,阻塞_CA-1,Y_机组出力_223_STEAM_3,Y_机组出力_221_CC_1,Y_线路潮流_C35
985.0197922,1102.675901,1249.636191,2131.9,0.0,0.0,184.2,55,54,100.12,20.200519097413082,20.358093489551337,20.484418706546016,19.95203385288903,19.689702859999997,-0.0,30.37455025304783,16.678179914889974,19.06517861570082,21.06690766516393,1.0,1.0,0.0,69.99999999999999,0.0,-85.85807827525696
985.7248887,1082.937195,1192.383739,2281.2,0.0,0.0,199.00000000000003,50,48,97.832,19.376814574651913,19.055316632450726,18.79757616613084,19.88379730001579,20.41902941,-0.0,25.34185598266633,9.457390843014547,21.69324190518129,17.609127973503828,1.0,1.0,0.0,69.99999999999999,0.0,-39.23511723871616
1001.58956,1079.796946,1165.786144,2114.6,0.0,0.0,163.79999999999998,55,54,97.416,20.029292267562276,20.307475537271138,20.53049122803223,19.590614149543207,19.127492621012856,-0.0,31.09598294117825,18.224335811606586,18.0249518215488,21.558822550609293,1.0,0.0,0.0,69.99999999999999,0.0,-62.113593367306294
1036.139287,1078.451125,1150.007909,2055.5,0.0,0.0,167.8,57,56,97.938,20.0475115686077,20.325947882940756,20.549166436087255,19.608434414587364,19.144891615528024,-0.0,31.12426886695806,18.240913265071505,18.041347908798176,21.578433162556212,1.0,0.0,0.0,69.99999999999999,0.0,-52.292802577330804
1139.788471,1099.087045,1163.982917,1998.6,0.0,0.0,162.59999999999997,59,59,102.086,20.84782751919119,20.980101312496938,21.08614338834107,20.639239782133846,20.41902941,-0.0,31.104245586062547,16.792621216881635,19.894780579432275,21.575106239920718,1.0,1.0,0.0,69.99999999999999,0.0,-37.50661743460387
1286.801089,1156.060129,1229.349889,1940.7,0.0,0.0,140.99999999999997,62,62,110.166,21.800357293789432,22.103138569922347,22.34587414319004,21.322889613852226,20.818817145512494,-0.0,33.845606198335275,19.835799828956453,19.61878555986212,23.465134372113976,1.0,0.0,0.0,69.99999999999999,0.0,-42.834159617274054
1347.086838,1233.220526,1368.198355,1709.5,0.0,0.0,150.6,68,69,118.45599999999999,22.12945869634179,22.43681080318619,22.68321074839674,21.644783094028533,21.133101073511146,-0.0,34.356544451318655,20.13524398285167,19.914953634408278,23.819367494482954,1.0,0.0,0.0,69.99999999999999,0.0,-88.20086489179903
1305.486145,1220.659531,1460.61373,1358.9,647.7999999999997,169.2,288.6,72,75,119.603,21.688933109090367,21.942370221145296,22.145547258601425,21.289278178481542,20.86735423300574,-0.0,33.288934527194286,19.07298459494038,19.862891396579183,23.082402019499824,1.0,1.0,0.0,69.99999999999999,0.0,-61.48064253412713
1232.508659,1204.061074,1566.102499,1165.2,933.5,424.2,251.40000000000003,72,77,120.08000000000001,15.170467957169896,14.543682450037267,8.1035,17.555589710863078,19.689702859999997,-0.0,2.5813935811857056,-0.0,-0.23432487797818152,3.358377891637458,1.0,1.0,0.0,69.99999999999999,0.0,118.64368078077223
1184.20955,1209.444357,1638.682379,775.3,1044.2,617.5000000000001,338.59999999999997,70,75,120.969,15.697086868979998,14.667617393114227,13.84230591223946,17.32049769704519,19.03436596,10.558157491332354,9.699560813086599,-0.0,23.114525417952233,10.036772571649436,0.0,1.0,0.0,69.99999999999999,0.0,116.28355912418647
1153.185304,1181.182119,1688.721923,424.19999999999993,1092.9,738.3999999999999,350.5999999999999,61,66,120.69300000000001,18.072500509999998,17.686253398034864,17.376604415298328,18.681588742896658,19.324615741147944,16.144423303978755,15.822286033189485,12.183103484096883,20.855452588613854,15.948804663337324,0.0,1.0,0.0,69.99999999999999,0.0,75.71059789243554
1129.212024,1174.004407,1710.811452,234.10000000000002,1088.1999999999998,774.6999999999998,349.8,60,57,120.42,21.28787930000081,21.28787930000017,21.28787930000015,21.287879299999904,21.287879299999975,21.28787929999999,21.28787930000001,21.28787929999995,21.287879299999958,21.287879299999986,0.0,0.0,0.0,69.99999999999999,0.0,-39.862881694351245
1107.706581,1174.901621,1698.188864,194.60000000000002,1069.6000000000001,760.3000000000003,350.2,58,54,119.424,22.732462560000513,22.732462560000016,22.73246256000001,22.732462560000076,22.732462560000062,22.732462559999966,22.732462559999963,22.732462559999995,22.732462560000002,22.732462559999945,0.0,0.0,0.0,69.99999999999999,0.0,-116.32407752953466
1093.957199,1161.89202,1702.696931,213.6,1023.1,681.8000000000001,297.79999999999995,59,55,118.757,23.00232519000014,23.00232519000003,23.00232519000001,23.002325190000015,23.002325189999965,23.00232518999986,23.00232518999985,23.002325189999887,23.002325189999894,23.00232518999988,0.0,0.0,0.0,69.99999999999999,0.0,-141.8910422755206
1087.611331,1157.40595,1684.213856,62.0,902.9000000000001,529.9000000000001,279.79999999999995,49,44,117.876,23.069972869999102,23.069972870000022,23.06997287000003,23.069972870000026,23.069972869999997,23.069972869999948,23.06997286999994,23.069972869999983,23.06997286999999,23.06997286999994,0.0,0.0,0.0,117.0295586470413,0.0,-201.75163412699567
1091.489362,1161.89202,1659.419488,114.9,575.0000000000001,257.3000000000001,343.79999999999984,50,47,117.385,23.43780713000015,23.43780713,23.43780712999999,23.437807129999953,23.437807129999882,23.43780712999994,23.437807129999896,23.43780712999991,23.43780712999991,23.437807129999893,0.0,0.0,0.0,140.0,61.666666955000004,-348.4619528565754
1170.460168,1193.743113,1693.229991,141.9,0.0,0.0,325.60000000000014,44,45,121.72299999999998,24.50054278797391,24.297869472242596,24.135389070190406,24.820146295439486,25.15755830397501,26.20551978936198,26.274632565749524,26.020219781439792,25.960825875707357,26.49872231986143,0.0,0.0,1.0,350.0,61.666666955000004,-500.00000000000136
1280.102672,1409.074453,1888.880101,655.8,0.0,0.0,352.60000000000014,67,71,137.341,25.562693809668986,25.384702369958084,25.242009087511605,25.843375497955662,26.13969693996728,27.06003602294888,27.12073213643186,26.897302142223584,26.845141320000003,27.317531886881497,0.0,0.0,1.0,350.0,61.666666955000004,-500.00000000000136
1266.000742,1428.364552,1860.028472,762.5,0.0,0.0,279.4,68,73,136.632,26.429208780000167,26.42920878000021,26.429208780000188,26.429208780000238,26.42920878000016,26.429208780000003,26.42920878000001,26.429208779999975,26.429208779999946,26.429208780000014,0.0,0.0,0.0,350.0,123.33333355499998,-480.0780216310236
1245.200396,1406.831418,1797.36634,1019.1,0.0,0.0,273.8,70,75,133.482,26.32425384000011,26.324253840000008,26.32425384,26.32425383999999,26.32425383999993,26.324253839999898,26.324253839999898,26.324253839999944,26.324253839999955,26.32425383999991,0.0,0.0,0.0,350.0,65.40316828466958,-481.10119318188663
1204.657348,1371.391469,1715.770326,1248.1,0.0,0.0,279.0,69,73,128.755,25.59196294000001,25.59196293999999,25.59196293999998,25.591962939999956,25.59196293999989,25.59196293999983,25.59196293999986,25.59196293999991,25.591962939999917,25.591962939999885,0.0,0.0,0.0,350.0,61.666666955000004,-467.72838323858196
1117.577932,1296.922714,1601.716229,1429.1999999999998,0.0,0.0,265.4,68,70,120.486,24.503258090000006,24.503258089999974,24.503258089999967,24.503258089999978,24.50325808999997,24.503258089999935,24.50325808999993,24.50325808999997,24.50325808999997,24.50325808999992,0.0,0.0,0.0,280.0,61.666666955000004,-455.971966093658
1031.203612,1210.790178,1465.121797,1554.1999999999998,0.0,0.0,277.79999999999995,66,68,111.214,23.875403059999893,23.875403059999996,23.875403060000007,23.875403060000004,23.875403060000025,23.875403060000046,23.875403060000053,23.875403060000057,23.87540306000006,23.875403060000014,0.0,0.0,0.0,280.0,61.666666955000004,-454.52805424446115
