数据,目标,字段,M0,M1,M2,M3,G1,G2,G3,平均背景增益,中位背景增益,放大背景占比,K1闭式误差,G2估计,背景召回前1,背景召回前3,背景召回前5,G2认证前3
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,0.28171128,0.43753958,0.43917948,0.43917948,0.1558283,0.1574682,0.1574682,0.07297157496213913,0.0011439323425292969,0.1141732283464567,0.0,0.14447105,1.0,1.0,1.0,0.15746819972991943
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,0.335303,0.44970405,0.44970405,0.44970405,0.11440104,0.11440104,0.11440104,0.08560062944889069,0.0036649107933044434,0.10236220472440945,0.0,0.11687362,1.0,1.0,1.0,0.11440104246139526
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区3,0.095858395,0.23133963,0.2379294,0.2379294,0.13548124,0.14207101,0.14207101,0.033236969262361526,1.8268823623657227e-05,0.13385826771653545,0.0,0.13024825,0.0,0.0,1.0,0.13548123836517334
RTS-GMLC,机组出力_223_STEAM_3,风电出力预测,0.30885822,0.39145315,0.48356694,0.48356694,0.08259493,0.17470872,0.17470872,0.07588820159435272,0.0020642876625061035,0.047244094488188976,0.0,0.16558534,1.0,1.0,1.0,0.17470872402191162
RTS-GMLC,机组出力_223_STEAM_3,光伏出力预测,0.13392484,0.2713713,0.34698558,0.34698558,0.13744646,0.21306074,0.21306074,0.06095689535140991,0.0003992915153503418,0.2283464566929134,0.0,0.20293695,1.0,1.0,1.0,0.21306073665618896
RTS-GMLC,机组出力_223_STEAM_3,屋顶光伏预测,0.09420979,0.2769047,0.3514496,0.3514496,0.18269491,0.25723982,0.25723982,0.057442545890808105,0.0,0.25196850393700787,0.0,0.24056827,1.0,1.0,1.0,0.25723981857299805
RTS-GMLC,机组出力_223_STEAM_3,水电出力预测,0.039310932,0.18239948,0.18239948,0.18239948,0.14308855,0.14308855,0.14308855,0.022804776206612587,0.0,0.18503937007874016,0.0,0.12027544,0.0,0.0,1.0,0.1350085735321045
RTS-GMLC,机组出力_223_STEAM_3,调节上调需求,0.07827866,0.2563523,0.28526014,0.28526014,0.17807364,0.20698148,0.20698148,0.04469439014792442,0.0,0.2440944881889764,0.0,0.1636307,0.0,0.0,0.0,0.17807364463806152
RTS-GMLC,机组出力_223_STEAM_3,调节下调需求,0.043301582,0.22137523,0.27547902,0.27547902,0.17807364,0.23217744,0.23217744,0.03803910315036774,0.0,0.2755905511811024,0.0,0.16929951,0.0,0.0,0.0,0.17807364463806152
RTS-GMLC,机组出力_223_STEAM_3,旋转备用需求,0.24450898,0.4272039,0.4414264,0.4414264,0.18269491,0.19691741,0.19691741,0.07262583076953888,0.0026405155658721924,0.14566929133858267,0.0,0.18062693,0.0,1.0,1.0,0.19691741466522217
