目标,口径,候选数,剔除,最强单字段,M0均值,M2均值,τ0.5_单看安全组合危险,τ0.5_危险小组合,τ0.7_单看安全组合危险,τ0.7_危险小组合
PJM 发电总出力,现实口径（114 主结果）,17,—,0.9742676615715027,0.26116514205932617,0.3265738785266876,15/17,52,12/17,13
PJM 发电总出力,再剔除近似代理,15,"forecast_load_mw_latest_available, forecast_load_mw_day_ahead",0.41533318161964417,0.16651813685894012,0.2406480312347412,15/15,50,12/15,11
CAISO 实际负荷,现实口径（114 主结果）,24,—,0.8234397172927856,0.24597306549549103,0.42904582619667053,20/24,152,22/24,137
CAISO 实际负荷,再剔除近似代理,18,"dam_load_forecast__mw__pge_tac, dam_load_forecast__mw__sce_tac, dam_load_forecast__mw__sdge_tac, dam_schedule__mw__load__tac_north, dam_schedule__mw__load__tac_ecntr, dam_schedule__mw__load__tac_south",0.4207041263580322,0.12240329384803772,0.3187275230884552,18/18,109,16/18,44
