组,目标,候选数,剔除的目标副本,最强单字段,M0,M2,M3,升级,M2除M3,树模型占比,τ0.5_单字段即危险,τ0.5_单看安全组合危险,τ0.5_危险小组合,τ0.5_单字段定级后仍暴露,τ0.5_最少扣留,τ0.7_单字段即危险,τ0.7_单看安全组合危险,τ0.7_危险小组合,τ0.7_单字段定级后仍暴露,τ0.7_最少扣留,V误差,M2误差,排序Spearman,认证前3
pjm_load,PJM 实际负荷,15,forecast_load_mw_latest_available、forecast_load_mw_day_ahead,0.4505780041217804,0.1730457693338394,0.2141791880130767,0.2268743366003036,0.0411334261298179,0.944043219089508,0.7025773195876288,0,15,63,63,4,0,7,5,5,2,0.0678051188588142,0.0267935656011104,0.9508493519801136,0.9503839015960692
pjm_gen_ic,PJM 发电总出力,17,—,0.9742676615715028,0.2611651420593261,0.3265738785266876,0.3276035785675049,0.065408743917942,0.996856927871704,0.6308745720510427,2,15,52,50,6,2,12,13,11,4,0.0482848547399044,0.0441085994243621,0.9142156862745098,0.885852575302124
pjm_gen_ic,PJM 联络线净交换,17,—,0.4126282632350921,0.1159978359937667,0.2107966542243957,0.2163760811090469,0.0947988033294677,0.9742141962051392,0.6308745720510427,0,17,33,33,2,0,3,1,1,1,0.054406963288784,0.0155946193262934,0.985294117647059,0.9708001613616944
caiso_load,CAISO 实际负荷,24,dam_load_forecast__mw__ca_iso_tac,0.8234397172927856,0.245973065495491,0.4290458261966705,0.4302056729793548,0.1830727308988571,0.9973040223121644,0.4548262548262548,4,20,152,148,12,2,22,137,135,8,0.0272849295288324,0.015507492236793,0.9852173913043476,0.9957119822502136
