field,max_confidential_edge,mean_top3_confidential_edge,anchor_score
forecast_load_mw_latest_available,0.9746935963630676,0.8082652688026428,0.9247650980949402
system_energy_price_da,0.9805607795715332,0.6886246800422668,0.8929799497127533
forecast_load_mw_day_ahead,0.9294674396514893,0.7714412808418274,0.8820595920085906
gen_fuel_nuclear_pct,0.7663991451263428,0.6962348818778992,0.7453498661518096
total_lmp_rt,0.7780507206916809,0.6311526894569397,0.7339813113212585
gen_fuel_gas_mw,0.7543582320213318,0.641720712184906,0.720566976070404
da_as_as_req_mw_primary_reserve,0.7469043731689453,0.6019188761711121,0.7034087240695953
da_as_as_req_mw_synchronized_reserve,0.7407910823822021,0.6008381843566895,0.6988052129745483
da_as_as_req_mw_thirty_minutes_reserve,0.7114381194114685,0.5831847786903381,0.6729621171951293
marginal_loss_price_rt,0.6784276366233826,0.6341226100921631,0.6651361286640167
gen_fuel_coal_mw,0.6706492304801941,0.6294794082641602,0.6582982838153839
da_as_mcp_synchronized_reserve,0.6909254789352417,0.5149759650230408,0.6381406247615814
da_as_nsr_mw_primary_reserve,0.6432017683982849,0.4851582944393158,0.5957887262105941
gen_fuel_oil_mw,0.5876501798629761,0.5378462672233582,0.5727090060710907
gross_inadv_interchange_mw,0.6133854985237122,0.43416357040405273,0.5596189200878143
gen_fuel_other_renewables_pct,0.573937177658081,0.515861451625824,0.5565144598484039
gen_fuel_oil_pct,0.548434317111969,0.46208253502845764,0.5225287824869156
rmccp,0.520965576171875,0.42615291476249695,0.4925217777490616
total_pjm_rmccp_cr,0.5110570192337036,0.42113494873046875,0.4840803980827332
da_as_mcp_primary_reserve,0.5072575211524963,0.4088979661464691,0.47774965465068814
gen_fuel_nuclear_mw,0.479567289352417,0.46776869893074036,0.476027712225914
gen_fuel_coal_pct,0.483146071434021,0.45921650528907776,0.47596720159053796
gen_fuel_hydro_mw,0.4303542673587799,0.367285817861557,0.411433732509613
gen_fuel_multiple_fuels_mw,0.36888664960861206,0.339603990316391,0.36010185182094573
gen_fuel_hydro_pct,0.36507830023765564,0.28557172417640686,0.341226327419281
gen_fuel_multiple_fuels_pct,0.3568984568119049,0.2916816771030426,0.33733342289924617
gross_sched_interchange_mw,0.3481918275356293,0.2885899841785431,0.3303112745285034
total_pjm_reg_purchases,0.3494867980480194,0.2736137807369232,0.32672489285469053
gen_fuel_storage_mw,0.3238244354724884,0.25709018111228943,0.3038041591644287
gen_fuel_gas_pct,0.30672600865364075,0.26433679461479187,0.29400924444198606
gen_fuel_wind_pct,0.24945825338363647,0.21929316222667694,0.24040872603654861
total_pjm_assigned_reg,0.24725638329982758,0.21896739304065704,0.2387696862220764
gen_fuel_other_renewables_mw,0.23711496591567993,0.2324305772781372,0.2357096493244171
total_pjm_rmpcp_cr,0.23687979578971863,0.20947976410388947,0.22865978628396988
total_pjm_loc_credit,0.19098752737045288,0.18422578275203705,0.18895900398492813
rmpcp,0.20068451762199402,0.15641890466213226,0.1874048337340355
gen_fuel_solar_pct,0.19258679449558258,0.1572132110595703,0.1819747194647789
gen_fuel_wind_mw,0.18197114765644073,0.15477055311203003,0.1738109692931175
gen_fuel_solar_mw,0.16714239120483398,0.15843524038791656,0.16453024595975874
da_as_ss_mw_synchronized_reserve,0.15089932084083557,0.10976133495569229,0.13855792507529258
da_as_ss_mw_thirty_minutes_reserve,0.15122012794017792,0.10449901968240738,0.13720379546284675
net_inadv_interchange_mw,0.13324104249477386,0.13148021697998047,0.13271279484033585
da_as_ss_mw_primary_reserve,0.13923251628875732,0.10975565761327744,0.13038945868611335
total_pjm_self_sched_reg,0.11593666672706604,0.10622844845056534,0.11302420124411583
da_as_ircmwt2_primary_reserve,0.0,0.0,0.0
da_as_ircmwt2_synchronized_reserve,0.0,0.0,0.0
da_as_ircmwt2_thirty_minutes_reserve,0.0,0.0,0.0
gen_fuel_storage_pct,0.0,0.0,0.0
da_as_mcp_thirty_minutes_reserve,0.0,0.0,0.0
