feature,target,r2
gen_fuel_nuclear_pct,net_actual_interchange_mw,0.0
gen_fuel_nuclear_pct,gross_actual_interchange_mw,0.0
gen_fuel_nuclear_pct,total_gen,0.7119289031147555
gen_fuel_nuclear_pct,metered_load_mw,0.6687025882004005
gen_fuel_nuclear_pct,total_losses,0.0
gen_fuel_nuclear_pct,congestion_price_da,0.00997007487300472
gen_fuel_nuclear_pct,congestion_price_rt,0.0
gen_fuel_nuclear_pct,marginal_loss_price_da,0.23255843060794912
gen_fuel_nuclear_pct,total_lmp_da,0.11654014559019521
gen_fuel_nuclear_pct,da_as_total_mw_primary_reserve,0.02109050185570105
gen_fuel_nuclear_pct,da_as_total_mw_synchronized_reserve,0.0
gen_fuel_nuclear_pct,da_as_total_mw_thirty_minutes_reserve,0.0
total_lmp_rt,net_actual_interchange_mw,0.0
total_lmp_rt,gross_actual_interchange_mw,0.0
total_lmp_rt,total_gen,0.0
total_lmp_rt,metered_load_mw,0.1304597968236313
total_lmp_rt,total_losses,0.0
total_lmp_rt,congestion_price_da,0.09315148476906654
total_lmp_rt,congestion_price_rt,0.4050537218973642
total_lmp_rt,marginal_loss_price_da,0.17310018408891836
total_lmp_rt,total_lmp_da,0.4236278316922778
total_lmp_rt,da_as_total_mw_primary_reserve,0.0
total_lmp_rt,da_as_total_mw_synchronized_reserve,0.0
total_lmp_rt,da_as_total_mw_thirty_minutes_reserve,0.0
gen_fuel_gas_mw,net_actual_interchange_mw,0.0
gen_fuel_gas_mw,gross_actual_interchange_mw,0.0
gen_fuel_gas_mw,total_gen,0.8017084473721571
gen_fuel_gas_mw,metered_load_mw,0.6673848722855371
gen_fuel_gas_mw,total_losses,0.0
gen_fuel_gas_mw,congestion_price_da,0.06718550804876677
gen_fuel_gas_mw,congestion_price_rt,0.0
gen_fuel_gas_mw,marginal_loss_price_da,0.19629514128711156
gen_fuel_gas_mw,total_lmp_da,0.03493032030888066
gen_fuel_gas_mw,da_as_total_mw_primary_reserve,0.2137651847377816
gen_fuel_gas_mw,da_as_total_mw_synchronized_reserve,0.04029581605539023
gen_fuel_gas_mw,da_as_total_mw_thirty_minutes_reserve,0.0
da_as_as_req_mw_primary_reserve,net_actual_interchange_mw,0.0
da_as_as_req_mw_primary_reserve,gross_actual_interchange_mw,0.0
da_as_as_req_mw_primary_reserve,total_gen,0.0
da_as_as_req_mw_primary_reserve,metered_load_mw,0.0
da_as_as_req_mw_primary_reserve,total_losses,0.0
da_as_as_req_mw_primary_reserve,congestion_price_da,0.017366370291013067
da_as_as_req_mw_primary_reserve,congestion_price_rt,0.0
da_as_as_req_mw_primary_reserve,marginal_loss_price_da,0.0
da_as_as_req_mw_primary_reserve,total_lmp_da,0.0
da_as_as_req_mw_primary_reserve,da_as_total_mw_primary_reserve,0.4900249914822582
da_as_as_req_mw_primary_reserve,da_as_total_mw_synchronized_reserve,0.4441921432215056
da_as_as_req_mw_primary_reserve,da_as_total_mw_thirty_minutes_reserve,0.0
da_as_as_req_mw_synchronized_reserve,net_actual_interchange_mw,0.0
da_as_as_req_mw_synchronized_reserve,gross_actual_interchange_mw,0.0
da_as_as_req_mw_synchronized_reserve,total_gen,0.0
da_as_as_req_mw_synchronized_reserve,metered_load_mw,0.0
da_as_as_req_mw_synchronized_reserve,total_losses,0.0
da_as_as_req_mw_synchronized_reserve,congestion_price_da,0.016589926973448188
da_as_as_req_mw_synchronized_reserve,congestion_price_rt,0.0
da_as_as_req_mw_synchronized_reserve,marginal_loss_price_da,0.0
da_as_as_req_mw_synchronized_reserve,total_lmp_da,0.0
da_as_as_req_mw_synchronized_reserve,da_as_total_mw_primary_reserve,0.4627582619787548
da_as_as_req_mw_synchronized_reserve,da_as_total_mw_synchronized_reserve,0.4271078326902704
da_as_as_req_mw_synchronized_reserve,da_as_total_mw_thirty_minutes_reserve,0.0
da_as_as_req_mw_thirty_minutes_reserve,net_actual_interchange_mw,0.0
da_as_as_req_mw_thirty_minutes_reserve,gross_actual_interchange_mw,0.0
da_as_as_req_mw_thirty_minutes_reserve,total_gen,0.0
da_as_as_req_mw_thirty_minutes_reserve,metered_load_mw,0.0
da_as_as_req_mw_thirty_minutes_reserve,total_losses,0.0
da_as_as_req_mw_thirty_minutes_reserve,congestion_price_da,0.006997013269081642
da_as_as_req_mw_thirty_minutes_reserve,congestion_price_rt,0.0
da_as_as_req_mw_thirty_minutes_reserve,marginal_loss_price_da,0.0
da_as_as_req_mw_thirty_minutes_reserve,total_lmp_da,0.0
da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_primary_reserve,0.47122483205361276
da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_synchronized_reserve,0.37117763953030203
da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,0.0
marginal_loss_price_rt,net_actual_interchange_mw,0.0
marginal_loss_price_rt,gross_actual_interchange_mw,0.0
marginal_loss_price_rt,total_gen,0.0
marginal_loss_price_rt,metered_load_mw,0.0
marginal_loss_price_rt,total_losses,0.0493015592407674
marginal_loss_price_rt,congestion_price_da,0.13208208127323584
marginal_loss_price_rt,congestion_price_rt,0.38965243471659794
marginal_loss_price_rt,marginal_loss_price_da,0.12016850701150406
marginal_loss_price_rt,total_lmp_da,0.2977125777016735
marginal_loss_price_rt,da_as_total_mw_primary_reserve,0.0
marginal_loss_price_rt,da_as_total_mw_synchronized_reserve,0.0
marginal_loss_price_rt,da_as_total_mw_thirty_minutes_reserve,0.0
