field,q_label,max_r2,top3_mean_r2
forecast_load_mw_latest_available,0.9136718732779612,0.9870877197779899,0.7423682314445609
system_energy_price_da,0.8304955202977911,0.9607615128491144,0.5265415376780371
gen_fuel_gas_mw,0.7294817636000575,0.8017084473721571,0.5609528347984919
forecast_load_mw_day_ahead,0.7017470287953628,0.7575036093920968,0.5716483407363167
gen_fuel_nuclear_pct,0.6596692243726394,0.7119289031147555,0.5377299739743684
da_as_as_req_mw_primary_reserve,0.4381758445370584,0.4900249914822582,0.31719450166492563
da_as_as_req_mw_thirty_minutes_reserve,0.41479733092282856,0.47122483205361276,0.2831331616176655
da_as_as_req_mw_synchronized_reserve,0.41457638554937565,0.4627582619787548,0.3021520072141578
total_lmp_rt,0.39671765595245045,0.4236278316922778,0.33392724589285344
marginal_loss_price_rt,0.35470141367076924,0.38965243471659794,0.27314903123050244
