,平均扣留数,平均扣留数,平均超出最优,平均超出最优,达到最优的目标比例,达到最优的目标比例
τ,0.5,0.7,0.5,0.7,0.5,0.7
方法,,,,,,
pearson,14.8,8.1,5.4,3.0,0.2,0.3
spearman,12.9,7.9,3.5,2.8,0.1,0.4
mi,11.4,7.2,2.0,2.1,0.1,0.5
dcor,12.4,7.1,3.0,2.0,0.2,0.4
M0,11.0,7.0,1.6,1.9,0.3,0.6
loco,20.4,13.1,11.0,8.0,0.0,0.4
perm,18.3,9.8,8.9,4.7,0.0,0.4
sage,18.0,11.4,8.6,6.3,0.0,0.4
graph,15.0,7.8,5.6,2.7,0.0,0.5
M2_est,11.7,6.0,2.3,0.9,0.0,0.7
M2_cert,10.9,5.4,1.5,0.3,0.2,0.9
M2,10.9,5.5,1.5,0.4,0.2,0.8
