数据,目标,τ,方法,字段数,最优扣留数,扣留数,超出最优,危险组合数
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,M2,23,11,11,0,16
RTS-GMLC,Y_机组出力_221_CC_1,0.5,pearson,23,15,15,0,52
RTS-GMLC,Y_机组出力_221_CC_1,0.5,spearman,23,15,16,1,52
RTS-GMLC,Y_机组出力_221_CC_1,0.5,mi,23,15,15,0,52
RTS-GMLC,Y_机组出力_221_CC_1,0.5,dcor,23,15,15,0,52
RTS-GMLC,Y_机组出力_221_CC_1,0.5,M0,23,15,15,0,52
RTS-GMLC,Y_机组出力_221_CC_1,0.5,loco,23,15,21,6,52
RTS-GMLC,Y_机组出力_221_CC_1,0.5,perm,23,15,21,6,52
RTS-GMLC,Y_机组出力_221_CC_1,0.5,sage,23,15,23,8,52
RTS-GMLC,Y_机组出力_221_CC_1,0.5,graph,23,15,16,1,52
RTS-GMLC,Y_机组出力_221_CC_1,0.5,M2_est,23,15,16,1,52
RTS-GMLC,Y_机组出力_221_CC_1,0.5,M2_cert,23,15,16,1,52
RTS-GMLC,Y_机组出力_221_CC_1,0.5,M2,23,15,16,1,52
RTS-GMLC,Y_机组出力_221_CC_1,0.7,pearson,23,13,15,2,34
RTS-GMLC,Y_机组出力_221_CC_1,0.7,spearman,23,13,13,0,34
RTS-GMLC,Y_机组出力_221_CC_1,0.7,mi,23,13,13,0,34
RTS-GMLC,Y_机组出力_221_CC_1,0.7,dcor,23,13,13,0,34
RTS-GMLC,Y_机组出力_221_CC_1,0.7,M0,23,13,13,0,34
RTS-GMLC,Y_机组出力_221_CC_1,0.7,loco,23,13,21,8,34
RTS-GMLC,Y_机组出力_221_CC_1,0.7,perm,23,13,19,6,34
RTS-GMLC,Y_机组出力_221_CC_1,0.7,sage,23,13,23,10,34
RTS-GMLC,Y_机组出力_221_CC_1,0.7,graph,23,13,13,0,34
RTS-GMLC,Y_机组出力_221_CC_1,0.7,M2_est,23,13,13,0,34
RTS-GMLC,Y_机组出力_221_CC_1,0.7,M2_cert,23,13,13,0,34
RTS-GMLC,Y_机组出力_221_CC_1,0.7,M2,23,13,13,0,34
RTS-GMLC,Y_线路潮流_C35,0.5,pearson,23,13,15,2,123
RTS-GMLC,Y_线路潮流_C35,0.5,spearman,23,13,15,2,123
RTS-GMLC,Y_线路潮流_C35,0.5,mi,23,13,16,3,123
RTS-GMLC,Y_线路潮流_C35,0.5,dcor,23,13,15,2,123
RTS-GMLC,Y_线路潮流_C35,0.5,M0,23,13,14,1,123
RTS-GMLC,Y_线路潮流_C35,0.5,loco,23,13,21,8,123
RTS-GMLC,Y_线路潮流_C35,0.5,perm,23,13,21,8,123
RTS-GMLC,Y_线路潮流_C35,0.5,sage,23,13,17,4,123
RTS-GMLC,Y_线路潮流_C35,0.5,graph,23,13,15,2,123
RTS-GMLC,Y_线路潮流_C35,0.5,M2_est,23,13,16,3,123
RTS-GMLC,Y_线路潮流_C35,0.5,M2_cert,23,13,15,2,123
RTS-GMLC,Y_线路潮流_C35,0.5,M2,23,13,15,2,123
RTS-GMLC,Y_线路潮流_C35,0.7,pearson,23,7,12,5,82
RTS-GMLC,Y_线路潮流_C35,0.7,spearman,23,7,13,6,82
RTS-GMLC,Y_线路潮流_C35,0.7,mi,23,7,10,3,82
RTS-GMLC,Y_线路潮流_C35,0.7,dcor,23,7,12,5,82
RTS-GMLC,Y_线路潮流_C35,0.7,M0,23,7,12,5,82
RTS-GMLC,Y_线路潮流_C35,0.7,loco,23,7,16,9,82
RTS-GMLC,Y_线路潮流_C35,0.7,perm,23,7,19,12,82
RTS-GMLC,Y_线路潮流_C35,0.7,sage,23,7,14,7,82
RTS-GMLC,Y_线路潮流_C35,0.7,graph,23,7,10,3,82
RTS-GMLC,Y_线路潮流_C35,0.7,M2_est,23,7,10,3,82
RTS-GMLC,Y_线路潮流_C35,0.7,M2_cert,23,7,10,3,82
RTS-GMLC,Y_线路潮流_C35,0.7,M2,23,7,10,3,82
NEM,Y_机组出力_BW01,0.5,pearson,30,4,20,16,266
NEM,Y_机组出力_BW01,0.5,spearman,30,4,4,0,266
NEM,Y_机组出力_BW01,0.5,mi,30,4,6,2,266
NEM,Y_机组出力_BW01,0.5,dcor,30,4,10,6,266
NEM,Y_机组出力_BW01,0.5,M0,30,4,6,2,266
NEM,Y_机组出力_BW01,0.5,loco,30,4,23,19,266
NEM,Y_机组出力_BW01,0.5,perm,30,4,21,17,266
NEM,Y_机组出力_BW01,0.5,sage,30,4,26,22,266
NEM,Y_机组出力_BW01,0.5,graph,30,4,12,8,266
NEM,Y_机组出力_BW01,0.5,M2_est,30,4,5,1,266
NEM,Y_机组出力_BW01,0.5,M2_cert,30,4,6,2,266
NEM,Y_机组出力_BW01,0.5,M2,30,4,6,2,266
NEM,Y_机组出力_BW01,0.7,pearson,30,0,0,0,0
NEM,Y_机组出力_BW01,0.7,spearman,30,0,0,0,0
NEM,Y_机组出力_BW01,0.7,mi,30,0,0,0,0
NEM,Y_机组出力_BW01,0.7,dcor,30,0,0,0,0
NEM,Y_机组出力_BW01,0.7,M0,30,0,0,0,0
NEM,Y_机组出力_BW01,0.7,loco,30,0,0,0,0
NEM,Y_机组出力_BW01,0.7,perm,30,0,0,0,0
NEM,Y_机组出力_BW01,0.7,sage,30,0,0,0,0
NEM,Y_机组出力_BW01,0.7,graph,30,0,0,0,0
NEM,Y_机组出力_BW01,0.7,M2_est,30,0,0,0,0
NEM,Y_机组出力_BW01,0.7,M2_cert,30,0,0,0,0
NEM,Y_机组出力_BW01,0.7,M2,30,0,0,0,0
NEM,Y_机组出力_TUMUT3,0.5,pearson,30,1,2,1,23
NEM,Y_机组出力_TUMUT3,0.5,spearman,30,1,2,1,23
NEM,Y_机组出力_TUMUT3,0.5,mi,30,1,2,1,23
NEM,Y_机组出力_TUMUT3,0.5,dcor,30,1,2,1,23
NEM,Y_机组出力_TUMUT3,0.5,M0,30,1,1,0,23
NEM,Y_机组出力_TUMUT3,0.5,loco,30,1,7,6,23
NEM,Y_机组出力_TUMUT3,0.5,perm,30,1,3,2,23
NEM,Y_机组出力_TUMUT3,0.5,sage,30,1,2,1,23
NEM,Y_机组出力_TUMUT3,0.5,graph,30,1,2,1,23
NEM,Y_机组出力_TUMUT3,0.5,M2_est,30,1,2,1,23
NEM,Y_机组出力_TUMUT3,0.5,M2_cert,30,1,2,1,23
NEM,Y_机组出力_TUMUT3,0.5,M2,30,1,2,1,23
NEM,Y_机组出力_TUMUT3,0.7,pearson,30,0,0,0,0
NEM,Y_机组出力_TUMUT3,0.7,spearman,30,0,0,0,0
NEM,Y_机组出力_TUMUT3,0.7,mi,30,0,0,0,0
NEM,Y_机组出力_TUMUT3,0.7,dcor,30,0,0,0,0
NEM,Y_机组出力_TUMUT3,0.7,M0,30,0,0,0,0
NEM,Y_机组出力_TUMUT3,0.7,loco,30,0,0,0,0
NEM,Y_机组出力_TUMUT3,0.7,perm,30,0,0,0,0
NEM,Y_机组出力_TUMUT3,0.7,sage,30,0,0,0,0
NEM,Y_机组出力_TUMUT3,0.7,graph,30,0,0,0,0
NEM,Y_机组出力_TUMUT3,0.7,M2_est,30,0,0,0,0
NEM,Y_机组出力_TUMUT3,0.7,M2_cert,30,0,0,0,0
NEM,Y_机组出力_TUMUT3,0.7,M2,30,0,0,0,0
NEM,Y_机组出力_PPCCGT,0.5,pearson,30,6,19,13,215
NEM,Y_机组出力_PPCCGT,0.5,spearman,30,6,8,2,215
NEM,Y_机组出力_PPCCGT,0.5,mi,30,6,14,8,215
NEM,Y_机组出力_PPCCGT,0.5,dcor,30,6,7,1,215
NEM,Y_机组出力_PPCCGT,0.5,M0,30,6,8,2,215
NEM,Y_机组出力_PPCCGT,0.5,loco,30,6,22,16,215
NEM,Y_机组出力_PPCCGT,0.5,perm,30,6,12,6,215
NEM,Y_机组出力_PPCCGT,0.5,sage,30,6,10,4,215
NEM,Y_机组出力_PPCCGT,0.5,graph,30,6,18,12,215
NEM,Y_机组出力_PPCCGT,0.5,M2_est,30,6,11,5,215
NEM,Y_机组出力_PPCCGT,0.5,M2_cert,30,6,11,5,215
NEM,Y_机组出力_PPCCGT,0.5,M2,30,6,11,5,215
NEM,Y_机组出力_PPCCGT,0.7,pearson,30,1,3,2,8
NEM,Y_机组出力_PPCCGT,0.7,spearman,30,1,8,7,8
NEM,Y_机组出力_PPCCGT,0.7,mi,30,1,12,11,8
NEM,Y_机组出力_PPCCGT,0.7,dcor,30,1,6,5,8
NEM,Y_机组出力_PPCCGT,0.7,M0,30,1,8,7,8
NEM,Y_机组出力_PPCCGT,0.7,loco,30,1,1,0,8
NEM,Y_机组出力_PPCCGT,0.7,perm,30,1,1,0,8
NEM,Y_机组出力_PPCCGT,0.7,sage,30,1,1,0,8
NEM,Y_机组出力_PPCCGT,0.7,graph,30,1,9,8,8
NEM,Y_机组出力_PPCCGT,0.7,M2_est,30,1,1,0,8
NEM,Y_机组出力_PPCCGT,0.7,M2_cert,30,1,1,0,8
NEM,Y_机组出力_PPCCGT,0.7,M2,30,1,1,0,8
PJM-load,Y_metered_load_mw,0.5,pearson,22,9,17,8,237
PJM-load,Y_metered_load_mw,0.5,spearman,22,9,20,11,237
