target_idx,target_field,source_idx,source_field,source_type,prior,corr_pearson,corr_spearman,corr_kendall,corr_nmi,corr_distance_corr
44,da_as_total_mw_primary_reserve,31,da_as_as_req_mw_primary_reserve,general,0.7849094271659851,0.674575686454773,0.6984958052635193,0.6032033562660217,1.0,0.7611330151557922
44,da_as_total_mw_primary_reserve,32,da_as_as_req_mw_synchronized_reserve,general,0.7813113331794739,0.6831938624382019,0.7070375680923462,0.6077573895454407,1.0,0.766772449016571
44,da_as_total_mw_primary_reserve,33,da_as_as_req_mw_thirty_minutes_reserve,general,0.6829699277877808,0.6752692461013794,0.6857672333717346,0.5853059887886047,0.7314170002937317,0.732298731803894
44,da_as_total_mw_primary_reserve,37,da_as_nsr_mw_primary_reserve,general,0.6382104754447937,0.7314221262931824,0.644254207611084,0.49468350410461426,0.6648451089859009,0.7061870694160461
44,da_as_total_mw_primary_reserve,4,gen_fuel_nuclear_mw,general,0.355266273021698,0.43467918038368225,0.4118874669075012,0.3302573263645172,0.22781901061534882,0.46321672201156616
44,da_as_total_mw_primary_reserve,29,da_as_mcp_primary_reserve,general,0.27024006843566895,0.16955505311489105,0.3511554002761841,0.27536842226982117,0.30234411358833313,0.2847083806991577
44,da_as_total_mw_primary_reserve,1,gen_fuel_gas_mw,general,0.2334425449371338,0.2790273129940033,0.29457297921180725,0.20030774176120758,0.0916687622666359,0.3338569700717926
44,da_as_total_mw_primary_reserve,20,forecast_load_mw_day_ahead,general,0.21172276139259338,0.24229055643081665,0.25844165682792664,0.18859082460403442,0.08301863074302673,0.3021332025527954
44,da_as_total_mw_primary_reserve,19,forecast_load_mw_latest_available,general,0.20101451873779297,0.24179139733314514,0.2365388423204422,0.1749582439661026,0.07919846475124359,0.2844487130641937
44,da_as_total_mw_primary_reserve,0,gen_fuel_coal_mw,general,0.18517443537712097,0.2350376546382904,0.1979295164346695,0.13028478622436523,0.10476762801408768,0.2703996002674103
44,da_as_total_mw_primary_reserve,30,da_as_mcp_synchronized_reserve,general,0.18178443610668182,0.11503453552722931,0.17260245978832245,0.11923065781593323,0.32408955693244934,0.2018018662929535
44,da_as_total_mw_primary_reserve,28,total_pjm_rmpcp_cr,general,0.17133650183677673,0.16580548882484436,0.195896178483963,0.1286676526069641,0.1619681566953659,0.20563995838165283
44,da_as_total_mw_primary_reserve,13,gen_fuel_multiple_fuels_pct,general,0.1699460744857788,0.20028720796108246,0.19776369631290436,0.14641757309436798,0.07694067806005478,0.2464446872472763
44,da_as_total_mw_primary_reserve,6,gen_fuel_other_renewables_mw,general,0.16562721133232117,0.17273123562335968,0.1979442685842514,0.16061806678771973,0.08200108259916306,0.21777655184268951
44,da_as_total_mw_primary_reserve,42,gross_sched_interchange_mw,general,0.16132868826389313,0.20236948132514954,0.2252991646528244,0.15475329756736755,0.02738499455153942,0.2007669061422348
44,da_as_total_mw_primary_reserve,12,gen_fuel_hydro_pct,general,0.1527872085571289,0.20436201989650726,0.1860329508781433,0.10630195587873459,0.06484609097242355,0.2067628651857376
44,da_as_total_mw_primary_reserve,11,gen_fuel_gas_pct,general,0.14893516898155212,0.2091701328754425,0.1901552975177765,0.09521989524364471,0.05273185670375824,0.2032262235879898
44,da_as_total_mw_primary_reserve,25,total_pjm_self_sched_reg,general,0.12086042761802673,0.18342214822769165,0.16738909482955933,0.0869300365447998,0.028677815571427345,0.13557086884975433
