数据,方法,每集合ms,读出次数,特征维度
RTS-GMLC,lin,2.5930309295654297,1,23
RTS-GMLC,poly,2.9236793518066406,1,46
RTS-GMLC,polyS,2.646561861038208,1,9
RTS-GMLC,head1,0.08739113807678223,0,0
RTS-GMLC,head3,0.18672704696655273,0,0
RTS-GMLC,rand1,23.544689416885376,1,302
RTS-GMLC,D1,23.414899110794067,1,302
RTS-GMLC,E,70.36461234092712,3,302
RTS-GMLC,Ecat,111.97671175003052,1,814
RTS-GMLC,C1,70.37104368209839,3,302
RTS-GMLC,C2,56.44359111785889,1,558
RTS-GMLC,C3,169.2375648021698,3,558
RTS-GMLC,ft,265.21153450012207,0,0
