数据,方法,每集合ms,读出次数,特征维度
NEM,lin,0.9290182590484619,1,30
NEM,poly,1.248483657836914,1,60
NEM,polyS,0.7940077781677246,1,9
NEM,head1,0.08518695831298828,0,0
NEM,head3,0.20223140716552734,0,0
NEM,rand1,7.914671897888184,1,316
NEM,D1,7.827458381652831,1,316
NEM,E,23.461016416549683,3,316
NEM,Ecat,43.98268222808838,1,828
NEM,C1,23.401951789855957,3,316
NEM,C2,21.305609941482544,1,572
NEM,C3,63.88664126396179,3,572
NEM,ft,244.05137300491333,0,0
