数据,方法,每集合ms,读出次数,特征维度
RTS-GMLC,lin,0.8808743953704834,1,23
RTS-GMLC,poly,1.1375725269317627,1,46
RTS-GMLC,polyS,0.8399653434753418,1,9
RTS-GMLC,head1,0.08985519409179688,0,0
RTS-GMLC,head3,0.1870572566986084,0,0
RTS-GMLC,rand1,7.609332799911499,1,302
RTS-GMLC,D1,7.540521621704102,1,302
RTS-GMLC,E,22.58849024772644,3,302
RTS-GMLC,Ecat,43.10597538948059,1,814
RTS-GMLC,C1,22.663800716400146,3,302
RTS-GMLC,C2,20.66413402557373,1,558
RTS-GMLC,C3,61.91344738006592,3,558
RTS-GMLC,ft,299.39969778060913,0,0
