数据,方法,每集合ms,读出次数,特征维度
CAISO-load,lin,2.640167474746704,1,35
CAISO-load,poly,4.1885340213775635,1,70
CAISO-load,polyS,1.9857251644134524,1,9
CAISO-load,head1,0.09276151657104492,0,0
CAISO-load,head3,0.1872110366821289,0,0
CAISO-load,rand1,25.83836793899536,1,326
CAISO-load,D1,25.562658309936523,1,326
CAISO-load,E,76.69573426246643,3,326
CAISO-load,Ecat,115.94336271286011,1,838
CAISO-load,C1,76.7022716999054,3,326
CAISO-load,C2,58.63979458808899,1,582
CAISO-load,C3,175.92276096343994,3,582
CAISO-load,ft,251.20645761489868,0,0
