数据,方法,每集合ms,读出次数,特征维度
PJM-load,lin,0.686037540435791,1,22
PJM-load,poly,0.9203994274139404,1,44
PJM-load,polyS,0.6939935684204102,1,9
PJM-load,head1,0.08655190467834473,0,0
PJM-load,head3,0.1769411563873291,0,0
PJM-load,rand1,5.730730295181274,1,300
PJM-load,D1,5.736291408538818,1,300
PJM-load,E,16.941362619400024,3,300
PJM-load,Ecat,35.40247082710266,1,812
PJM-load,C1,16.886863708496094,3,300
PJM-load,C2,16.077135801315308,1,556
PJM-load,C3,48.37905406951904,3,556
PJM-load,ft,226.84080600738525,0,0
