数据,方法,每集合ms,读出次数,特征维度
CAISO-load,lin,1.004394292831421,1,35
CAISO-load,poly,1.6427254676818848,1,70
CAISO-load,polyS,0.7553529739379883,1,9
CAISO-load,head1,0.0848686695098877,0,0
CAISO-load,head3,0.1874709129333496,0,0
CAISO-load,rand1,7.977256774902344,1,326
CAISO-load,D1,7.924829721450805,1,326
CAISO-load,E,23.506358861923218,3,326
CAISO-load,Ecat,43.192055225372314,1,838
CAISO-load,C1,23.50131392478943,3,326
CAISO-load,C2,20.521235466003418,1,582
CAISO-load,C3,61.5188729763031,3,582
CAISO-load,ft,228.45089435577393,0,0
