数据,主干,秒,轮数,训练行
RTS-GMLC,uniform,34.219228744506836,327,5227
RTS-GMLC,recon,42.09642505645752,366,5227
NEM,uniform,27.918040990829468,283,5227
NEM,recon,43.77854657173157,381,5227
PJM-load,uniform,31.436593532562256,400,3901
PJM-load,recon,36.13478326797485,400,3901
PJM-gen/ic,uniform,31.30799627304077,400,3901
PJM-gen/ic,recon,35.31552290916443,400,3901
CAISO-load,uniform,29.33563995361328,283,5189
CAISO-load,recon,46.322126150131226,400,5189
