数据,方法,每集合ms,读出次数,特征维度
PJM-gen/ic,lin,2.3489749431610107,1,24
PJM-gen/ic,poly,2.6446533203125,1,48
PJM-gen/ic,polyS,2.2123634815216064,1,9
PJM-gen/ic,head1,0.0829768180847168,0,0
PJM-gen/ic,head3,0.1719820499420166,0,0
PJM-gen/ic,rand1,21.117560863494873,1,304
PJM-gen/ic,D1,21.00857138633728,1,304
PJM-gen/ic,E,62.97855496406556,3,304
PJM-gen/ic,Ecat,100.76940655708313,1,816
PJM-gen/ic,C1,63.02407741546631,3,304
PJM-gen/ic,C2,50.08688449859619,1,560
PJM-gen/ic,C3,150.30211448669434,3,560
PJM-gen/ic,ft,221.14174365997314,0,0
