数据,方法,每集合ms,读出次数,特征维度
PJM-gen/ic,lin,0.7529056072235107,1,24
PJM-gen/ic,poly,0.9932649135589601,1,48
PJM-gen/ic,polyS,0.7008814811706543,1,9
PJM-gen/ic,head1,0.08314371109008789,0,0
PJM-gen/ic,head3,0.16935348510742188,0,0
PJM-gen/ic,rand1,6.43365740776062,1,304
PJM-gen/ic,D1,6.4543914794921875,1,304
PJM-gen/ic,E,19.18840765953064,3,304
PJM-gen/ic,Ecat,38.00606369972229,1,816
PJM-gen/ic,C1,19.037010669708252,3,304
PJM-gen/ic,C2,17.729644775390625,1,560
PJM-gen/ic,C3,53.30410718917847,3,560
PJM-gen/ic,ft,244.6139097213745,0,0
