数据,方法,每集合ms,读出次数,特征维度
NEM,lin,2.59541392326355,1,30
NEM,poly,3.2315778732299805,1,60
NEM,polyS,2.424846887588501,1,9
NEM,head1,0.08242130279541016,0,0
NEM,head3,0.20218849182128906,0,0
NEM,rand1,24.11673069000244,1,316
NEM,D1,24.052574634552002,1,316
NEM,E,72.12799668312073,3,316
NEM,Ecat,114.65510725975037,1,828
NEM,C1,72.35292911529541,3,316
NEM,C2,58.405916690826416,1,572
NEM,C3,175.2037262916565,3,572
NEM,ft,225.28897523880005,0,0
