数据,方法,每集合ms,读出次数,特征维度
PJM-load,lin,2.1581757068634033,1,22
PJM-load,poly,2.4865901470184326,1,44
PJM-load,polyS,2.3917174339294434,1,9
PJM-load,head1,0.08636116981506348,0,0
PJM-load,head3,0.17476201057434082,0,0
PJM-load,rand1,19.72387194633484,1,300
PJM-load,D1,19.712190628051758,1,300
PJM-load,E,58.99119019508362,3,300
PJM-load,Ecat,96.71489477157593,1,812
PJM-load,C1,59.03784394264221,3,300
PJM-load,C2,47.06356763839722,1,556
PJM-load,C3,141.23852372169495,3,556
PJM-load,ft,208.9544653892517,0,0
