数据,目标,字段数,M0均值,G1均值,G2均值,G3均值,G2最大,平均背景增益均值,K1闭式最大误差,G2误差,背景召回前1,背景召回前3,背景召回前5
CAISO-load,actual_load__mw__ca_iso_tac,35,0.23600894,0.14818448,0.17321403,0.17773895,0.3715204,0.16737339454037803,2.9802322e-08,0.014607041,0.4,0.7142857142857143,0.8
NEM,机组出力_BW01,30,0.17050004,0.039748896,0.06946412,0.07541291,0.15702704,0.09212650147577127,1.3038516e-08,0.01921944,0.36666666666666664,0.5333333333333333,0.6333333333333333
NEM,机组出力_PPCCGT,30,0.15491048,0.09117866,0.12678628,0.13921833,0.4160527,0.10738875567913056,3.7252903e-09,0.007340787,0.7666666666666667,0.9,0.9666666666666667
NEM,机组出力_TUMUT3,30,0.07142878,0.05344571,0.09986479,0.13938099,0.24849825,0.06571971412437658,7.450581e-09,0.029801598,0.16666666666666666,0.36666666666666664,0.43333333333333335
PJM-gen/ic,net_actual_interchange_mw,24,0.12012195,0.07781075,0.10116747,0.10745666,0.22291833,0.09892492795673509,7.450581e-09,0.017484242,0.5416666666666666,0.6666666666666666,0.75
PJM-gen/ic,total_gen,24,0.25733668,0.049882922,0.07790987,0.07916358,0.20105833,0.14684488476874927,7.450581e-09,0.02463535,0.25,0.4166666666666667,0.5
PJM-load,metered_load_mw,22,0.20125078,0.05446667,0.06950709,0.077552445,0.22028294,0.12678141705691814,1.4901161e-08,0.019925388,0.5,0.5454545454545454,0.6363636363636364
RTS-GMLC,机组出力_221_CC_1,23,0.50514513,0.07140165,0.10662317,0.10789376,0.3167864,0.13873897731790077,7.450581e-09,0.008645972,0.782608695652174,0.9565217391304348,0.9565217391304348
RTS-GMLC,机组出力_223_STEAM_3,23,0.49648187,0.06993106,0.086391784,0.086978175,0.25723982,0.14175627862467713,0.0,0.014960903,0.6956521739130435,0.8260869565217391,0.8260869565217391
RTS-GMLC,线路潮流_C35,23,0.2913843,0.15315135,0.16768755,0.17000066,0.28769824,0.14567528575982736,0.0,0.012223826,0.2608695652173913,0.782608695652174,0.9130434782608695
