数据,目标,字段,名次,背景,Δ
RTS-GMLC,线路潮流_C35,屋顶光伏预测,5,风电出力预测 + 阻塞_C29,0.5648752450942993
RTS-GMLC,线路潮流_C35,水电出力预测,1,风电出力预测 + 阻塞_C6,0.15150338411331177
RTS-GMLC,线路潮流_C35,水电出力预测,2,风电出力预测 + 节点电价_303,0.13183468580245972
RTS-GMLC,线路潮流_C35,水电出力预测,3,节点电价_303 + 阻塞_CA-1,0.13080161809921265
RTS-GMLC,线路潮流_C35,水电出力预测,4,系统电能价格 + 节点电价_318,0.12945151329040527
RTS-GMLC,线路潮流_C35,水电出力预测,5,风电出力预测,0.12827032804489136
RTS-GMLC,线路潮流_C35,调节上调需求,1,风电出力预测 + 旋转备用需求,0.3421006202697754
RTS-GMLC,线路潮流_C35,调节上调需求,2,负荷预测_区2 + 风电出力预测,0.3300820589065552
RTS-GMLC,线路潮流_C35,调节上调需求,3,负荷预测_区3 + 风电出力预测,0.3295586109161377
RTS-GMLC,线路潮流_C35,调节上调需求,4,风电出力预测 + 阻塞_C6,0.30538779497146606
RTS-GMLC,线路潮流_C35,调节上调需求,5,风电出力预测,0.2879772186279297
RTS-GMLC,线路潮流_C35,调节下调需求,1,风电出力预测 + 旋转备用需求,0.32412564754486084
RTS-GMLC,线路潮流_C35,调节下调需求,2,负荷预测_区2 + 风电出力预测,0.30952781438827515
RTS-GMLC,线路潮流_C35,调节下调需求,3,负荷预测_区3 + 风电出力预测,0.2815001606941223
RTS-GMLC,线路潮流_C35,调节下调需求,4,风电出力预测 + 阻塞_C6,0.26834607124328613
RTS-GMLC,线路潮流_C35,调节下调需求,5,风电出力预测 + 节点电价_318,0.261835515499115
RTS-GMLC,线路潮流_C35,旋转备用需求,1,节点电价_303 + 阻塞_C29,0.28702452778816223
RTS-GMLC,线路潮流_C35,旋转备用需求,2,风电出力预测 + 节点电价_223,0.28452569246292114
RTS-GMLC,线路潮流_C35,旋转备用需求,3,风电出力预测 + 节点电价_318,0.2843055725097656
RTS-GMLC,线路潮流_C35,旋转备用需求,4,节点电价_223,0.2840019762516022
RTS-GMLC,线路潮流_C35,旋转备用需求,5,节点电价_303,0.28362444043159485
RTS-GMLC,线路潮流_C35,系统电能价格,1,负荷预测_区1,0.6983888745307922
RTS-GMLC,线路潮流_C35,系统电能价格,2,负荷预测_区2,0.6975162029266357
RTS-GMLC,线路潮流_C35,系统电能价格,3,负荷预测_区3 + 旋转备用需求,0.6962382197380066
RTS-GMLC,线路潮流_C35,系统电能价格,4,旋转备用需求,0.689763069152832
RTS-GMLC,线路潮流_C35,系统电能价格,5,负荷预测_区1 + 水电出力预测,0.6755905151367188
RTS-GMLC,线路潮流_C35,节点电价_116,1,负荷预测_区1,0.6918640732765198
RTS-GMLC,线路潮流_C35,节点电价_116,2,负荷预测_区2,0.6896364688873291
RTS-GMLC,线路潮流_C35,节点电价_116,3,负荷预测_区3 + 旋转备用需求,0.6845424175262451
RTS-GMLC,线路潮流_C35,节点电价_116,4,旋转备用需求,0.6842060089111328
RTS-GMLC,线路潮流_C35,节点电价_116,5,负荷预测_区1 + 水电出力预测,0.6704472899436951
RTS-GMLC,线路潮流_C35,节点电价_121,1,负荷预测_区1,0.6811395287513733
RTS-GMLC,线路潮流_C35,节点电价_121,2,负荷预测_区2,0.6805323958396912
RTS-GMLC,线路潮流_C35,节点电价_121,3,负荷预测_区3 + 旋转备用需求,0.674761176109314
RTS-GMLC,线路潮流_C35,节点电价_121,4,旋转备用需求,0.6720059514045715
RTS-GMLC,线路潮流_C35,节点电价_121,5,负荷预测_区2 + 阻塞_C6,0.669647753238678
RTS-GMLC,线路潮流_C35,节点电价_215,1,负荷预测_区2,0.7047610282897949
RTS-GMLC,线路潮流_C35,节点电价_215,2,负荷预测_区1,0.7031949162483215
RTS-GMLC,线路潮流_C35,节点电价_215,3,负荷预测_区3 + 旋转备用需求,0.6986466646194458
RTS-GMLC,线路潮流_C35,节点电价_215,4,旋转备用需求,0.6931447982788086
RTS-GMLC,线路潮流_C35,节点电价_215,5,负荷预测_区1 + 水电出力预测,0.6808863878250122
RTS-GMLC,线路潮流_C35,节点电价_223,1,负荷预测_区1,0.6945525407791138
RTS-GMLC,线路潮流_C35,节点电价_223,2,负荷预测_区3 + 旋转备用需求,0.694297194480896
RTS-GMLC,线路潮流_C35,节点电价_223,3,负荷预测_区2,0.6912214756011963
RTS-GMLC,线路潮流_C35,节点电价_223,4,旋转备用需求,0.6808273196220398
RTS-GMLC,线路潮流_C35,节点电价_223,5,负荷预测_区1 + 负荷预测_区3,0.6749312877655029
RTS-GMLC,线路潮流_C35,节点电价_303,1,负荷预测_区2 + 阻塞_C6,0.6445023417472839
RTS-GMLC,线路潮流_C35,节点电价_303,2,旋转备用需求 + 阻塞_C6,0.6217439770698547
RTS-GMLC,线路潮流_C35,节点电价_303,3,负荷预测_区1 + 阻塞_C6,0.6098188757896423
RTS-GMLC,线路潮流_C35,节点电价_303,4,负荷预测_区2,0.583480179309845
RTS-GMLC,线路潮流_C35,节点电价_303,5,负荷预测_区3 + 旋转备用需求,0.5777879953384399
RTS-GMLC,线路潮流_C35,节点电价_309,1,负荷预测_区2,0.7091646790504456
RTS-GMLC,线路潮流_C35,节点电价_309,2,负荷预测_区3 + 旋转备用需求,0.7084257006645203
RTS-GMLC,线路潮流_C35,节点电价_309,3,负荷预测_区1,0.7040688395500183
RTS-GMLC,线路潮流_C35,节点电价_309,4,旋转备用需求,0.6979004144668579
RTS-GMLC,线路潮流_C35,节点电价_309,5,负荷预测_区1 + 负荷预测_区3,0.6905036568641663
RTS-GMLC,线路潮流_C35,节点电价_317,1,负荷预测_区1,0.705078125
RTS-GMLC,线路潮流_C35,节点电价_317,2,负荷预测_区2,0.7004683613777161
RTS-GMLC,线路潮流_C35,节点电价_317,3,旋转备用需求,0.700455367565155
RTS-GMLC,线路潮流_C35,节点电价_317,4,负荷预测_区3 + 旋转备用需求,0.6976704597473145
RTS-GMLC,线路潮流_C35,节点电价_317,5,负荷预测_区2 + 阻塞_C6,0.6823263168334961
RTS-GMLC,线路潮流_C35,节点电价_318,1,负荷预测_区2 + 阻塞_C6,0.6552475094795227
RTS-GMLC,线路潮流_C35,节点电价_318,2,负荷预测_区1,0.6540212631225586
RTS-GMLC,线路潮流_C35,节点电价_318,3,负荷预测_区2,0.6473169922828674
RTS-GMLC,线路潮流_C35,节点电价_318,4,旋转备用需求,0.6435620188713074
RTS-GMLC,线路潮流_C35,节点电价_318,5,负荷预测_区3 + 旋转备用需求,0.6424537897109985
RTS-GMLC,线路潮流_C35,节点电价_325,1,负荷预测_区2,0.6975196599960327
RTS-GMLC,线路潮流_C35,节点电价_325,2,负荷预测_区1,0.6928654909133911
RTS-GMLC,线路潮流_C35,节点电价_325,3,旋转备用需求,0.6924840211868286
RTS-GMLC,线路潮流_C35,节点电价_325,4,负荷预测_区2 + 阻塞_C6,0.6920208930969238
RTS-GMLC,线路潮流_C35,节点电价_325,5,负荷预测_区3 + 旋转备用需求,0.6846988201141357
RTS-GMLC,线路潮流_C35,阻塞_C6,1,节点电价_303 + 阻塞_C29,0.11719346046447754
RTS-GMLC,线路潮流_C35,阻塞_C6,2,节点电价_303 + 阻塞_CA-1,0.11230260133743286
RTS-GMLC,线路潮流_C35,阻塞_C6,3,负荷预测_区2 + 光伏出力预测,0.11197394132614136
RTS-GMLC,线路潮流_C35,阻塞_C6,4,节点电价_303,0.11124363541603088
RTS-GMLC,线路潮流_C35,阻塞_C6,5,负荷预测_区2 + 屋顶光伏预测,0.11108583211898804
RTS-GMLC,线路潮流_C35,阻塞_C29,1,负荷预测_区1 + 旋转备用需求,0.0788387656211853
RTS-GMLC,线路潮流_C35,阻塞_C29,2,负荷预测_区3 + 旋转备用需求,0.07843106985092163
RTS-GMLC,线路潮流_C35,阻塞_C29,3,水电出力预测 + 旋转备用需求,0.07767629623413086
RTS-GMLC,线路潮流_C35,阻塞_C29,4,负荷预测_区1 + 负荷预测_区3,0.07749801874160767
RTS-GMLC,线路潮流_C35,阻塞_C29,5,负荷预测_区1 + 水电出力预测,0.07641291618347168
RTS-GMLC,线路潮流_C35,阻塞_CA-1,1,负荷预测_区3 + 阻塞_C6,0.11837249994277954
RTS-GMLC,线路潮流_C35,阻塞_CA-1,2,负荷预测_区3,0.11120463907718658
RTS-GMLC,线路潮流_C35,阻塞_CA-1,3,∅,0.10932266712188721
RTS-GMLC,线路潮流_C35,阻塞_CA-1,4,水电出力预测,0.10452622175216675
RTS-GMLC,线路潮流_C35,阻塞_CA-1,5,负荷预测_区3 + 阻塞_C29,0.10291942954063416
NEM,机组出力_BW01,实际需求_新南威尔士,1,可用发电容量_昆士兰 + 可用发电容量_塔斯马尼亚,0.5194571018218994
NEM,机组出力_BW01,实际需求_新南威尔士,2,可用发电容量_昆士兰 + 风电出力预测_南澳,0.5040500164031982
NEM,机组出力_BW01,实际需求_新南威尔士,3,可用发电容量_昆士兰,0.5034388303756714
NEM,机组出力_BW01,实际需求_新南威尔士,4,可用发电容量_昆士兰 + 风电出力预测_塔斯马尼亚,0.503002405166626
NEM,机组出力_BW01,实际需求_新南威尔士,5,可用发电容量_昆士兰 + 风电出力预测_维多利亚,0.4925342798233032
NEM,机组出力_BW01,实际需求_昆士兰,1,可用发电容量_昆士兰 + 联络线潮流_NSW1-QLD1,0.39384859800338745
NEM,机组出力_BW01,实际需求_昆士兰,2,可用发电容量_昆士兰 + 可用发电容量_塔斯马尼亚,0.3808119297027588
NEM,机组出力_BW01,实际需求_昆士兰,3,可用发电容量_昆士兰 + 风电出力预测_塔斯马尼亚,0.36838918924331665
NEM,机组出力_BW01,实际需求_昆士兰,4,可用发电容量_昆士兰 + 风电出力预测_南澳,0.36365437507629395
NEM,机组出力_BW01,实际需求_昆士兰,5,可用发电容量_昆士兰,0.36173999309539795
NEM,机组出力_BW01,实际需求_维多利亚,1,可用发电容量_塔斯马尼亚 + 联络线潮流_NSW1-QLD1,0.2787785530090332
NEM,机组出力_BW01,实际需求_维多利亚,2,可用发电容量_南澳 + 联络线潮流_NSW1-QLD1,0.27520328760147095
NEM,机组出力_BW01,实际需求_维多利亚,3,风电出力预测_维多利亚 + 联络线潮流_NSW1-QLD1,0.27249231934547424
NEM,机组出力_BW01,实际需求_维多利亚,4,风电出力预测_南澳 + 联络线潮流_NSW1-QLD1,0.2671317458152771
NEM,机组出力_BW01,实际需求_维多利亚,5,可用发电容量_维多利亚 + 联络线潮流_NSW1-QLD1,0.26631587743759155
NEM,机组出力_BW01,实际需求_南澳,1,可用发电容量_南澳 + 可用发电容量_塔斯马尼亚,0.3185855746269226
NEM,机组出力_BW01,实际需求_南澳,2,可用发电容量_塔斯马尼亚 + 风电出力预测_南澳,0.303192138671875
NEM,机组出力_BW01,实际需求_南澳,3,可用发电容量_塔斯马尼亚 + 风电出力预测_维多利亚,0.303129643201828
NEM,机组出力_BW01,实际需求_南澳,4,可用发电容量_塔斯马尼亚,0.302562952041626
NEM,机组出力_BW01,实际需求_南澳,5,可用发电容量_昆士兰 + 可用发电容量_塔斯马尼亚,0.3008323907852173
NEM,机组出力_BW01,实际需求_塔斯马尼亚,1,可用发电容量_昆士兰 + 联络线潮流_NSW1-QLD1,0.14491140842437744
NEM,机组出力_BW01,实际需求_塔斯马尼亚,2,可用发电容量_维多利亚 + 联络线潮流_NSW1-QLD1,0.13498717546463013
NEM,机组出力_BW01,实际需求_塔斯马尼亚,3,可用发电容量_塔斯马尼亚 + 联络线潮流_NSW1-QLD1,0.12679731845855713
NEM,机组出力_BW01,实际需求_塔斯马尼亚,4,风电出力预测_维多利亚 + 联络线潮流_NSW1-QLD1,0.12336805462837219
NEM,机组出力_BW01,实际需求_塔斯马尼亚,5,可用发电容量_昆士兰 + 可用发电容量_塔斯马尼亚,0.1222425103187561
NEM,机组出力_BW01,可用发电容量_新南威尔士,1,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚,0.2310519516468048
NEM,机组出力_BW01,可用发电容量_新南威尔士,2,实际需求_塔斯马尼亚 + 风电出力预测_塔斯马尼亚,0.21336111426353455
NEM,机组出力_BW01,可用发电容量_新南威尔士,3,可用发电容量_南澳 + 可用发电容量_塔斯马尼亚,0.21152400970458984
NEM,机组出力_BW01,可用发电容量_新南威尔士,4,可用发电容量_塔斯马尼亚 + 风电出力预测_塔斯马尼亚,0.21082478761672974
NEM,机组出力_BW01,可用发电容量_新南威尔士,5,可用发电容量_南澳 + 联络线潮流_NSW1-QLD1,0.20966047048568726
NEM,机组出力_BW01,可用发电容量_昆士兰,1,实际需求_昆士兰 + 联络线潮流_NSW1-QLD1,0.14197701215744019
NEM,机组出力_BW01,可用发电容量_昆士兰,2,实际需求_新南威尔士 + 可用发电容量_塔斯马尼亚,0.14112913608551025
NEM,机组出力_BW01,可用发电容量_昆士兰,3,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚,0.14084619283676147
NEM,机组出力_BW01,可用发电容量_昆士兰,4,实际需求_新南威尔士 + 风电出力预测_维多利亚,0.13780856132507324
NEM,机组出力_BW01,可用发电容量_昆士兰,5,实际需求_新南威尔士 + 风电出力预测_南澳,0.12983888387680054
NEM,机组出力_BW01,可用发电容量_维多利亚,1,可用发电容量_南澳 + 联络线潮流_NSW1-QLD1,0.12535840272903442
NEM,机组出力_BW01,可用发电容量_维多利亚,2,实际需求_塔斯马尼亚 + 风电出力预测_维多利亚,0.11920231580734253
NEM,机组出力_BW01,可用发电容量_维多利亚,3,可用发电容量_塔斯马尼亚 + 风电出力预测_南澳,0.1121978759765625
NEM,机组出力_BW01,可用发电容量_维多利亚,4,风电出力预测_维多利亚 + 联络线潮流_NSW1-QLD1,0.1113150417804718
NEM,机组出力_BW01,可用发电容量_维多利亚,5,实际需求_塔斯马尼亚 + 联络线潮流_VIC1-NSW1,0.10941912233829498
NEM,机组出力_BW01,可用发电容量_南澳,1,可用发电容量_维多利亚 + 联络线潮流_V-SA,0.09436102956533432
NEM,机组出力_BW01,可用发电容量_南澳,2,可用发电容量_塔斯马尼亚 + 联络线潮流_V-SA,0.08496227860450745
NEM,机组出力_BW01,可用发电容量_南澳,3,可用发电容量_昆士兰 + 风电出力预测_南澳,0.08325308561325073
NEM,机组出力_BW01,可用发电容量_南澳,4,可用发电容量_昆士兰 + 联络线潮流_V-SA,0.07523339986801147
NEM,机组出力_BW01,可用发电容量_南澳,5,风电出力预测_新南威尔士 + 风电出力预测_南澳,0.06794392317533493
NEM,机组出力_BW01,可用发电容量_塔斯马尼亚,1,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚,0.09365540742874146
NEM,机组出力_BW01,可用发电容量_塔斯马尼亚,2,可用发电容量_昆士兰 + 风电出力预测_塔斯马尼亚,0.06356924772262573
NEM,机组出力_BW01,可用发电容量_塔斯马尼亚,3,可用发电容量_新南威尔士 + 光伏出力预测_昆士兰,0.060835033655166626
NEM,机组出力_BW01,可用发电容量_塔斯马尼亚,4,可用发电容量_南澳 + 风电出力预测_塔斯马尼亚,0.06008875370025635
NEM,机组出力_BW01,可用发电容量_塔斯马尼亚,5,可用发电容量_维多利亚 + 风电出力预测_塔斯马尼亚,0.05870626121759415
NEM,机组出力_BW01,风电出力预测_新南威尔士,1,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚,0.12431907653808594
NEM,机组出力_BW01,风电出力预测_新南威尔士,2,可用发电容量_塔斯马尼亚 + 联络线潮流_NSW1-QLD1,0.08643043041229248
NEM,机组出力_BW01,风电出力预测_新南威尔士,3,风电出力预测_塔斯马尼亚 + 联络线潮流_NSW1-QLD1,0.0815688967704773
NEM,机组出力_BW01,风电出力预测_新南威尔士,4,实际需求_塔斯马尼亚 + 风电出力预测_塔斯马尼亚,0.07939901947975159
NEM,机组出力_BW01,风电出力预测_新南威尔士,5,可用发电容量_昆士兰 + 可用发电容量_塔斯马尼亚,0.07567614316940308
NEM,机组出力_BW01,风电出力预测_昆士兰,1,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚,0.10169398784637451
NEM,机组出力_BW01,风电出力预测_昆士兰,2,风电出力预测_新南威尔士 + 风电出力预测_南澳,0.07414042204618454
NEM,机组出力_BW01,风电出力预测_昆士兰,3,风电出力预测_新南威尔士 + 风电出力预测_维多利亚,0.07258837670087814
NEM,机组出力_BW01,风电出力预测_昆士兰,4,风电出力预测_南澳 + 风电出力预测_塔斯马尼亚,0.06988257169723511
NEM,机组出力_BW01,风电出力预测_昆士兰,5,可用发电容量_塔斯马尼亚 + 风电出力预测_塔斯马尼亚,0.06932634115219116
NEM,机组出力_BW01,风电出力预测_维多利亚,1,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚,0.10697536170482635
NEM,机组出力_BW01,风电出力预测_维多利亚,2,可用发电容量_维多利亚 + 出清价_塔斯马尼亚,0.08710023760795593
NEM,机组出力_BW01,风电出力预测_维多利亚,3,可用发电容量_塔斯马尼亚 + 出清价_南澳,0.07876646518707275
NEM,机组出力_BW01,风电出力预测_维多利亚,4,可用发电容量_昆士兰 + 可用发电容量_塔斯马尼亚,0.07803910970687866
NEM,机组出力_BW01,风电出力预测_维多利亚,5,可用发电容量_塔斯马尼亚 + 出清价_维多利亚,0.07462063431739807
NEM,机组出力_BW01,风电出力预测_南澳,1,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚,0.1052924394607544
NEM,机组出力_BW01,风电出力预测_南澳,2,出清价_南澳 + 联络线潮流_V-SA,0.09965787827968597
NEM,机组出力_BW01,风电出力预测_南澳,3,出清价_塔斯马尼亚 + 联络线潮流_V-SA,0.09926009178161621
NEM,机组出力_BW01,风电出力预测_南澳,4,出清价_南澳 + 出清价_塔斯马尼亚,0.09585312008857727
NEM,机组出力_BW01,风电出力预测_南澳,5,可用发电容量_维多利亚 + 联络线潮流_V-SA,0.09570003300905228
NEM,机组出力_BW01,风电出力预测_塔斯马尼亚,1,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚,0.10717219114303589
NEM,机组出力_BW01,风电出力预测_塔斯马尼亚,2,可用发电容量_昆士兰 + 可用发电容量_塔斯马尼亚,0.07002931833267212
NEM,机组出力_BW01,风电出力预测_塔斯马尼亚,3,可用发电容量_塔斯马尼亚 + 联络线潮流_V-SA,0.06996086239814758
NEM,机组出力_BW01,风电出力预测_塔斯马尼亚,4,可用发电容量_南澳 + 可用发电容量_塔斯马尼亚,0.06274735927581787
NEM,机组出力_BW01,风电出力预测_塔斯马尼亚,5,可用发电容量_维多利亚 + 可用发电容量_塔斯马尼亚,0.061081886291503906
NEM,机组出力_BW01,光伏出力预测_新南威尔士,1,可用发电容量_昆士兰 + 可用发电容量_塔斯马尼亚,0.39421069622039795
NEM,机组出力_BW01,光伏出力预测_新南威尔士,2,可用发电容量_塔斯马尼亚 + 风电出力预测_塔斯马尼亚,0.3703080415725708
NEM,机组出力_BW01,光伏出力预测_新南威尔士,3,可用发电容量_南澳 + 可用发电容量_塔斯马尼亚,0.37024807929992676
NEM,机组出力_BW01,光伏出力预测_新南威尔士,4,可用发电容量_昆士兰 + 风电出力预测_塔斯马尼亚,0.366973340511322
NEM,机组出力_BW01,光伏出力预测_新南威尔士,5,可用发电容量_塔斯马尼亚,0.3667370676994324
NEM,机组出力_BW01,光伏出力预测_昆士兰,1,可用发电容量_塔斯马尼亚 + 风电出力预测_塔斯马尼亚,0.4125232696533203
NEM,机组出力_BW01,光伏出力预测_昆士兰,2,可用发电容量_南澳 + 可用发电容量_塔斯马尼亚,0.41086050868034363
NEM,机组出力_BW01,光伏出力预测_昆士兰,3,可用发电容量_塔斯马尼亚,0.4097658395767212
NEM,机组出力_BW01,光伏出力预测_昆士兰,4,可用发电容量_塔斯马尼亚 + 风电出力预测_南澳,0.4060058891773224
NEM,机组出力_BW01,光伏出力预测_昆士兰,5,可用发电容量_昆士兰 + 可用发电容量_塔斯马尼亚,0.40480321645736694
NEM,机组出力_BW01,光伏出力预测_维多利亚,1,风电出力预测_新南威尔士 + 风电出力预测_塔斯马尼亚,0.3053653836250305
NEM,机组出力_BW01,光伏出力预测_维多利亚,2,可用发电容量_塔斯马尼亚 + 风电出力预测_新南威尔士,0.30514490604400635
NEM,机组出力_BW01,光伏出力预测_维多利亚,3,可用发电容量_塔斯马尼亚,0.3033139705657959
NEM,机组出力_BW01,光伏出力预测_维多利亚,4,风电出力预测_南澳 + 风电出力预测_塔斯马尼亚,0.3020125925540924
NEM,机组出力_BW01,光伏出力预测_维多利亚,5,可用发电容量_塔斯马尼亚 + 风电出力预测_塔斯马尼亚,0.3013775050640106
NEM,机组出力_BW01,光伏出力预测_南澳,1,可用发电容量_南澳 + 可用发电容量_塔斯马尼亚,0.299344539642334
NEM,机组出力_BW01,光伏出力预测_南澳,2,可用发电容量_昆士兰 + 可用发电容量_塔斯马尼亚,0.2946632504463196
NEM,机组出力_BW01,光伏出力预测_南澳,3,可用发电容量_塔斯马尼亚,0.29208993911743164
NEM,机组出力_BW01,光伏出力预测_南澳,4,可用发电容量_塔斯马尼亚 + 风电出力预测_塔斯马尼亚,0.2911102771759033
NEM,机组出力_BW01,光伏出力预测_南澳,5,可用发电容量_塔斯马尼亚 + 风电出力预测_南澳,0.2906651198863983
NEM,机组出力_BW01,出清价_新南威尔士,1,可用发电容量_塔斯马尼亚 + 风电出力预测_南澳,0.4641075134277344
NEM,机组出力_BW01,出清价_新南威尔士,2,风电出力预测_塔斯马尼亚,0.46318140625953674
NEM,机组出力_BW01,出清价_新南威尔士,3,风电出力预测_南澳,0.4620979428291321
NEM,机组出力_BW01,出清价_新南威尔士,4,风电出力预测_南澳 + 风电出力预测_塔斯马尼亚,0.46144646406173706
NEM,机组出力_BW01,出清价_新南威尔士,5,风电出力预测_南澳 + 联络线潮流_NSW1-QLD1,0.4580218195915222
NEM,机组出力_BW01,出清价_昆士兰,1,可用发电容量_塔斯马尼亚,0.4983729124069214
NEM,机组出力_BW01,出清价_昆士兰,2,可用发电容量_塔斯马尼亚 + 风电出力预测_南澳,0.4967389702796936
NEM,机组出力_BW01,出清价_昆士兰,3,风电出力预测_塔斯马尼亚,0.496322900056839
NEM,机组出力_BW01,出清价_昆士兰,4,∅,0.4933544993400574
NEM,机组出力_BW01,出清价_昆士兰,5,可用发电容量_南澳 + 可用发电容量_塔斯马尼亚,0.4892708659172058
NEM,机组出力_BW01,出清价_维多利亚,1,风电出力预测_南澳 + 联络线潮流_NSW1-QLD1,0.3266391158103943
NEM,机组出力_BW01,出清价_维多利亚,2,可用发电容量_塔斯马尼亚 + 风电出力预测_南澳,0.321001797914505
NEM,机组出力_BW01,出清价_维多利亚,3,风电出力预测_塔斯马尼亚 + 联络线潮流_NSW1-QLD1,0.31882715225219727
NEM,机组出力_BW01,出清价_维多利亚,4,风电出力预测_塔斯马尼亚 + 联络线潮流_VIC1-NSW1,0.3176874816417694
NEM,机组出力_BW01,出清价_维多利亚,5,风电出力预测_南澳 + 风电出力预测_塔斯马尼亚,0.31612569093704224
NEM,机组出力_BW01,出清价_南澳,1,可用发电容量_塔斯马尼亚 + 风电出力预测_南澳,0.33270540833473206
NEM,机组出力_BW01,出清价_南澳,2,风电出力预测_南澳 + 联络线潮流_NSW1-QLD1,0.32663267850875854
NEM,机组出力_BW01,出清价_南澳,3,风电出力预测_南澳 + 风电出力预测_塔斯马尼亚,0.32473692297935486
NEM,机组出力_BW01,出清价_南澳,4,可用发电容量_昆士兰 + 风电出力预测_南澳,0.31028348207473755
NEM,机组出力_BW01,出清价_南澳,5,风电出力预测_南澳 + 联络线潮流_VIC1-NSW1,0.30872678756713867
NEM,机组出力_BW01,出清价_塔斯马尼亚,1,风电出力预测_塔斯马尼亚 + 联络线潮流_NSW1-QLD1,0.23501190543174744
NEM,机组出力_BW01,出清价_塔斯马尼亚,2,联络线潮流_NSW1-QLD1 + 联络线潮流_VIC1-NSW1,0.23361599445343018
NEM,机组出力_BW01,出清价_塔斯马尼亚,3,风电出力预测_南澳 + 联络线潮流_NSW1-QLD1,0.227725088596344
NEM,机组出力_BW01,出清价_塔斯马尼亚,4,可用发电容量_塔斯马尼亚 + 联络线潮流_NSW1-QLD1,0.2245771288871765
NEM,机组出力_BW01,出清价_塔斯马尼亚,5,联络线潮流_NSW1-QLD1,0.21381083130836487
NEM,机组出力_BW01,联络线潮流_N-Q-MNSP1,1,可用发电容量_塔斯马尼亚 + 联络线潮流_NSW1-QLD1,0.27134591341018677
NEM,机组出力_BW01,联络线潮流_N-Q-MNSP1,2,风电出力预测_南澳 + 联络线潮流_NSW1-QLD1,0.2615309953689575
NEM,机组出力_BW01,联络线潮流_N-Q-MNSP1,3,联络线潮流_NSW1-QLD1 + 联络线潮流_VIC1-NSW1,0.2604227066040039
NEM,机组出力_BW01,联络线潮流_N-Q-MNSP1,4,风电出力预测_昆士兰 + 联络线潮流_NSW1-QLD1,0.2583243250846863
NEM,机组出力_BW01,联络线潮流_N-Q-MNSP1,5,可用发电容量_昆士兰 + 联络线潮流_NSW1-QLD1,0.25647109746932983
NEM,机组出力_BW01,联络线潮流_NSW1-QLD1,1,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚,0.19496116042137146
NEM,机组出力_BW01,联络线潮流_NSW1-QLD1,2,可用发电容量_昆士兰 + 联络线潮流_N-Q-MNSP1,0.14505594968795776
NEM,机组出力_BW01,联络线潮流_NSW1-QLD1,3,风电出力预测_昆士兰 + 联络线潮流_N-Q-MNSP1,0.14321589469909668
NEM,机组出力_BW01,联络线潮流_NSW1-QLD1,4,可用发电容量_塔斯马尼亚 + 联络线潮流_N-Q-MNSP1,0.139004647731781
NEM,机组出力_BW01,联络线潮流_NSW1-QLD1,5,风电出力预测_塔斯马尼亚 + 联络线潮流_N-Q-MNSP1,0.12636494636535645
NEM,机组出力_BW01,联络线潮流_T-V-MNSP1,1,可用发电容量_塔斯马尼亚 + 风电出力预测_南澳,0.17365708947181702
NEM,机组出力_BW01,联络线潮流_T-V-MNSP1,2,可用发电容量_南澳 + 联络线潮流_NSW1-QLD1,0.17025834321975708
NEM,机组出力_BW01,联络线潮流_T-V-MNSP1,3,风电出力预测_塔斯马尼亚 + 联络线潮流_NSW1-QLD1,0.16793298721313477
NEM,机组出力_BW01,联络线潮流_T-V-MNSP1,4,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚,0.16765648126602173
NEM,机组出力_BW01,联络线潮流_T-V-MNSP1,5,风电出力预测_南澳 + 风电出力预测_塔斯马尼亚,0.1674639731645584
NEM,机组出力_BW01,联络线潮流_V-S-MNSP1,1,可用发电容量_塔斯马尼亚 + 联络线潮流_V-SA,0.1459418386220932
NEM,机组出力_BW01,联络线潮流_V-S-MNSP1,2,风电出力预测_维多利亚 + 联络线潮流_V-SA,0.1450110673904419
NEM,机组出力_BW01,联络线潮流_V-S-MNSP1,3,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚,0.14368601143360138
NEM,机组出力_BW01,联络线潮流_V-S-MNSP1,4,可用发电容量_南澳 + 联络线潮流_NSW1-QLD1,0.13772493600845337
NEM,机组出力_BW01,联络线潮流_V-S-MNSP1,5,实际需求_塔斯马尼亚 + 风电出力预测_塔斯马尼亚,0.13743263483047485
NEM,机组出力_BW01,联络线潮流_V-SA,1,风电出力预测_南澳 + 风电出力预测_塔斯马尼亚,0.11545509099960327
NEM,机组出力_BW01,联络线潮流_V-SA,2,可用发电容量_南澳 + 可用发电容量_塔斯马尼亚,0.11281859874725342
NEM,机组出力_BW01,联络线潮流_V-SA,3,实际需求_塔斯马尼亚 + 风电出力预测_南澳,0.10414755344390869
NEM,机组出力_BW01,联络线潮流_V-SA,4,可用发电容量_南澳 + 风电出力预测_塔斯马尼亚,0.10356366634368896
