数据,目标,字段,名次,背景,Δ
RTS-GMLC,机组出力_221_CC_1,水电出力预测,2,屋顶光伏预测 + 阻塞_CA-1,0.1979779750108719
RTS-GMLC,机组出力_221_CC_1,水电出力预测,3,屋顶光伏预测,0.1941857933998108
RTS-GMLC,机组出力_221_CC_1,水电出力预测,4,光伏出力预测 + 阻塞_CA-1,0.19197142124176025
RTS-GMLC,机组出力_221_CC_1,水电出力预测,5,光伏出力预测 + 调节上调需求,0.19040334224700928
RTS-GMLC,机组出力_221_CC_1,调节上调需求,1,光伏出力预测 + 调节下调需求,0.34227949380874634
RTS-GMLC,机组出力_221_CC_1,调节上调需求,2,风电出力预测 + 光伏出力预测,0.31890004873275757
RTS-GMLC,机组出力_221_CC_1,调节上调需求,3,风电出力预测 + 屋顶光伏预测,0.31778484582901
RTS-GMLC,机组出力_221_CC_1,调节上调需求,4,屋顶光伏预测 + 调节下调需求,0.3108443021774292
RTS-GMLC,机组出力_221_CC_1,调节上调需求,5,水电出力预测 + 调节下调需求,0.28037571907043457
RTS-GMLC,机组出力_221_CC_1,调节下调需求,1,风电出力预测 + 屋顶光伏预测,0.3244870901107788
RTS-GMLC,机组出力_221_CC_1,调节下调需求,2,光伏出力预测 + 调节上调需求,0.3140188455581665
RTS-GMLC,机组出力_221_CC_1,调节下调需求,3,风电出力预测 + 光伏出力预测,0.30970728397369385
RTS-GMLC,机组出力_221_CC_1,调节下调需求,4,屋顶光伏预测 + 调节上调需求,0.2974652051925659
RTS-GMLC,机组出力_221_CC_1,调节下调需求,5,风电出力预测 + 调节上调需求,0.2587757706642151
RTS-GMLC,机组出力_221_CC_1,旋转备用需求,1,光伏出力预测 + 调节下调需求,0.6041425466537476
RTS-GMLC,机组出力_221_CC_1,旋转备用需求,2,屋顶光伏预测,0.6004676222801208
RTS-GMLC,机组出力_221_CC_1,旋转备用需求,3,屋顶光伏预测 + 阻塞_CA-1,0.5976887345314026
RTS-GMLC,机组出力_221_CC_1,旋转备用需求,4,光伏出力预测 + 调节上调需求,0.5887934565544128
RTS-GMLC,机组出力_221_CC_1,旋转备用需求,5,屋顶光伏预测 + 调节上调需求,0.5881322026252747
RTS-GMLC,机组出力_221_CC_1,系统电能价格,1,∅,0.9837035536766052
RTS-GMLC,机组出力_221_CC_1,系统电能价格,2,阻塞_CA-1,0.9767848253250122
RTS-GMLC,机组出力_221_CC_1,系统电能价格,3,调节下调需求,0.9685346484184265
RTS-GMLC,机组出力_221_CC_1,系统电能价格,4,调节下调需求 + 阻塞_CA-1,0.9569731950759888
RTS-GMLC,机组出力_221_CC_1,系统电能价格,5,阻塞_C29,0.9448291659355164
RTS-GMLC,机组出力_221_CC_1,节点电价_116,1,∅,0.97602379322052
RTS-GMLC,机组出力_221_CC_1,节点电价_116,2,阻塞_CA-1,0.9716038703918457
RTS-GMLC,机组出力_221_CC_1,节点电价_116,3,调节下调需求,0.9608548879623413
RTS-GMLC,机组出力_221_CC_1,节点电价_116,4,调节下调需求 + 阻塞_CA-1,0.9517922401428223
RTS-GMLC,机组出力_221_CC_1,节点电价_116,5,阻塞_C29,0.9371374249458313
RTS-GMLC,机组出力_221_CC_1,节点电价_121,1,∅,0.9579240083694458
RTS-GMLC,机组出力_221_CC_1,节点电价_121,2,阻塞_CA-1,0.9560093879699707
RTS-GMLC,机组出力_221_CC_1,节点电价_121,3,调节下调需求,0.9427551031112671
RTS-GMLC,机组出力_221_CC_1,节点电价_121,4,调节下调需求 + 阻塞_CA-1,0.9361977577209473
RTS-GMLC,机组出力_221_CC_1,节点电价_121,5,阻塞_C29 + 阻塞_CA-1,0.9193227887153625
RTS-GMLC,机组出力_221_CC_1,节点电价_215,1,∅,0.9872276186943054
RTS-GMLC,机组出力_221_CC_1,节点电价_215,2,阻塞_CA-1,0.9816828966140747
RTS-GMLC,机组出力_221_CC_1,节点电价_215,3,调节下调需求,0.9720587134361267
RTS-GMLC,机组出力_221_CC_1,节点电价_215,4,调节下调需求 + 阻塞_CA-1,0.9618712663650513
RTS-GMLC,机组出力_221_CC_1,节点电价_215,5,阻塞_C29,0.9483025670051575
RTS-GMLC,机组出力_221_CC_1,节点电价_223,1,∅,0.9751115441322327
RTS-GMLC,机组出力_221_CC_1,节点电价_223,2,阻塞_CA-1,0.968744158744812
