读出,V误差,M2偏差,M2误差,M2排序Spearman,认证前1,认证前3,认证前10,关键召回τ0.5,关键精确τ0.5
A 原口径·三种子拼接,0.023233310505747794,0.028831355134025217,0.0514973278157413,0.8913152467160824,0.7977878510951996,0.8955334961414337,0.9755796432495117,0.9213903743315509,1.0
B 原口径·单种子,0.027743106056004763,-0.013390584176522679,0.021892863139510155,0.947589930841031,0.8919029057025909,0.9544558346271514,0.9822032213211059,0.8961869332713321,1.0
C 三种子拼接+数值修正,0.02196499202400446,-0.012029993976466358,0.017600360419601203,0.9614363314535345,0.9118906199932099,0.9608020544052124,0.9789716303348541,0.9213903743315509,1.0
D 单种子+数值修正+5折,0.02659404231235385,-0.02056121835485101,0.022242078185081483,0.9670845004319595,0.9370050370693207,0.9683895826339721,0.9791261434555054,0.9761334573355034,0.9863636363636363
E 三种子预测平均,0.023529131803661583,-0.018133318843320013,0.020021946961060168,0.9703577037844469,0.9395351529121398,0.9693552732467652,0.9809352815151214,0.9168449197860962,1.0
F 预测平均+交叉拟合,0.028811801131814717,-0.02808274608105421,0.029788779001682995,0.9589898111825331,0.9300490558147431,0.9653603494167328,0.9787382066249848,0.9578268619700845,0.9894736842105264
G 全字段主干复用（设置同 E）,0.035937275271862745,-0.02072643954306841,0.02627855585888028,0.9549353002070393,0.8897310793399811,0.9485324919223785,0.97736556828022,0.9705882352941176,1.0
