数据,目标,读出,V误差,M2偏差,M2误差,M2排序Spearman,崩溃占比,认证前1,认证前3,认证前10,关键召回τ0.5,关键精确τ0.5
RTS-GMLC,机组出力_223_STEAM_3,A 原口径·三种子拼接,0.006195677910000086,-0.011080119758844376,0.013680867850780487,0.9851778656126482,0.0004885197850512946,0.9905460476875305,0.993199348449707,0.9937289357185364,1.0,1.0
RTS-GMLC,机组出力_221_CC_1,A 原口径·三种子拼接,0.006872849073261023,-0.004023702349513769,0.009999052621424198,0.9970355731225298,0.0009770395701025891,0.9961245656013489,0.998338520526886,0.998338520526886,1.0,1.0
RTS-GMLC,线路潮流_C35,A 原口径·三种子拼接,0.012377864681184292,0.04224313795566559,0.052256543189287186,0.8685770750988143,0.0019540791402051783,0.8571369647979736,0.9933190941810608,0.9993666410446167,1.0,1.0
RTS-GMLC,机组出力_223_STEAM_3,B 原口径·单种子,0.013040666468441486,-0.018327167257666588,0.018961532041430473,0.9792490118577075,0.0,0.9851400256156921,0.9915133714675903,0.9937289357185364,0.9565217391304348,1.0
RTS-GMLC,机组出力_221_CC_1,B 原口径·单种子,0.01022541243582964,-0.010578758083283901,0.011788527481257915,0.9950592885375494,0.0,0.9877744913101196,0.9978718161582947,0.9983305335044861,1.0,1.0
RTS-GMLC,线路潮流_C35,B 原口径·单种子,0.016640555113554,-0.0002898583479691297,0.018295805901288986,0.9713438735177865,0.0,0.9670881032943726,0.9907225370407104,0.9998033046722412,1.0,1.0
RTS-GMLC,机组出力_223_STEAM_3,C 三种子拼接+数值修正,0.006267832592129707,-0.01128999050706625,0.013754396699368954,0.9851778656126482,0.0,0.9905460476875305,0.993199348449707,0.9937289357185364,1.0,1.0
RTS-GMLC,机组出力_221_CC_1,C 三种子拼接+数值修正,0.006800160743296146,-0.003920644987374544,0.009840668179094791,0.9970355731225298,0.0004885197850512946,0.9958634972572327,0.998338520526886,0.998338520526886,1.0,1.0
RTS-GMLC,线路潮流_C35,C 三种子拼接+数值修正,0.011989032849669456,-0.004751948174089193,0.010973966680467129,0.9841897233201581,0.0004885197850512946,0.9772393107414246,0.9953900575637817,0.9998033046722412,1.0,1.0
RTS-GMLC,机组出力_223_STEAM_3,D 单种子+数值修正+5折,0.013199599459767342,-0.020732378587126732,0.021367138251662254,0.9762845849802372,0.0,0.9843161106109619,0.9930588603019714,0.9937289357185364,0.9565217391304348,1.0
RTS-GMLC,机组出力_221_CC_1,D 单种子+数值修正+5折,0.010388397611677647,-0.010457659140229225,0.011424948461353779,0.9950592885375494,0.0,0.9902230501174927,0.9968879818916321,0.9971492290496826,1.0,1.0
RTS-GMLC,线路潮流_C35,D 单种子+数值修正+5折,0.01640784554183483,-0.0075608608312904835,0.012649347074329853,0.9752964426877472,0.0,0.9765085577964783,0.9933730959892273,1.0,1.0,1.0
RTS-GMLC,机组出力_223_STEAM_3,E 三种子预测平均,0.010217760689556599,-0.01835465244948864,0.01902162842452526,0.9792490118577075,0.0,0.9877579808235168,0.993199348449707,0.9937289357185364,1.0,1.0
RTS-GMLC,机组出力_221_CC_1,E 三种子预测平均,0.009636258706450462,-0.009570741094648838,0.009870924055576324,0.9950592885375494,0.0,0.9958750605583191,0.998338520526886,0.998338520526886,1.0,1.0
RTS-GMLC,线路潮流_C35,E 三种子预测平均,0.012695472687482834,-0.005588636267930269,0.012280705384910107,0.9812252964426879,0.0,0.9743996858596802,0.9918268918991089,0.9997463822364807,1.0,1.0
RTS-GMLC,机组出力_223_STEAM_3,F 预测平均+交叉拟合,0.012915881350636482,-0.021870840340852737,0.022335177287459373,0.9792490118577075,0.0,0.9853215217590332,0.9924561381340027,0.9937289357185364,0.9565217391304348,1.0
RTS-GMLC,机组出力_221_CC_1,F 预测平均+交叉拟合,0.013030005618929863,-0.014822899363934994,0.015118297189474106,0.9940711462450593,0.0,0.9925468564033508,0.9976386427879333,0.998338520526886,1.0,1.0
RTS-GMLC,线路潮流_C35,F 预测平均+交叉拟合,0.018241383135318756,-0.009771316312253475,0.012716620229184628,0.9851778656126482,0.0,0.9784975051879883,0.9940007328987122,0.9998033046722412,1.0,1.0
NEM,机组出力_BW01,A 原口径·三种子拼接,0.011281798593699932,0.032147157937288284,0.03708982095122337,0.8625139043381533,0.02143646408839779,0.7566644549369812,0.8948628902435303,0.9695380926132202,1.0,1.0
NEM,机组出力_TUMUT3,A 原口径·三种子拼接,0.017604686319828033,0.16722969710826874,0.16975127160549164,0.5635150166852058,0.00574585635359116,0.33895573019981384,0.7939948439598083,0.9243726134300232,0.2727272727272727,1.0
NEM,机组出力_PPCCGT,A 原口径·三种子拼接,0.01576303318142891,0.12990225851535797,0.13019144535064697,0.8007564850974426,0.00861878453038674,0.4054364264011383,0.4788716435432434,0.9692800641059875,1.0,1.0
NEM,机组出力_BW01,B 原口径·单种子,0.01269883755594492,-0.01062929630279541,0.01351941842585802,0.9741935483870968,0.007955801104972376,0.9000019431114197,0.9372388124465942,0.9609940052032471,1.0,1.0
NEM,机组出力_TUMUT3,B 原口径·单种子,0.01785949058830738,-0.008923365734517574,0.02362115867435932,0.778865406006674,0.0030939226519337017,0.6199273467063904,0.8702355623245239,0.9204588532447815,0.18181818181818182,1.0
NEM,机组出力_PPCCGT,B 原口径·单种子,0.0186830572783947,-0.001388669479638338,0.010765451937913895,0.9911012235817575,0.009060773480662983,0.9087647795677185,0.9827509522438049,0.9962671995162964,1.0,1.0
NEM,机组出力_BW01,C 三种子拼接+数值修正,0.008772134780883789,-0.015737762674689293,0.01723313331604004,0.9755283648498332,0.0004419889502762431,0.9190590977668762,0.9412657618522644,0.957042932510376,1.0,1.0
NEM,机组出力_TUMUT3,C 三种子拼接+数值修正,0.016894506290555,-0.011525990441441536,0.022364027798175812,0.8113459399332592,0.0004419889502762431,0.6237511038780212,0.8497340679168701,0.9262349009513855,0.2727272727272727,1.0
NEM,机组出力_PPCCGT,C 三种子拼接+数值修正,0.012303396128118038,-0.0035529311280697584,0.0066373394802212715,0.9942157953281423,0.0004419889502762431,0.9895815849304199,0.9937917590141296,0.998441755771637,1.0,1.0
NEM,机组出力_BW01,D 单种子+数值修正+5折,0.010934287682175636,-0.018269354477524757,0.018482012674212456,0.9755283648498332,0.0004419889502762431,0.9324637055397034,0.9543946981430054,0.9661630392074585,1.0,1.0
NEM,机组出力_TUMUT3,D 单种子+数值修正+5折,0.01686694286763668,-0.03038644604384899,0.03070063702762127,0.9159065628476083,0.00022099447513812155,0.8438992500305176,0.9057445526123047,0.9326783418655396,0.8636363636363636,0.8636363636363636
NEM,机组出力_PPCCGT,D 单种子+数值修正+5折,0.01455375924706459,-0.007222933229058981,0.009560784325003624,0.9937708565072303,0.0,0.9921563267707825,0.9977205395698547,0.998441755771637,1.0,1.0
NEM,机组出力_BW01,E 三种子预测平均,0.007900865748524666,-0.017236510291695595,0.017725590616464615,0.9773081201334817,0.0,0.9341974258422852,0.9579046964645386,0.9629064202308655,1.0,1.0
NEM,机组出力_TUMUT3,E 三种子预测平均,0.01624581217765808,-0.026769399642944336,0.027080588042736053,0.9136818687430479,0.0,0.8320433497428894,0.9052654504776001,0.9474174976348877,0.22727272727272727,1.0
NEM,机组出力_PPCCGT,E 三种子预测平均,0.011253071948885918,-0.00496889092028141,0.007569251116365194,0.9942157953281423,0.0,0.9945789575576782,0.9960123896598816,0.998441755771637,1.0,1.0
NEM,机组出力_BW01,F 预测平均+交叉拟合,0.012557276524603367,-0.031202416867017746,0.03126119077205658,0.9706340378197997,0.0,0.9087192416191101,0.9563855528831482,0.9599002003669739,1.0,1.0
NEM,机组出力_TUMUT3,F 预测平均+交叉拟合,0.01818295381963253,-0.04302876815199852,0.04302876815199852,0.9261401557285873,0.0,0.7851663827896118,0.9029172658920288,0.9504027366638184,0.7727272727272727,0.8947368421052632
NEM,机组出力_PPCCGT,F 预测平均+交叉拟合,0.015895240008831024,-0.020766226574778557,0.023388441652059555,0.9866518353726361,0.0,0.993230402469635,0.9970864653587341,0.998441755771637,0.9666666666666667,1.0
PJM 负荷,metered_load_mw,A 原口径·三种子拼接,0.05515950918197632,-0.005448118783533573,0.02679356560111046,0.9508493519801136,0.02782608695652174,0.861041247844696,0.9503839015960693,0.9942818284034729,1.0,1.0
PJM 负荷,metered_load_mw,B 原口径·单种子,0.05807197093963623,-0.0014928386081010103,0.031592149287462234,0.9249999999999998,0.006956521739130435,0.7978708744049072,0.9181936979293823,0.9850292801856995,1.0,1.0
PJM 负荷,metered_load_mw,C 三种子拼接+数值修正,0.05092540755867958,-0.01899082213640213,0.02139170654118061,0.982142857142857,0.0017391304347826088,0.9073506593704224,0.9742011427879333,0.9971041679382324,1.0,1.0
PJM 负荷,metered_load_mw,D 单种子+数值修正+5折,0.05591399967670441,-0.03114202804863453,0.031635530292987823,0.9714285714285713,0.0,0.9302966594696045,0.9769521355628967,0.9914974570274353,1.0,1.0
PJM 负荷,metered_load_mw,E 三种子预测平均,0.05306990072131157,-0.029720332473516464,0.029867539182305336,0.982142857142857,0.0,0.9273046255111694,0.9860391020774841,0.9944282174110413,1.0,1.0
PJM 负荷,metered_load_mw,F 预测平均+交叉拟合,0.0635915994644165,-0.03452575206756592,0.04077646881341934,0.8821428571428571,0.0,0.9071459174156189,0.9542956352233887,0.9805734753608704,1.0,1.0
PJM 负荷,metered_load_mw,G 全字段主干复用（设置同 E）,0.048819512128829956,-0.011604111641645432,0.027190586552023888,0.9178571428571428,0.0,0.831693172454834,0.9348622560501099,0.9968169331550598,1.0,1.0
PJM 发电/联络线,total_gen,A 原口径·三种子拼接,0.04371081292629242,-0.03436172381043434,0.04410859942436218,0.9142156862745098,0.006002400960384154,0.8195768594741821,0.885852575302124,0.9163723587989807,0.9411764705882353,1.0
PJM 发电/联络线,net_actual_interchange_mw,A 原口径·三种子拼接,0.03921123221516609,-0.015594619326293468,0.015594619326293468,0.985294117647059,0.007202881152460984,0.9609752893447876,0.9708001613616943,0.9933149218559265,1.0,1.0
PJM 发电/联络线,total_gen,B 原口径·单种子,0.051360368728637695,-0.046351779252290726,0.04817354306578636,0.8946078431372549,0.010804321728691477,0.8467637896537781,0.8954330682754517,0.9749183058738708,0.8823529411764706,1.0
PJM 发电/联络线,net_actual_interchange_mw,B 原口径·单种子,0.05098886787891388,-0.021073302254080772,0.024936581030488014,0.9803921568627453,0.008403361344537815,0.920307457447052,0.9653204679489136,0.9951645135879517,0.9411764705882353,1.0
