general_field,dnn,gcn_noprior,gcn_static,gcn_dynamic
gen_fuel_coal_mw,0.027128950230253395,0.03324888549861498,0.022196458959951995,0.022083729162986857
gen_fuel_gas_mw,0.04464539416367188,0.02006401541235391,0.019190335122402757,0.033950786625791804
gen_fuel_hydro_mw,0.00898687400855124,0.004363400163128972,0.0035257237160476506,0.003437199582112953
gen_fuel_multiple_fuels_mw,0.014327032379806042,0.010674661099910736,0.01515677506569773,0.01022926132194698
gen_fuel_nuclear_mw,0.06021955331787467,0.05370451730675995,0.04876360364258289,0.06537224986124784
gen_fuel_oil_mw,0.012095513325184583,0.014092014515772461,0.012706595404888504,0.009185994938015939
gen_fuel_other_renewables_mw,0.010481636446711491,0.007591045105509692,0.004294729717075825,0.005126273648493225
gen_fuel_solar_mw,0.010202408754266798,0.0029252695478498934,0.0028506972175091506,0.0007187531585805118
gen_fuel_storage_mw,0.0010648490488529205,0.002510945275425911,0.0018943976983428002,0.0011584521550685168
gen_fuel_wind_mw,0.003749326260294765,0.0054408946726471185,0.009235073223389918,0.012310854309471325
gen_fuel_coal_pct,0.020464928918518126,0.01916296345181763,0.014528418921399862,0.01722671524621546
gen_fuel_gas_pct,0.016143712103075813,0.0070046661666128785,0.0034881557570770384,0.0012697358906734735
gen_fuel_hydro_pct,0.0017452887911349536,0.0025421854201704264,0.0018273424927610904,0.0015986100537702442
gen_fuel_multiple_fuels_pct,0.002387195872142911,0.007835917267948389,0.003295187600888312,0.005030601043254137
gen_fuel_nuclear_pct,0.041413263026624916,0.016239803709686383,0.023651640850584955,0.015115904957056045
gen_fuel_oil_pct,0.005637571313418448,0.007891481895931064,0.0025628247717395425,0.006727673104032874
gen_fuel_other_renewables_pct,0.004943421296775341,0.004260869435966015,0.011910248342901468,0.0037853387906216086
gen_fuel_solar_pct,0.006320471614599228,0.005783030465245247,0.004645796976983547,0.0008181790995877236
gen_fuel_wind_pct,0.0013854816459934226,0.001777282077819109,0.0016094705031719058,0.002325973268598318
forecast_load_mw_latest_available,0.08884760070359335,0.08615488339215517,0.10507628734456376,0.07458526038564742
forecast_load_mw_day_ahead,0.04387417033314705,0.07579134218394756,0.0650039805121196,0.06730658633634448
rmccp,0.0022069756942801177,0.0007924332098264131,0.0016078601249319036,0.002191324339360108
rmpcp,-0.0002990109645179473,0.0003706368699204177,0.0005939278285950423,-7.073745626257733e-05
total_pjm_loc_credit,0.0016554710917989724,0.0004111952829407528,-0.0004931353661231697,1.776762102963403e-05
total_pjm_reg_purchases,-0.0012778552435338498,0.0027823495608754454,0.0024722111877053974,0.0031592036015354098
total_pjm_self_sched_reg,0.0010734026070713298,0.0009200310891901609,0.0003195996314752847,-5.499917097040452e-05
total_pjm_assigned_reg,0.004247537576593459,0.001417431179434061,0.0006416298099793493,0.0014030855428427457
total_pjm_rmccp_cr,0.0016247088665841147,0.0008420981926610693,0.0008950854750582948,0.0012672958301845937
total_pjm_rmpcp_cr,0.0020652815629728137,0.0012058412260375917,0.0015476487949490547,0.0008506568387383596
da_as_mcp_primary_reserve,0.005580748168576974,0.005997525728307664,-7.633633042132715e-05,0.008088158574537374
da_as_mcp_synchronized_reserve,0.01795252307667397,0.007786059163045138,0.00787234991963487,0.004959922924172133
da_as_as_req_mw_primary_reserve,0.030176548287272453,0.0375547550804913,0.03579388955142349,0.04628566298633814
da_as_as_req_mw_synchronized_reserve,0.03137764483690262,0.03986133486032486,0.036019876301288604,0.04650753463618457
da_as_as_req_mw_thirty_minutes_reserve,0.02033369889482856,0.03512354097016214,0.027148296851664783,0.036411163249285894
da_as_ss_mw_primary_reserve,0.00048227173974737527,0.0002577078684407752,-0.000115357197355479,0.00016937014181166887
da_as_ss_mw_synchronized_reserve,0.0008757871203124523,1.0081592954520602e-05,0.0008047004474792629,8.444614185009414e-05
da_as_ss_mw_thirty_minutes_reserve,0.0011141589283943177,0.00010586194694042205,0.0005647385120391846,0.00011349625885486602
da_as_nsr_mw_primary_reserve,0.09720222397241741,0.09851473850314506,0.09921643045265227,0.09152443015249447
system_energy_price_da,0.13427477390971035,0.1478113649878651,0.15962560625746847,0.1641454122820869
total_lmp_rt,0.019956457018852233,0.013047920907847583,0.007999052993691294,0.01625856666825712
marginal_loss_price_rt,0.024233833886682987,0.027377154618734495,0.05037984845926985,0.03816739072091877
net_inadv_interchange_mw,0.00029692841693758966,-0.0001203765720129013,0.00015724796801805496,2.408605650998652e-05
gross_sched_interchange_mw,0.01268635120941326,0.01959288230165839,0.019939566589891912,0.015603262213990093
gross_inadv_interchange_mw,0.04797893423587084,0.055426823403686286,0.05040161042008549,0.05088707869872451
