general_field,direct,diffused.7,rank_direct,rank_diffused,rank_gain,mask_model,single_model
total_pjm_reg_purchases,0.07680728835014326,0.009861727932483843,31,27,4,0.030487321317195892,0.040382422506809235
gen_fuel_gas_pct,0.14615510351090533,0.015167768901898505,23,20,3,0.04159621521830559,0.0
rmccp,0.11278928328613916,0.01123054118898008,28,25,3,0.03802129998803139,0.0
gen_fuel_gas_mw,0.35371201332066693,0.027787641410502523,4,2,2,0.16767480969429016,0.0975051298737526
da_as_ss_mw_synchronized_reserve,0.0,0.0023651057452714445,43,41,2,0.00014093243225943297,2.8958305847481824e-05
gen_fuel_solar_pct,0.06712799942796471,0.008566667825654113,33,31,2,0.004425469785928726,0.00685732439160347
gen_fuel_oil_mw,0.25457650437660223,0.019833656905673944,12,10,2,0.04096288979053497,0.021169429644942284
marginal_loss_price_rt,0.306539472118154,0.02414343529688929,7,5,2,0.513909101486206,0.13019606471061707
gen_fuel_multiple_fuels_mw,0.18498889082393002,0.015496285492485039,20,18,2,0.06893202662467957,0.05229194462299347
gen_fuel_storage_mw,0.10086324734734389,0.008807944445551961,30,29,1,0.007614067289978266,0.0
total_pjm_rmccp_cr,0.13840920454242875,0.012590214142539542,25,24,1,0.02433626353740692,0.0
gen_fuel_other_renewables_pct,0.23107231027446024,0.018589133341852086,14,13,1,0.05126900225877762,0.010290277190506458
da_as_mcp_synchronized_reserve,0.21285578500909713,0.017141115684830663,17,16,1,0.11477148532867432,0.01738298311829567
da_as_ss_mw_thirty_minutes_reserve,0.0,0.0023523890678234386,43,42,1,0.000136134956846945,0.0
gen_fuel_multiple_fuels_pct,0.14492710334467357,0.012912619907973252,24,23,1,0.027079500257968903,0.03984708711504936
da_as_as_req_mw_primary_reserve,0.26368229615604466,0.019383971641061058,11,11,0,0.6837275624275208,0.24375006556510925
gen_fuel_nuclear_mw,0.28832379571432387,0.020052947538848925,9,9,0,0.8952840566635132,0.3781169652938843
gen_fuel_wind_mw,0.01618803435813417,0.003454377776614772,38,38,0,0.25946614146232605,0.0
gen_fuel_hydro_mw,0.161083973210204,0.014172376921590036,21,21,0,0.011850370094180107,0.0012816826347261667
gen_fuel_solar_mw,0.05285825156581177,0.006385642090958694,35,35,0,0.004546630661934614,0.0032612276263535023
da_as_ss_mw_primary_reserve,0.012274569892199503,0.0028176720310779326,40,40,0,0.0005752071156166494,0.0
total_lmp_rt,0.2968267448348174,0.0228430565767197,8,8,0,0.4234970211982727,0.1493539810180664
gen_fuel_oil_pct,0.2308533262543803,0.018121005524433225,15,15,0,0.034504711627960205,0.010493575595319271
rmpcp,0.016122490898548274,0.003057294059685416,39,39,0,0.001145706744864583,0.0008400952210649848
total_pjm_assigned_reg,0.05382451360536557,0.006725923862486757,34,34,0,0.006653924938291311,0.0011091898195445538
forecast_load_mw_latest_available,0.3999302816546799,0.028477885845539345,1,1,0,0.6533963680267334,0.5493597388267517
gen_fuel_wind_pct,0.07623706915354889,0.008495266508382776,32,32,0,0.14891967177391052,0.008906151168048382
gen_fuel_hydro_pct,0.12342554045215784,0.011151307227360973,26,26,0,0.005527486093342304,0.0008499809191562235
total_pjm_rmpcp_cr,0.04934199045263344,0.0042750859363382705,36,36,0,0.0018315052147954702,0.000897464226000011
total_pjm_loc_credit,0.03513939212985327,0.004125092609463294,37,37,0,0.00912654772400856,0.00265524722635746
gen_fuel_coal_mw,0.3266692305224524,0.023640136368538126,5,6,-1,0.14486180245876312,0.11186870187520981
gen_fuel_coal_pct,0.20591806641922206,0.015416114412130928,18,19,-1,0.1637413650751114,0.10210613161325455
net_inadv_interchange_mw,0.0,0.0013350002181361066,43,44,-1,2.051098272204399e-05,0.0
gross_sched_interchange_mw,0.10864331144972558,0.00867640921690024,29,30,-1,0.20766490697860718,0.09684804081916809
gen_fuel_nuclear_pct,0.3204296401251015,0.023340826325895646,6,7,-1,0.32111579179763794,0.05472786724567413
forecast_load_mw_day_ahead,0.39293642785646055,0.027397164447310482,2,3,-1,0.5809856653213501,0.5041826963424683
da_as_mcp_primary_reserve,0.2168004691876076,0.016191731053883406,16,17,-1,0.04264708235859871,0.017537547275424004
da_as_as_req_mw_thirty_minutes_reserve,0.2507327953255014,0.018492561756090608,13,14,-1,0.4763028621673584,0.15305089950561523
system_energy_price_da,0.35767859409657,0.0259058607919902,3,4,-1,2.098646402359009,1.507830262184143
total_pjm_self_sched_reg,0.010944113357643254,0.0019819441756611877,41,43,-2,0.00030107962084002793,0.00106558739207685
da_as_as_req_mw_synchronized_reserve,0.26401177477544713,0.019236724083674103,10,12,-2,0.6863645315170288,0.24384543299674988
gross_inadv_interchange_mw,0.1994438664820985,0.014121072766711231,19,22,-3,0.5629230737686157,0.511010468006134
gen_fuel_other_renewables_mw,0.11471698705172306,0.007534054620508695,27,33,-6,0.06200159341096878,0.0027303965762257576
da_as_nsr_mw_primary_reserve,0.14857573265334953,0.009821754670595133,22,28,-6,1.1476515531539917,0.8017061352729797
