confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.99062383,0.9962878493933236,-0.005663991
total_gen,0.9901233,0.99832719588513,-0.008203924
total_lmp_da,0.9823382,0.99047564583207,-0.0081374645
da_as_total_mw_primary_reserve,0.9520922,0.953601669814596,-0.0015094876
da_as_total_mw_synchronized_reserve,0.91546273,0.920000100798808,-0.004537344
net_actual_interchange_mw,0.8733081,0.9295984627394396,-0.05629033
total_losses,0.8655133,0.9334742413917716,-0.06796092
da_as_total_mw_thirty_minutes_reserve,0.8647491,0.9141437178213236,-0.049394667
marginal_loss_price_da,0.7843949,0.8816090434068973,-0.0972141
gross_actual_interchange_mw,0.78245276,0.8759973140166133,-0.09354454
congestion_price_rt,0.62033534,0.6702083206524372,-0.049872994
congestion_price_da,0.6061404,0.6602494811248918,-0.054109097
