confidential_field,test_r2
metered_load_mw,0.9906238317489624
total_gen,0.9901232719421387
total_lmp_da,0.9823381900787354
da_as_total_mw_primary_reserve,0.9520922899246216
da_as_total_mw_synchronized_reserve,0.9154627323150635
net_actual_interchange_mw,0.8733080625534058
total_losses,0.8655133843421936
da_as_total_mw_thirty_minutes_reserve,0.8647490739822388
marginal_loss_price_da,0.7843952178955078
gross_actual_interchange_mw,0.7824525833129883
congestion_price_rt,0.6203358173370361
congestion_price_da,0.6061401963233948
